Reading traces...
Reading specs frequency...
Reading locations...
Counting events...
Total 61058314 events and 10690206 traces
Inspecting top 200 IMM
Finding hot methods...
Number of events, method name
8093225,com.fasterxml.jackson.databind.introspect.AnnotatedMethodCollector.collect:46
4881940,ch.mfrey.jackson.antpathfilter.AntPathPropertyFilter.include:133
4481717,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._addInjectables:688
4341586,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector.collectAll:319
3231293,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._addMethods:554
3201099,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._sortProperties:990
3122598,ch.mfrey.jackson.antpathfilter.AntPathPropertyFilter.getPathToTest:81
2200810,com.fasterxml.jackson.databind.util.BeanUtil.legacyManglePropertyName:235
2170825,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._removeUnwantedProperties:752
2170793,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._removeUnwantedAccessor:785
2160736,com.fasterxml.jackson.databind.introspect.AnnotatedFieldCollector.collect:48
1940711,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._renameProperties:822
1840764,ch.mfrey.jackson.antpathfilter.StringUtils.tokenizeToStringArray:39
1790657,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._anyIndexed:1090
1700977,com.fasterxml.jackson.databind.introspect.AnnotatedClassResolver.resolveClassAnnotations:225
1530507,com.fasterxml.jackson.databind.ser.BeanSerializerFactory.removeIgnorableTypes:693
1470483,com.fasterxml.jackson.databind.ser.BeanSerializerFactory.findBeanProperties:569
1390706,com.fasterxml.jackson.databind.introspect.AnnotatedClassResolver._addSuperInterfaces:186
1250424,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._addFields:385
910704,com.fasterxml.jackson.databind.introspect.AnnotatedClassResolver._addSuperTypes:162
900358,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._addCreators:484
900342,com.fasterxml.jackson.databind.introspect.AnnotatedClassResolver._addClassMixIns:279
