Reading traces...
	read 1000 traces
	read 2000 traces
	read 3000 traces
	read 4000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
	processed 2000 traces
	processed 3000 traces
	processed 4000 traces
Total 411960584 events and 151245 traces
Inspecting top 200000 IMM
Finding hot methods...
	processed 1000 events
	processed 2000 events
	processed 3000 events
Number of events, method name
390000618,org.asteriskjava.util.internal.streamreader.FastScannerRandomTest.generateTestData:95
9067804,org.asteriskjava.util.internal.streamreader.FastScannerNl.getLine:102
4799446,org.asteriskjava.lock.Locker.doWithLock:37
3158701,org.asteriskjava.util.internal.streamreader.FastScannerCrNl.getLine:15
2007888,org.asteriskjava.util.internal.streamreader.FastScannerRandomTest.compare:52
1254310,org.asteriskjava.pbx.internal.core.ListenerManager.removeListener:54
1014070,org.asteriskjava.util.internal.streamreader.FastScannerSpeedTest.testScannerSpeed:17
180002,org.asteriskjava.util.internal.streamreader.FastScannerDeterministicTest.buildTestData:75
117721,org.asteriskjava.manager.internal.EventBuilderImpl.registerEventClass:93
48960,org.asteriskjava.manager.internal.EventBuilderImpl.registerBuiltinEventClasses:55
20276,net.bytebuddy.implementation.bytecode.StackManipulation$Compound.<init>:215
17344,net.bytebuddy.matcher.ElementMatcher$Junction$Conjunction.matches:145
17286,org.reflections.util.FilterBuilder.test:97
17034,net.bytebuddy.description.method.ParameterList$AbstractBase.asTypeList:105
12375,net.bytebuddy.description.type.TypeList$Generic$AbstractBase.asErasures:334
11380,net.bytebuddy.implementation.bytecode.StackManipulation$Compound.isValid:229
10625,net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Harmonized.detach:1018
10536,net.bytebuddy.implementation.bytecode.StackManipulation$Compound.apply:241
10000,org.asteriskjava.pbx.internal.core.FilteredManagerListenerWrapper.<init>:16
7931,org.reflections.Reflections.lambda$scan$2:174
7680,net.bytebuddy.jar.asm.Type.appendDescriptor:614
7642,javassist.bytecode.CodeAttribute.<init>:102
7003,org.asteriskjava.pbx.internal.core.ListenerManagerTest.listenerTest:17
6705,net.bytebuddy.matcher.FilterableList$AbstractBase.filter:123
6686,net.bytebuddy.matcher.ElementMatcher$Junction$Disjunction.matches:213
6542,net.bytebuddy.matcher.ElementMatcher$Junction$Conjunction.<init>:131
4792,net.bytebuddy.dynamic.scaffold.MethodRegistry$Default.prepare:455
3950,javassist.bytecode.ClassFile.getAttribute:745
3926,javassist.bytecode.MethodInfo.read:562
3795,javassist.bytecode.ClassFile.addMethod2:673
3794,net.bytebuddy.description.type.TypeList$Generic$AbstractBase.getStackSize:323
3379,net.bytebuddy.implementation.bind.annotation.TargetMethodAnnotationDrivenBinder$Record.bind:132
3000,org.asteriskjava.pbx.internal.core.ListenerManager.addListener:41
2762,net.bytebuddy.description.method.MethodDescription$AbstractBase.getDescriptor:523
2656,org.asteriskjava.lock.Lockable.getLockCaller:33
2515,net.bytebuddy.description.modifier.ModifierContributor$Resolver.resolve:202
2496,net.bytebuddy.description.type.TypeDescription$ArrayProjection.getName:9432
2409,net.bytebuddy.description.type.TypeList$Generic$AbstractBase.accept:301
2382,org.asteriskjava.util.ReflectionUtil.getSettersInternal:119
2261,net.bytebuddy.implementation.bind.MethodDelegationBinder$MethodBinding$Builder$Build.isValid:535
2253,net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Store.asGraph:1250
2173,org.reflections.util.QueryFunction.lambda$getAll$8:53
2056,javassist.bytecode.ClassFile.addField2:611
1937,org.asteriskjava.manager.util.EventAttributesHelper.setAttributes:46
1824,ch.qos.logback.core.pattern.FormattingConverter.write:36
1716,net.bytebuddy.implementation.bind.MethodDelegationBinder$MethodBinding$Builder.append:455
1690,net.bytebuddy.description.annotation.AnnotationList$AbstractBase.isAnnotationPresent:104
1685,ch.qos.logback.core.joran.spi.SimpleRuleStore.fullPathMatch:140
