Reading traces...
	read 1000 traces
	read 2000 traces
	read 3000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
	processed 2000 traces
	processed 3000 traces
Total 118526270 events and 16852030 traces
Inspecting top 200 IMM
Finding hot methods...
Number of events, method name
14782589,com.conveyal.osmlib.RoundTripTest.compareMap:99
12744794,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseNodes.<init>:12611
12186360,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseInfo.<init>:8612
9855060,com.conveyal.osmlib.OSM.copyTo:263
9828344,com.conveyal.osmlib.serializer.VarInt.writeTags:227
9674698,org.mapdb.BTreeMap$LeafNode.<init>:264
7383310,com.conveyal.osmlib.OSM.writeNode:344
6168181,org.openstreetmap.osmosis.osmbinary.Osmformat$Way.<init>:14277
4649522,org.mapdb.BTreeMap.arrayPut:2840
4321791,org.mapdb.BTreeMap.put2:647
4006593,com.conveyal.osmlib.OSMEntity.addTag:85
3310096,org.mapdb.DataOutput2.write:74
3274102,com.conveyal.osmlib.VexOutput.writeTags:97
2356500,com.conveyal.osmlib.PBFInput.parseWays:126
2257413,com.conveyal.osmlib.StringTable.getCode:27
1342825,com.conveyal.osmlib.PBFOutput.writeWay:235
1129692,com.conveyal.osmlib.OSM.writeWay:351
856269,com.google.protobuf.UnknownFieldSet.getSerializedSize:206
856269,com.google.protobuf.UnknownFieldSet.writeTo:135
792945,org.openstreetmap.osmosis.osmbinary.Osmformat$Way$Builder.addRefs:15663
691192,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseNodes$Builder.addKeysVals:14012
609318,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseNodes$Builder.addLat:13798
609318,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseNodes$Builder.addLon:13905
609318,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseNodes$Builder.addId:13535
476065,org.openstreetmap.osmosis.osmbinary.Osmformat$PrimitiveGroup.<init>:4607
432068,org.mapdb.SerializerBase.serializeCollection:825
288995,org.mapdb.BTreeMap$DirNode.<init>:227
274516,com.conveyal.osmlib.PBFOutput.writeNode:203
269060,org.mapdb.BTreeMap.arrayLongPut:2830
220487,com.google.protobuf.LongArrayList.addLong:195
212624,org.openstreetmap.osmosis.osmbinary.Osmformat$Way$Builder.addKeys:15357
212624,org.openstreetmap.osmosis.osmbinary.Osmformat$Way$Builder.addVals:15444
190715,com.conveyal.osmlib.StringTable.toBuilder:43
181794,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation.<init>:16098
176931,org.mapdb.Bind$6.update:430
176931,org.mapdb.BTreeMap$KeySet.add:1746
138621,org.openstreetmap.osmosis.osmbinary.Osmformat$StringTable.<init>:6684
119492,org.mapdb.SerializerBase.deserializeArrayList:1601
103366,com.conveyal.osmlib.VexOutput.writeRelation:166
93645,org.openstreetmap.osmosis.osmbinary.Osmformat$PrimitiveGroup$Builder.addWays:5929
82033,org.mapdb.BTreeMap.put:642
76397,org.mapdb.SerializerBase$FastArrayList.add:54
74057,com.conveyal.osmlib.PBFInput.parseRelations:157
71393,com.conveyal.osmlib.PBFOutput.writeRelation:262
69756,org.mapdb.SerializerBase.serialize2:155
50900,org.mapdb.Store.serialize:152
38180,com.google.protobuf.CodedOutputStream$ArrayEncoder.write:1446
38089,org.openstreetmap.osmosis.osmbinary.Osmformat$StringTable$Builder.addS:7149
33946,com.conveyal.osmlib.OSM.writeRelation:373
19514,com.conveyal.osmlib.VexInput.readRelation:133
14893,org.mapdb.SerializerBase$FastArrayList.<init>:50
12818,com.google.protobuf.IntArrayList.addInt:195
9757,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation$Builder.addTypes:17821
9757,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation$Builder.addMemids:17731
9757,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation$Builder.addRolesSid:17624
7838,com.conveyal.osmlib.StringTable.clear:37
5380,com.google.common.io.ByteStreams.read:845
4000,com.conveyal.osmlib.NodeTrackerTest.testAgainstSet:15
3989,org.roaringbitmap.ArrayContainer.add:140
3666,ch.qos.logback.classic.spi.CallerData.isInFrameworkSpaceList:105
3366,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation$Builder.addVals:17405
3366,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation$Builder.addKeys:17318
2523,com.conveyal.osmlib.OSMTest.testOSM:13
1316,ch.qos.logback.core.pattern.FormattingConverter.write:36
1288,org.mapdb.DB.catPut:104
1148,org.mapdb.DB.createTreeSet:1051
1056,ch.qos.logback.core.joran.spi.SimpleRuleStore.fullPathMatch:100
1029,org.mapdb.DB.createTreeMap:833
966,org.openstreetmap.osmosis.osmbinary.Osmformat$PrimitiveGroup$Builder.addRelations:6169
866,org.openstreetmap.osmosis.osmbinary.BinaryParser.parse:105
752,ch.qos.logback.core.pattern.Converter.write:42
535,ch.qos.logback.core.joran.spi.SimpleRuleStore.middleMatch:162
527,ch.qos.logback.core.joran.spi.SimpleRuleStore.prefixMatch:134
527,ch.qos.logback.core.joran.spi.SimpleRuleStore.suffixMatch:109
525,com.conveyal.osmlib.PBFInput.parseNodes:65
395,org.mapdb.SerializerBase$singletons.<clinit>:1418
352,org.slf4j.helpers.MessageFormatter.arrayFormat:188
315,org.mapdb.DB.checkNameNotExists:1591
274,ch.qos.logback.core.joran.spi.ElementPath.toStableString:124
252,org.mapdb.DB.namedPut:386
245,org.mapdb.SerializerPojo$ClassInfo.<init>:130
228,org.mapdb.Bind.secondaryKeys:418
210,org.mapdb.SerializerPojo.registerClass:242
196,org.mapdb.DB.createAtomicLong:1269
160,org.slf4j.helpers.MessageFormatter.safeObjectAppend:299
140,org.mapdb.DB$BTreeSetMaker.makeOrGet:753
121,ch.qos.logback.classic.PatternLayout.<clinit>:41
112,com.google.protobuf.ByteString$LiteralByteString.copyToInternal:1361
109,org.openstreetmap.osmosis.osmbinary.Osmformat$PrimitiveBlock.<init>:3080
