Reading traces...
	read 1000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
Total 106561502 events and 16326136 traces
Inspecting top 200000 IMM
Finding hot methods...
	processed 1000 events
Number of events, method name
45270383,com.github.davidmoten.rtree2.internal.Util.mbr:44
28699690,com.github.davidmoten.rtree2.internal.Util.replace:86
14648056,com.github.davidmoten.rtree2.internal.Comparators.overlapArea:61
5606275,com.github.davidmoten.rtree2.SplitterQuadratic.getBestCandidateForGroup:75
1931920,com.github.davidmoten.rtree2.internal.NonLeafHelper.delete:58
1716066,com.github.davidmoten.rtree2.SplitterQuadratic.assignRemaining:55
1042160,com.github.davidmoten.rtree2.SplitterRStar.marginValueSum:83
931770,com.github.davidmoten.rtree2.SelectorMinimalAreaIncrease.select:18
929222,com.github.davidmoten.rtree2.Visualizer.getRectangleDepths:78
714601,com.github.davidmoten.rtree2.Visualizer.drawNode:95
678073,com.github.davidmoten.rtree2.internal.Util.add:72
559458,com.github.davidmoten.rtree2.RTree.add:481
537286,org.davidmoten.kool.StreamIterator.nextNullChecked:15
528462,com.github.davidmoten.rtree2.SplitterRStar.getPairs:91
354430,com.github.davidmoten.rtree2.RTree.calculateMaxView:838
307020,org.davidmoten.kool.internal.util.StreamImpl$1.hasNext:24
268721,rx.internal.operators.OnSubscribeFromIterable$IterableProducer.fastPath:156
230268,org.davidmoten.kool.internal.operators.stream.FlatMap$1.loadNext:47
230262,org.davidmoten.kool.internal.util.StreamImpl$1.next:29
121050,com.github.davidmoten.rtree2.SplitterRStar.split:35
112160,com.github.davidmoten.rtree2.internal.LeafDefault.count:36
91916,com.github.davidmoten.rtree2.SplitterQuadratic.split:24
91157,com.github.davidmoten.rtree2.RTree$Builder.packingSTR:369
89450,com.github.davidmoten.rtree2.internal.LeafDefault.entry:56
84038,com.github.davidmoten.rtree2.internal.LeafHelper.makeLeaves:64
76758,org.davidmoten.kool.internal.operators.stream.Using$1.hasNext:36
76756,org.davidmoten.kool.internal.util.StreamImpl$1.<init>:20
72437,com.github.davidmoten.rtree2.Iterables.size:81
70016,com.github.davidmoten.rtree2.internal.Util.remove:79
59537,rx.internal.operators.OperatorToObservableList$1.onNext:109
49354,com.github.davidmoten.rtree2.SelectorMinimalOverlapArea.select:14
43516,com.github.davidmoten.rtree2.internal.NonLeafDefault.count:33
42010,com.github.davidmoten.rtree2.RTreeTest.random:872
40000,com.github.davidmoten.rtree2.RTreeTest.nextPoint:843
38378,org.davidmoten.kool.internal.operators.stream.Collect.get:26
38377,org.davidmoten.kool.Stream.lambda$toList$25:624
34772,com.github.davidmoten.rtree2.internal.NonLeafHelper.makeNonLeaves:42
34604,com.github.davidmoten.rtree2.internal.NonLeafDefault.child:53
30004,com.github.davidmoten.rtree2.RTreeTest.testDeleteOneFromLargeTreeThenDeleteAllAndEnsureEmpty:527
11031,com.github.davidmoten.rtree2.internal.NonLeafDefault.<init>:20
10224,com.github.davidmoten.rtree2.RTreeTest.testBulkLoadingTreeAndStarTreeReturnsSameAsStandardRTree:639
10036,com.github.davidmoten.rtree2.internal.LeafHelper.delete:25
10005,com.github.davidmoten.rtree2.RTreeTest.testBulkLoadingEntryCount:126
5919,com.github.davidmoten.rtree2.SelectorRStar.select:18
2505,net.bytebuddy.matcher.ElementMatcher$Junction$Conjunction.matches:145
2472,net.bytebuddy.description.method.ParameterList$AbstractBase.asTypeList:105
2404,net.bytebuddy.implementation.bytecode.StackManipulation$Compound.<init>:215
1965,net.bytebuddy.description.type.TypeList$Generic$AbstractBase.asErasures:334
1656,net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Harmonized.detach:1018
1529,net.bytebuddy.matcher.FilterableList$AbstractBase.filter:123
1347,net.bytebuddy.implementation.bytecode.StackManipulation$Compound.isValid:229
1273,net.bytebuddy.implementation.bytecode.StackManipulation$Compound.apply:241
1005,com.github.davidmoten.rtree2.RTreeTest.createRandomEntries:188
995,net.bytebuddy.matcher.ElementMatcher$Junction$Conjunction.<init>:131
978,net.bytebuddy.jar.asm.Type.appendDescriptor:614
954,rx.internal.util.SubscriptionList.unsubscribeFromAll:130
906,com.github.davidmoten.rtree2.RTree.asString:925
731,net.bytebuddy.matcher.ElementMatcher$Junction$Disjunction.matches:213
662,net.bytebuddy.dynamic.scaffold.MethodRegistry$Default.prepare:455
473,com.github.davidmoten.rtree2.internal.EntryDefault.toString:69
446,net.bytebuddy.description.type.TypeList$Generic$AbstractBase.getStackSize:323
428,rx.plugins.RxJavaPlugins.getPluginImplementationViaProperty:281
403,net.bytebuddy.implementation.bind.annotation.TargetMethodAnnotationDrivenBinder$Record.bind:132
376,net.bytebuddy.implementation.bind.annotation.TargetMethodAnnotationDrivenBinder$DelegationProcessor.of:507
361,com.github.davidmoten.rtree2.geometry.internal.RectangleFloat.toString:131
357,net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Store.asGraph:1250
350,net.bytebuddy.description.annotation.AnnotationList$AbstractBase.isAnnotationPresent:104
333,net.bytebuddy.description.method.MethodDescription$AbstractBase.getDescriptor:523
330,com.github.davidmoten.rtree2.geometry.internal.PointFloat.toString:73
327,net.bytebuddy.description.modifier.ModifierContributor$Resolver.resolve:202
273,net.bytebuddy.implementation.bind.MethodDelegationBinder$MethodBinding$Builder$Build.isValid:535
220,net.bytebuddy.matcher.ElementMatcher$Junction$Disjunction.<init>:199
216,net.bytebuddy.dynamic.scaffold.MethodRegistry$Default$Prepared.compile:734
204,net.bytebuddy.implementation.bind.MethodDelegationBinder$MethodBinding$Builder.append:455
204,net.bytebuddy.dynamic.loading.MultipleParentClassLoader$Builder.appendMostSpecific:378
178,net.bytebuddy.description.annotation.AnnotationDescription$AbstractBase.hashCode:577
171,com.github.davidmoten.rtree2.geometry.internal.RectangleDouble.toString:73
164,net.bytebuddy.dynamic.scaffold.TypeWriter$Default$ForCreation.create:5963
161,net.bytebuddy.description.method.MethodDescription$AbstractBase.getGenericSignature:536
159,net.bytebuddy.implementation.Implementation$Context$Default.drain:1225
158,net.bytebuddy.matcher.CollectionItemMatcher.doMatch:47
154,com.github.davidmoten.rtree2.Iterables.toList:91
144,net.bytebuddy.description.type.TypeList$Generic$AbstractBase.accept:301
138,net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Store.registerTopLevel:1185
132,net.bytebuddy.utility.CompoundList.of:81
130,net.bytebuddy.description.method.ParameterList$ForTokens.get:535
129,net.bytebuddy.description.type.TypeList$AbstractBase.toInternalNames:97
126,net.bytebuddy.implementation.attribute.MethodAttributeAppender$ForInstrumentedMethod.apply:195
125,net.bytebuddy.utility.RandomString.<clinit>:47
122,net.bytebuddy.utility.dispatcher.JavaDispatcher.run:181
118,net.bytebuddy.implementation.bind.MethodDelegationBinder$Processor.bind:1091
