Reading traces...
	read 1000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
Total 374642329 events and 96172500 traces
Inspecting top 200 IMM
Finding hot methods...
	processed 1000 events
Number of events, method name
129948275,org.poker.api.core.Card.toString:86
103960654,org.poker.api.core.HandEvaluator.eval:52
64974000,org.poker.api.core.HandEvaluatorTest.combinationName:58
49380240,org.poker.api.core.CardUtil4Testing.toStringCards:57
23390640,org.poker.api.core.HandEvaluatorTest.testEval:160
2599443,org.util.combinatorial.Combination.next:77
224185,org.util.combinatorial.FactorialPermutationTest.testFullTesting:75
43008,cucumber.runtime.java.MethodScanner.scan:56
15919,org.hamcrest.core.IsCollectionContaining.matchesSafely:23
13939,org.poker.api.core.CardTest.testEquals:100
13939,org.poker.api.core.CardTest.testEqualsDistinct:116
10500,cucumber.deps.com.thoughtworks.xstream.core.DefaultConverterLookup.registerConverter:65
9492,cucumber.runtime.RuntimeGlue.stepDefinitionMatches:79
8232,cucumber.runtime.xstream.LocalizedXStreams$LocalizedXStream.setParameterInfo:76
5772,org.poker.api.core.Deck.getAllCards:54
4746,cucumber.runtime.xstream.LocalizedXStreams$LocalizedXStream.unsetParameterInfo:88
4537,cucumber.runtime.RuntimeOptions$1.invoke:291
2481,cucumber.runtime.io.FlatteningIterator.moveToNext:24
2463,cucumber.runtime.io.ResourceLoaderClassFinder.getDescendants:20
2436,cucumber.runtime.model.CucumberScenarioOutline.replaceTokens:115
1693,org.poker.api.core.DeckTest.testGetAllCards:50
1568,cucumber.runtime.RuntimeGlue.removeScenarioScopedStepdefs:114
1456,gherkin.deps.com.google.gson.internal.bind.MapTypeAdapterFactory$Adapter.read:162
1260,org.picocontainer.injectors.ConstructorInjector.getGreediestSatisfiableConstructor:124
1008,org.picocontainer.converters.BuiltInConverters.addConverter:47
1006,gherkin.parser.Parser$Machine.buildTransitionMap:244
924,cucumber.runtime.UndefinedStepsTracker.isGivenWhenThenKeyword:59
812,gherkin.util.FixJava.join:15
756,cucumber.runtime.StepDefinitionMatch.transformedArgs:51
672,org.picocontainer.DefaultPicoContainer.addAdapterInternal:436
660,org.poker.api.core.CardUtil4Testing.fromStringCards:47
588,cucumber.runtime.junit.ExecutionUnitRunner.getDescription:55
588,cucumber.runtime.junit.ExecutionUnitRunner.describeChild:84
588,org.picocontainer.injectors.ConstructorInjector.getSortedMatchingConstructors:376
522,cucumber.runtime.model.StepContainer.format:31
504,cucumber.runtime.ScenarioImpl.getStatus:47
504,cucumber.runtime.model.CucumberScenarioOutline.createExampleScenario:57
504,cucumber.runtime.model.StepContainer.runSteps:38
492,cucumber.runtime.Env.put:57
468,cucumber.runtime.Env.<init>:19
438,cucumber.deps.com.thoughtworks.xstream.core.DefaultConverterLookup.lookupConverterForType:49
420,cucumber.runtime.model.CucumberScenario.createScenarioDesignation:52
360,gherkin.deps.com.google.gson.Gson.getAdapter:337
308,org.picocontainer.DefaultPicoContainer.startAdapters:1001
306,org.util.combinatorial.FactorialPermutation.next:68
279,gherkin.parser.FormatterListener$Stash.nextExampleId:64
263,org.poker.api.core.CardTest.testHashCode:81
248,cucumber.runtime.model.CucumberTagStatement.tagsAndInheritedTags:32
244,cucumber.deps.com.thoughtworks.xstream.mapper.ClassAliasingMapper.addClassAlias:37
241,gherkin.I18n.<init>:85
235,gherkin.lexer.En.scan:586
224,cucumber.runtime.Runtime.buildBackendWorlds:140
224,cucumber.runtime.Runtime.disposeBackendWorlds:150
224,cucumber.runtime.java.picocontainer.PicoFactory.start:17
219,cucumber.deps.com.thoughtworks.xstream.core.util.PrioritizedList$PrioritizedItemIterator.next:91
210,cucumber.deps.com.thoughtworks.xstream.core.util.PrioritizedList.add:37
196,cucumber.runtime.model.CucumberTagStatement.<init>:27
196,org.picocontainer.DefaultPicoContainer.addOrderedComponentAdapter:567
177,cucumber.runtime.junit.ExamplesRunner.buildRunners:27
174,cucumber.deps.com.thoughtworks.xstream.converters.reflection.AbstractAttributedCharacterIteratorAttributeConverter.readResolve:103
169,org.util.combinatorial.CombinationTest.testNextIgnored:193
169,org.util.combinatorial.CombinationTest.testCombinations:86
169,org.util.combinatorial.CombinationTest.testHasNextAfterClearWithNext:136
169,org.util.combinatorial.CombinationTest.testNextItemsRange:160
169,org.util.combinatorial.CombinationTest.tesHasNextFirst:95
169,org.util.combinatorial.CombinationTest.testNextAfterClear:209
169,org.util.combinatorial.CombinationTest.testSize:77
169,org.util.combinatorial.CombinationTest.testHasNextAfterFullLoopClear:147
169,org.util.combinatorial.CombinationTest.testCombinationsStatic:69
169,org.util.combinatorial.CombinationTest.testHasNextPreLast:103
169,org.util.combinatorial.CombinationTest.testHasNextAfterClear:127
169,org.util.combinatorial.CombinationTest.testHasNextLast:115
169,org.util.combinatorial.CombinationTest.testNextDontRepeat:177
168,cucumber.runtime.junit.JUnitReporter.fetchAndCheckRunnerStep:75
168,cucumber.runtime.Runtime.runHooks:210
168,cucumber.runtime.xstream.TimeConverter.getTimeClasses:72
168,cucumber.runtime.RuntimeGlue.removeScenarioScopedHooks:104
149,cucumber.runtime.junit.ExamplesRunner.getDescription:47
146,cucumber.deps.com.thoughtworks.xstream.core.util.PrioritizedList$PrioritizedItemIterator.hasNext:87
87,cucumber.runtime.model.StepContainer.step:27
84,org.picocontainer.PicoBuilder.addContainerComponents:223
84,cucumber.runtime.junit.JUnitReporter.step:209
84,cucumber.runtime.ScenarioImpl.add:32
84,cucumber.runtime.java.JavaBackend.buildWorld:123
84,cucumber.runtime.JdkPatternArgumentMatcher.argumentsFrom:18
84,org.picocontainer.DefaultPicoContainer.start:765
84,org.picocontainer.DefaultPicoContainer.dispose:843
84,org.picocontainer.DefaultPicoContainer.stop:794
84,cucumber.deps.com.thoughtworks.xstream.mapper.AnnotationMapper.processAnnotations:155
75,cucumber.deps.com.thoughtworks.xstream.core.util.SerializationMembers.<init>:53
72,cucumber.deps.com.thoughtworks.xstream.core.DefaultConverterLookup.readResolve:86
70,cucumber.deps.com.thoughtworks.xstream.converters.basic.StringConverter.fromString:88
70,cucumber.deps.com.thoughtworks.xstream.core.util.WeakCache.put:64
60,gherkin.formatter.ansi.AnsiEscapes.color:23
57,cucumber.deps.com.thoughtworks.xstream.converters.reflection.FieldDictionary.buildMap:121
56,cucumber.deps.com.thoughtworks.xstream.mapper.DefaultImplementationsMapper.addDefaultImplementation:53
55,gherkin.deps.com.google.gson.stream.JsonReader.nextString:1006
45,org.util.combinatorial.FactorialPermutationTest.testCombinations:65
38,gherkin.deps.com.google.gson.Gson.<init>:110
35,gherkin.lexer.En.unindent:940
34,gherkin.formatter.AnsiFormats$1.<init>:10
33,cucumber.deps.com.thoughtworks.xstream.core.util.OrderRetainingMap.put:50
