Reading traces...
Reading specs frequency...
Reading locations...
Converting set of traces...
Counting events...
	processed 1000 traces
	processed 2000 traces
Total 2141737292 events and 305585224 traces
Inspecting top 20000000 IMM
Finding hot methods...
	processed 1000 events
Number of events, method name
908567135,net.finmath.montecarlo.automaticdifferentiation.backward.RandomVariableDifferentiableAAD.getGradient:661
282908723,net.finmath.time.businessdaycalendar.AbstractBusinessdayCalendar.getDateFromDateAndOffsetCode:82
279869912,net.finmath.time.ScheduleGenerator.createScheduleFromConventions:189
166574030,net.finmath.montecarlo.automaticdifferentiation.backward.RandomVariableDifferentiableAAD$OperatorTreeNode.propagateDerivativesFromResultToArgument:166
102388512,net.finmath.marketdata.model.curves.CurveInterpolation.getValue:335
96955202,net.finmath.marketdata.model.volatilities.CapletVolatilities.getValue:118
67886500,net.finmath.time.FloatingpointDateTest.testLocalDateTime:56
51223452,net.finmath.montecarlo.process.EulerSchemeFromProcessModel.doPrecalculateProcess:159
38818926,net.finmath.marketdata.model.AnalyticModelFromCurvesAndVols.clone:304
37421678,net.finmath.marketdata.model.curves.DiscountCurveFromForwardCurve.<init>:72
36371086,net.finmath.singleswaprate.data.DataTableBasic.getTerminationsForMaturity:191
14678350,net.finmath.montecarlo.automaticdifferentiation.backward.RandomVariableDifferentiableAAD$OperatorTreeNode.<init>:97
6471055,net.finmath.marketdata.model.curves.CurveInterpolation.addPoint:381
6459906,net.finmath.marketdata.model.AnalyticModelFromCurvesAndVols.addVolatilitySurfaces:255
6459594,net.finmath.marketdata.model.volatilities.CapletVolatilities.add:95
4622120,org.apache.commons.math3.linear.Array2DRowRealMatrix.copyOut:527
4444669,org.apache.commons.math3.linear.Array2DRowRealMatrix.setSubMatrix:271
3382356,org.apache.commons.math3.analysis.polynomials.PolynomialFunction.<init>:69
3245782,net.finmath.interpolation.RationalFunctionInterpolation$InterpolationMethod.valueOf:39
3245782,net.finmath.interpolation.RationalFunctionInterpolation$ExtrapolationMethod.valueOf:61
3235646,net.finmath.marketdata.model.curves.CurveInterpolation.getTimeIndex:473
3235409,net.finmath.marketdata.model.curves.CurveInterpolation.getParameterIndex:478
3061383,net.finmath.marketdata.model.curves.CurveInterpolation.clone:534
1691140,org.apache.commons.math3.analysis.polynomials.PolynomialSplineFunction.<init>:104
1341810,net.finmath.montecarlo.interestrate.models.LIBORMarketModelFromCovarianceModel.getNumeraireDefaultableZeroBondAsOfTimeZero:912
551370,net.finmath.montecarlo.automaticdifferentiation.forward.RandomVariableDifferentiableAD$OperatorTreeNode.<init>:96
