Reading traces...
	read 1000 traces
	read 2000 traces
	read 3000 traces
	read 4000 traces
	read 5000 traces
	read 6000 traces
	read 7000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
	processed 2000 traces
	processed 3000 traces
	processed 4000 traces
	processed 5000 traces
	processed 6000 traces
	processed 7000 traces
Total 30260399 events and 234963 traces
Inspecting top 200 IMM
Finding hot methods...
	processed 1000 events
	processed 2000 events
Number of events, method name
28870403,org.apache.kafka.clients.consumer.MockConsumer.poll:163
390213,org.apache.kafka.common.metrics.JmxReporter$KafkaMbean.getMBeanInfo:218
85852,org.apache.kafka.common.metrics.JmxReporter$KafkaMbean.setAttribute:188
68384,org.apache.kafka.common.config.ConfigDef.undefinedDependentConfigs:536
57661,net.bytebuddy.implementation.bytecode.StackManipulation$Compound.<init>:197
54513,org.apache.kafka.common.config.ConfigDef.parse:459
50865,net.bytebuddy.description.method.ParameterList$AbstractBase.asTypeList:107
49590,org.apache.kafka.common.metrics.JmxReporter.getMBeanName:133
34800,com.google.gson.Gson.getAdapter:434
34518,net.bytebuddy.description.type.TypeList$Generic$AbstractBase.asErasures:307
30193,net.bytebuddy.implementation.bytecode.StackManipulation$Compound.apply:223
23803,org.apache.kafka.common.metrics.Sensor.checkQuotas:206
21655,net.bytebuddy.implementation.bytecode.StackManipulation$Compound.isValid:211
20653,org.apache.kafka.common.config.AbstractConfig.logAll:335
20508,net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Harmonized.detach:935
17166,net.bytebuddy.jar.asm.Type.appendDescriptor:614
16891,net.bytebuddy.matcher.FilterableList$AbstractBase.filter:123
16010,net.bytebuddy.dynamic.scaffold.MethodRegistry$Default.prepare:454
15390,org.apache.kafka.common.metrics.Metrics.registerMetric:562
14190,net.bytebuddy.description.method.ParameterList$ForTokens.get:635
12946,org.apache.kafka.common.network.Selector.clear:759
12491,net.bytebuddy.description.method.MethodDescription$AbstractBase.getDescriptor:451
10638,net.bytebuddy.description.type.TypeList$Generic$AbstractBase.getStackSize:296
9604,com.google.gson.internal.Excluder.excludeClassInStrategy:215
9519,net.bytebuddy.description.modifier.ModifierContributor$Resolver.resolve:202
9048,net.bytebuddy.description.type.TypeList$Generic$AbstractBase.accept:274
8208,org.apache.kafka.common.metrics.Sensor.add:238
7638,org.apache.kafka.common.metrics.Sensor.record:182
7026,net.bytebuddy.description.type.TypeList$Generic$AbstractBase.asRawTypes:318
6764,ch.qos.logback.core.pattern.FormattingConverter.write:36
6121,net.bytebuddy.implementation.bind.annotation.TargetMethodAnnotationDrivenBinder$Record.bind:129
6069,net.bytebuddy.implementation.bind.MethodDelegationBinder$MethodBinding$Builder$Build.isValid:533
6038,net.bytebuddy.dynamic.scaffold.MethodRegistry$Default$Prepared.compile:733
5086,net.bytebuddy.implementation.Implementation$Context$Default.drain:930
5072,org.apache.kafka.clients.NetworkClient.handleDisconnections:892
4840,net.bytebuddy.dynamic.scaffold.TypeWriter$Default$ForCreation.create:5706
4812,org.apache.kafka.clients.producer.internals.Sender.getExpiredInflightBatches:181
4790,org.apache.kafka.common.network.Selector.hasStagedReceives:973
4776,net.bytebuddy.description.method.MethodDescription$Token.asSignatureToken:1912
4772,net.bytebuddy.description.method.MethodDescription$AbstractBase.getGenericSignature:463
4617,org.apache.kafka.common.metrics.Metrics.metricName:175
4392,ch.qos.logback.core.pattern.Converter.write:42
4368,net.bytebuddy.description.type.TypeDescription$Generic$Visitor$Substitutor.onParameterizedType:1847
4368,net.bytebuddy.description.type.TypeDescription$AbstractBase$OfSimpleType.getDescriptor:8229
4310,org.apache.kafka.clients.InFlightRequests.nodesWithTimedOutRequests:175
4290,net.bytebuddy.description.type.TypeList$AbstractBase.toInternalNames:85
4266,org.apache.kafka.clients.NetworkClient.handleInitiateApiVersionRequests:923
4203,net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Store.asGraph:1167
4096,net.bytebuddy.description.annotation.AnnotationList$AbstractBase.isAnnotationPresent:101
3978,net.bytebuddy.implementation.attribute.AnnotationAppender$ForTypeAnnotations.apply:724
3604,net.bytebuddy.jar.asm.signature.SignatureWriter.visitClassType:158
3548,net.bytebuddy.implementation.attribute.MethodAttributeAppender$ForInstrumentedMethod.apply:195
3510,net.bytebuddy.utility.CompoundList.of:81
3400,org.apache.kafka.common.network.Selector.doClose:874
3344,org.apache.kafka.common.metrics.Metrics.metricInstance:626
3255,net.bytebuddy.implementation.bind.MethodDelegationBinder$MethodBinding$Builder.append:453
3040,org.apache.kafka.common.network.Selector$SelectorMetrics.createMeter:1146
2894,net.bytebuddy.matcher.CollectionItemMatcher.matches:47
2738,ch.qos.logback.classic.pattern.TargetLengthBasedClassNameAbbreviator.abbreviate:28
2632,org.slf4j.helpers.MessageFormatter.arrayFormat:188
2388,net.bytebuddy.implementation.auxiliary.MethodCallProxy$MethodCall$Appender.apply:383
2378,net.bytebuddy.jar.asm.Type.getDescriptor:535
2298,net.bytebuddy.description.method.ParameterList$AbstractBase.hasExplicitMetaData:84
2283,net.bytebuddy.description.type.TypeDescription$AbstractBase.getGenericSignature:7824
2283,net.bytebuddy.implementation.attribute.TypeAttributeAppender$ForInstrumentedType.apply:77
2223,org.apache.kafka.common.config.AbstractConfig.extractPotentialVariables:445
2178,net.bytebuddy.dynamic.loading.ClassInjector$AbstractBase.inject:106
2173,net.bytebuddy.implementation.auxiliary.MethodCallProxy.make:154
2147,org.apache.kafka.common.config.AbstractConfig.<init>:43
2133,org.apache.kafka.clients.producer.internals.Sender.addToInflightBatches:226
2133,org.apache.kafka.clients.producer.internals.Sender$SenderMetrics.updateProduceRequestMetrics:919
2133,org.apache.kafka.clients.producer.internals.Sender.sendProduceRequests:752
2133,org.apache.kafka.clients.producer.internals.Sender.sendProducerData:339
2126,net.bytebuddy.implementation.bytecode.collection.ArrayFactory$ArrayStackManipulation.isValid:301
2100,com.google.gson.internal.bind.TypeAdapters$29.write:737
