Reading traces...
	read 1000 traces
	read 2000 traces
	read 3000 traces
	read 4000 traces
	read 5000 traces
	read 6000 traces
	read 7000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
	processed 2000 traces
	processed 3000 traces
	processed 4000 traces
	processed 5000 traces
	processed 6000 traces
	processed 7000 traces
Total 1270427873 events and 55088488 traces
Inspecting top 200000 IMM
Finding hot methods...
	processed 1000 events
	processed 2000 events
Number of events, method name
1184813449,au.com.bytecode.opencsv.CSVParser.parseLine:191
41209461,au.com.bytecode.opencsv.CSVWriter.writeNext:220
20473835,genepi.io.table.writer.CsvTableWriter.setDouble:77
18030021,genepi.riskscore.tasks.MergeScoreTaskTest.testMergeHugeFiles:116
1430206,picocli.CommandLine$Model$Interpolator.resolveLookups:12352
846277,genepi.riskscore.io.RiskScoreFile.buildIndex:119
676510,genepi.riskscore.io.vcf.MinimalVariantContext.getInfo:223
429085,genepi.io.table.writer.CsvTableWriter.setInteger:82
330678,htsjdk.variant.vcf.VCF4Parser.parseLine:103
228944,io.marioslab.basis.template.parsing.Ast$Text.<init>:57
183304,picocli.CommandLine$Model$Interpolator.findOpeningDollar:12390
147725,com.google.gson.Gson.getAdapter:434
136616,genepi.riskscore.tasks.LiftOverScoreTask.run:53
107900,htsjdk.samtools.liftover.Chain.addBlock:171
91048,htsjdk.samtools.liftover.LiftOver.liftOver:143
91016,picocli.CommandLine$Help$Ansi$Text.concat:18266
91008,htsjdk.samtools.util.OverlapDetector.getOverlaps:179
89612,htsjdk.variant.vcf.VCFHeader.buildVCFReaderMaps:226
80055,htsjdk.samtools.util.BlockCompressedInputStream.read:329
79300,picocli.CommandLine$Model$CommandSpec.resemblesOption:7539
74026,com.google.gson.internal.Excluder.excludeClassInStrategy:215
56555,genepi.riskscore.io.csv.CsvWithHeaderTableWriter.setInteger:101
55968,htsjdk.tribble.util.ParsingUtils.isSorted:337
32604,genepi.io.table.reader.CsvTableReader.readHeader:59
32130,picocli.CommandLine$Help$ColorScheme$Builder.addAll:17804
28980,htsjdk.variant.vcf.VCFHeader.removeVCFVersionLines:335
26768,htsjdk.variant.vcf.VCFHeader.createLookupEntriesForAllHeaderLines:348
25530,genepi.riskscore.tasks.ApplyScoreTask.processVCF:220
23206,htsjdk.variant.vcf.AbstractVCFCodec.parseHeaderFromLines:139
21952,genepi.riskscore.io.OutputFileWriter.<init>:32
19396,htsjdk.samtools.util.OverlapDetector.getAll:131
18228,picocli.CommandLine$Model$CommandSpec.validate:6407
16914,htsjdk.variant.vcf.VCFStandardHeaderLines.repairStandardHeaderLines:63
15714,htsjdk.samtools.liftover.LiftOver.<init>:52
