Reading traces...
	read 1000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
Total 172791355 events and 62346640 traces
Inspecting top 200000 IMM
Finding hot methods...
	processed 1000 events
Number of events, method name
157751511,cc.mallet.fst.SumLatticeDefault.<init>:98
5390000,cc.mallet.fst.SumLatticeScaling.<init>:92
4928927,cc.mallet.pipe.tsf.OffsetConjunctions.makeConjunctions:137
865256,cc.mallet.fst.MaxLatticeDefault.<init>:288
865256,cc.mallet.fst.MaxLatticeDefault.getCache:144
627651,cc.mallet.types.SparseVector.<init>:175
309766,cc.mallet.classify.MaxEntOptimizableByLabelLikelihood.getValue:169
259434,cc.mallet.types.FeatureVector.toString:352
257892,cc.mallet.util.search.AStar.search:70
257892,cc.mallet.util.search.SearchNode$NextNodeIterator.hasNext:32
253028,cc.mallet.pipe.CharSequence2TokenSequence.pipe:63
157748,cc.mallet.fst.tests.TestCRF$TestCRFTokenSequenceRemoveSpaces.pipe:397
113583,cc.mallet.types.SparseVector.<init>:71
95733,cc.mallet.optimize.tests.TestOptimizable.testValueAndGradientCurrentParameters:139
94101,cc.mallet.types.RankedFeatureVector.setRankOrder:68
52299,cc.mallet.types.AugmentableFeatureVector.add:175
43256,cc.mallet.types.TokenSequence.add:88
43250,cc.mallet.types.Dirichlet.randomTokenSequence:1622
40204,cc.mallet.optimize.BackTrackLineSearch.optimize:77
38925,cc.mallet.pipe.iterator.RandomTokenSequenceIterator.next:125
33830,cc.mallet.fst.CRFOptimizableByLabelLikelihood.getValue:194
33239,cc.mallet.optimize.LimitedMemoryBFGS.optimize:98
29650,cc.mallet.pipe.Pipe$SimplePipeInstanceIterator.next:295
29302,cc.mallet.types.ArraySequence.toString:72
24396,cc.mallet.classify.Trial.<init>:46
22159,cc.mallet.types.Token.toString:51
18926,cc.mallet.types.InstanceList.addThruPipe:251
15514,cc.mallet.cluster.Clustering.toString:110
15399,cc.mallet.pipe.Pipe$SimplePipeInstanceIterator.hasNext:293
12857,cc.mallet.types.Alphabet.lookupIndex:106
11142,cc.mallet.classify.MaxEntOptimizableByLabelLikelihood.<init>:36
7147,cc.mallet.types.TokenSequence.toString:62
6877,cc.mallet.extract.StringSpan.toString:78
6654,cc.mallet.optimize.LimitedMemoryBFGS.push:323
5935,cc.mallet.fst.tests.TestCRF.doTestCost:255
5622,cc.mallet.pipe.SGML2TokenSequence.pipe:71
4360,cc.mallet.types.FeatureSequence.toFeatureIndexSequence:164
3203,cc.mallet.fst.CRFTrainerByLabelLikelihood.train:143
2851,cc.mallet.pipe.SerialPipes.resolveAlphabets:68
