Reading traces...
Reading specs frequency...
Reading locations...
Counting events...
Total 48266766 events and 18050481 traces
Inspecting top 200 IMM
Finding hot methods...
	processed 1000 events
Number of events, method name
17022697,com.fasterxml.jackson.databind.node.ObjectNode.serialize:310
10007300,com.jayway.jsonpath.internal.Utils.concat:46
5003470,com.jayway.jsonpath.Configuration$ConfigurationBuilder.options:208
4009738,com.fasterxml.jackson.databind.deser.std.UntypedObjectDeserializer$Vanilla.mapObject:922
3002298,com.fasterxml.jackson.core.json.WriterBasedJsonGenerator.close:975
2001432,com.jayway.jsonpath.spi.cache.LRUCache.removeThenAddKey:77
2001392,com.jayway.jsonpath.spi.json.AbstractJsonProvider.setArrayIndex:52
1000766,com.fasterxml.jackson.core.util.TextBuffer.append:658
1000752,com.fasterxml.jackson.databind.util.TokenBuffer$Segment.<init>:2074
1000752,com.fasterxml.jackson.databind.ObjectMapper.valueToTree:3374
1000752,com.fasterxml.jackson.databind.ObjectReader._bindAndClose:2037
1000752,com.fasterxml.jackson.databind.ObjectWriter._writeValueAndClose:1214
14568,com.fasterxml.jackson.databind.node.ObjectNode.deepCopy:54
14202,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._sortProperties:1134
14118,com.fasterxml.jackson.databind.introspect.AnnotatedMethodCollector.collect:46
12544,com.fasterxml.jackson.databind.introspect.AnnotatedClassResolver.resolveClassAnnotations:225
12070,com.fasterxml.jackson.databind.jsontype.impl.TypeNameIdResolver.construct:53
9708,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector.collectAll:418
8949,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._addInjectables:828
6826,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._removeUnwantedProperties:890
6818,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._removeUnwantedAccessor:923
6650,com.fasterxml.jackson.databind.jsontype.impl.StdSubtypeResolver._collectAndResolveByTypeId:283
6608,com.fasterxml.jackson.databind.jsontype.impl.StdSubtypeResolver._collectAndResolve:241
6557,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._addMethods:679
5836,com.fasterxml.jackson.databind.introspect.AnnotatedClassResolver._addSuperTypes:162
5648,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._renameProperties:959
5161,com.fasterxml.jackson.databind.introspect.AnnotationCollector$NCollector.asAnnotations:141
5152,com.fasterxml.jackson.databind.introspect.AnnotatedMethodCollector._addMemberMethods:110
4905,com.fasterxml.jackson.databind.introspect.DefaultAccessorNamingStrategy.legacyManglePropertyName:139
4155,com.fasterxml.jackson.databind.introspect.AnnotatedClassResolver._addSuperInterfaces:186
4100,com.fasterxml.jackson.databind.jsontype.impl.StdSubtypeResolver._combineNamedAndUnnamed:314
3518,com.fasterxml.jackson.databind.introspect.AnnotatedFieldCollector.collect:48
3341,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._addCreators:609
2982,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._anyIndexed:1236
2392,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._addFields:485
2113,com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.addBeanProps:500
2112,com.fasterxml.jackson.databind.introspect.AnnotatedMethodMap.iterator:54
1906,com.fasterxml.jackson.databind.node.ObjectNode.replace:453
1862,com.fasterxml.jackson.databind.deser.BasicDeserializerFactory._findCreatorsFromProperties:327
1772,com.fasterxml.jackson.databind.ser.BeanSerializerFactory.removeIgnorableTypes:758
1754,com.fasterxml.jackson.databind.deser.BeanDeserializerBase.resolve:503
1664,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector.getProperties:233
1588,com.fasterxml.jackson.databind.introspect.AnnotationCollector$NCollector.<init>:134
1562,com.fasterxml.jackson.databind.util.CompactStringObjectMap.construct:41
1517,com.fasterxml.jackson.databind.deser.BeanDeserializerBuilder.build:372
1418,com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.filterBeanProps:697
1249,com.fasterxml.jackson.databind.introspect.BasicBeanDescription.findBackReferences:525
1197,com.fasterxml.jackson.databind.deser.impl.BeanPropertyMap.init:214
1179,com.fasterxml.jackson.databind.introspect.BasicBeanDescription.getFactoryMethods:572
1166,com.fasterxml.jackson.databind.util.EnumResolver._constructFor:88
1160,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._property:1273
1156,com.fasterxml.jackson.databind.introspect.AnnotatedFieldCollector._findFields:65
1133,com.fasterxml.jackson.databind.deser.BeanDeserializerBuilder._collectAliases:550
1133,com.fasterxml.jackson.databind.deser.BeanDeserializerBuilder._fixAccess:514
1036,com.fasterxml.jackson.databind.ser.BeanSerializerFactory.findBeanProperties:595
896,com.fasterxml.jackson.databind.util.ObjectBuffer.completeAndClearBuffer:161
753,com.fasterxml.jackson.databind.introspect.AnnotatedCreatorCollector._findPotentialFactories:194
728,com.jayway.jsonpath.internal.Utils.join:28
715,com.fasterxml.jackson.databind.type.SimpleType.toString:307
695,com.fasterxml.jackson.databind.deser.BasicDeserializerFactory._addExplicitConstructorCreators:434
692,com.fasterxml.jackson.databind.ser.SerializerCache.addAndResolveNonTypedSerializer:190
684,com.fasterxml.jackson.databind.util.LRUMap.put:43
678,com.fasterxml.jackson.databind.introspect.AnnotatedCreatorCollector._findPotentialConstructors:106
670,com.fasterxml.jackson.databind.deser.BasicDeserializerFactory._addExplicitFactoryCreators:639
648,com.fasterxml.jackson.databind.deser.BeanDeserializerBuilder.addProperty:187
627,com.fasterxml.jackson.databind.type.SimpleType.buildCanonicalName:218
622,com.fasterxml.jackson.databind.node.ArrayNode.deepCopy:63
610,com.fasterxml.jackson.databind.deser.BasicDeserializerFactory._addImplicitConstructorCreators:487
534,com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.isIgnorableType:969
500,com.fasterxml.jackson.databind.ser.impl.ReadOnlyClassToSerializerMap.<init>:28
448,com.fasterxml.jackson.databind.util.ObjectBuffer.resetAndStart:68
340,com.fasterxml.jackson.core.io.SerializedString.appendQuoted:147
336,com.jayway.jsonpath.internal.path.PropertyPathToken.getPathFragment:100
332,com.fasterxml.jackson.databind.ser.std.CollectionSerializer.serializeContents:114
