Reading traces...
	read 1000 traces
	read 2000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
	processed 2000 traces
Total 347262747 events and 16217154 traces
Inspecting top 20000000 IMM
Finding hot methods...
	processed 1000 events
Number of events, method name
262144788,no.ecc.vectortile.VectorTileEncoder.addFeature:140
41180234,no.ecc.vectortile.VectorTileDecoder$FeatureIterator.parseFeature:231
24441050,vector_tile.VectorTile$Tile$Feature.<init>:1590
6127519,no.ecc.vectortile.VectorTileDecoder$FeatureIterator.parseLayer:197
5091645,no.ecc.vectortile.VectorTileDecoder$FeatureIterator.findNext:167
4000010,no.ecc.vectortile.VectorTileDecoderTest.testBigTile:266
2047866,vector_tile.VectorTile$Tile$Layer.<init>:2840
1032721,com.google.protobuf.FieldSet.isInitialized:442
1032665,com.google.protobuf.SmallSortedMap$1.makeImmutable:104
40650,com.google.protobuf.UnmodifiableLazyStringList$2.hasNext:170
30780,com.google.protobuf.UnmodifiableLazyStringList$2.next:175
12425,no.ecc.vectortile.VectorTileDecoder$FeatureIterable.asList:107
10593,com.google.protobuf.LazyStringArrayList.add:220
10260,com.google.protobuf.LazyStringArrayList.get:115
10187,vector_tile.VectorTile$Tile.<init>:73
10065,com.google.protobuf.UnmodifiableLazyStringList$2.<init>:166
3210,com.google.protobuf.FieldSet.iterator:222
2526,com.google.protobuf.AbstractMessageLite$Builder.addAllCheckingNulls:356
2392,org.locationtech.jts.noding.MCIndexNoder.intersectChains:74
2098,no.ecc.vectortile.VectorTileDecoderTest.testPolygonWithThreePointHole:297
1100,no.ecc.vectortile.VectorTileEncoderPerformanceTest.testManyPoints:21
919,no.ecc.vectortile.VectorTileDecoderTest.testLineWithOnePoint:283
868,org.locationtech.jts.geomgraph.EdgeEndStar.propagateSideLabels:257
833,org.locationtech.jts.io.WKTWriter.appendCoordinate:529
724,com.google.protobuf.UnknownFieldSet.getSerializedSize:212
724,com.google.protobuf.UnknownFieldSet.writeTo:137
713,org.locationtech.jts.geomgraph.EdgeIntersectionList.iterator:61
639,org.locationtech.jts.geomgraph.NodeMap.values:98
637,org.locationtech.jts.index.strtree.STRtree.verticalSlices:147
630,org.locationtech.jts.noding.MCIndexNoder.add:98
628,org.locationtech.jts.geomgraph.EdgeEndStar.computeLabelling:118
611,no.ecc.vectortile.VectorTileEncoder.encode:238
599,org.locationtech.jts.index.strtree.AbstractSTRtree.createParentBoundables:120
554,org.locationtech.jts.operation.overlay.LineBuilder.findCoveredLineEdges:68
542,org.locationtech.jts.index.strtree.STRtree$STRtreeNode.computeBounds:60
532,org.locationtech.jts.geomgraph.EdgeRing.addPoints:195
501,org.locationtech.jts.geomgraph.GeometryGraph.addSelfIntersectionNodes:431
480,org.locationtech.jts.geomgraph.EdgeIntersectionList.addSplitEdges:100
476,org.locationtech.jts.geomgraph.DirectedEdgeStar.getResultAreaEdges:157
416,no.ecc.vectortile.VectorTileEncoder.commands:406
411,org.locationtech.jts.geomgraph.EdgeEndStar.iterator:97
398,org.locationtech.jts.geomgraph.EdgeEndStar.computeEdgeEndLabels:194
382,org.locationtech.jts.geomgraph.index.SimpleMCSweepLineIntersector.addEdge:86
369,org.locationtech.jts.geomgraph.DirectedEdgeStar.findCoveredLineEdges:302
364,org.locationtech.jts.operation.relate.EdgeEndBundle.computeLabelSide:162
360,org.locationtech.jts.geomgraph.EdgeIntersectionList.add:47
333,org.locationtech.jts.operation.overlay.PolygonBuilder.buildMaximalEdgeRings:87
328,org.locationtech.jts.geomgraph.NodeMap.iterator:94
327,org.locationtech.jts.index.strtree.AbstractSTRtree.queryInternal:278
314,org.locationtech.jts.geomgraph.NodeMap.getBoundaryNodes:103
314,org.locationtech.jts.geomgraph.DirectedEdgeStar.computeLabelling:110
314,org.locationtech.jts.geomgraph.DirectedEdgeStar.mergeSymLabels:134
314,org.locationtech.jts.geomgraph.DirectedEdgeStar.updateLabelling:146
298,org.locationtech.jts.geomgraph.PlanarGraph.linkResultDirectedEdges:55
296,org.locationtech.jts.geomgraph.index.SimpleMCSweepLineIntersector.addEdges:78
284,org.locationtech.jts.operation.overlay.OverlayOp.copyPoints:415
280,org.locationtech.jts.operation.overlay.OverlayOp.findResultAreaEdges:529
280,org.locationtech.jts.operation.overlay.OverlayOp.cancelDuplicateResultEdges:552
280,org.locationtech.jts.operation.overlay.LineBuilder.collectLines:90
274,org.locationtech.jts.operation.overlay.OverlayOp.labelIncompleteNodes:483
274,org.locationtech.jts.operation.overlay.OverlayOp.updateNodeLabelling:459
274,org.locationtech.jts.operation.overlay.OverlayOp.mergeSymLabels:447
274,org.locationtech.jts.operation.overlay.OverlayOp.computeLabelling:431
274,org.locationtech.jts.operation.overlay.PointBuilder.extractNonCoveredResultNodes:70
273,org.locationtech.jts.geomgraph.NodeMap.addNode:57
261,org.locationtech.jts.geomgraph.PlanarGraph.addEdges:110
252,org.locationtech.jts.geomgraph.EdgeEndStar.insertEdgeEnd:70
249,org.locationtech.jts.geomgraph.Node.isIncidentEdgeInResult:54
232,org.locationtech.jts.geomgraph.GeometryGraph.computeSplitEdges:191
231,no.ecc.vectortile.VectorTileDecoder$FeatureIterable.getLayerNames:115
200,org.locationtech.jts.operation.valid.IsValidOp.checkNoSelfIntersectingRing:408
196,org.locationtech.jts.operation.relate.EdgeEndBundle.computeLabelOn:120
180,org.locationtech.jts.geomgraph.EdgeNodingValidator.toSegmentStrings:52
179,org.locationtech.jts.noding.MCIndexNoder.computeNodes:64
176,org.locationtech.jts.geom.GeometryFactory.buildGeometry:516
171,com.google.protobuf.GeneratedMessageV3$ExtendableMessage$ExtensionWriter.<init>:1046
168,org.locationtech.jts.geomgraph.DirectedEdgeStar.getOutgoingDegree:67
162,org.locationtech.jts.operation.relate.RelateNodeGraph.computeIntersectionNodes:90
155,org.locationtech.jts.operation.overlay.OverlayOp.insertUniqueEdges:265
147,org.locationtech.jts.geomgraph.index.MonotoneChainIndexer.getChainStartIndices:66
145,org.locationtech.jts.operation.overlay.OverlayOp.computeLabelsFromDepths:348
145,org.locationtech.jts.operation.valid.ConsistentAreaTester.hasDuplicateRings:134
145,org.locationtech.jts.operation.overlay.OverlayOp.replaceCollapsedEdges:393
145,org.locationtech.jts.geomgraph.index.SimpleMCSweepLineIntersector.addEdges:70
140,org.locationtech.jts.operation.relate.EdgeEndBuilder.computeEdgeEnds:61
123,org.locationtech.jts.operation.overlay.PolygonBuilder.buildMinimalEdgeRings:105
123,org.locationtech.jts.operation.overlay.PolygonBuilder.sortShellsAndHoles:181
119,org.locationtech.jts.index.chain.MonotoneChainBuilder.getChainStartIndices:68
112,org.locationtech.jts.geomgraph.EdgeList.add:51
103,org.locationtech.jts.operation.valid.ConnectedInteriorTester.buildEdgeRings:123
100,no.ecc.vectortile.VectorTileEncoderTest.testAutoincrementIds:375
99,org.locationtech.jts.operation.overlay.PolygonBuilder.computePolygons:270
98,org.locationtech.jts.operation.relate.EdgeEndBundle.computeLabel:79
98,org.locationtech.jts.geomgraph.EdgeEndStar.getEdges:101
98,org.locationtech.jts.operation.relate.EdgeEndBundle.iterator:61
97,org.locationtech.jts.index.strtree.AbstractNode.addChildBoundable:122
96,org.locationtech.jts.operation.buffer.OffsetSegmentString.addPt:60
93,org.locationtech.jts.index.strtree.AbstractSTRtree.insert:235
91,org.locationtech.jts.index.chain.MonotoneChainBuilder.getChains:50
90,org.locationtech.jts.operation.overlay.OverlayOp.computeGeometry:604
84,org.locationtech.jts.geomgraph.EdgeEndStar.checkAreaLabelsConsistent:219
82,org.locationtech.jts.operation.relate.RelateNodeGraph.insertEdgeEnds:128
82,no.ecc.vectortile.VectorTileDecoderTest.assertEquals:317
82,org.locationtech.jts.operation.valid.ConnectedInteriorTester.setInteriorEdgesInResult:108
