Reading traces...
Reading specs frequency...
Reading locations...
Counting events...
Total 277197640 events and 8065667 traces
Inspecting top 20000000 IMM
Finding hot methods...
Number of events, method name
235930042,no.ecc.vectortile.VectorTileEncoder.addFeature:126
31088238,no.ecc.vectortile.VectorTileDecoder$FeatureIterator.parseFeature:226
5086110,no.ecc.vectortile.VectorTileDecoder$FeatureIterator.findNext:162
4000010,no.ecc.vectortile.VectorTileDecoderTest.testBigTile:267
1065356,no.ecc.vectortile.VectorTileDecoder$FeatureIterator.parseLayer:192
12343,no.ecc.vectortile.VectorTileDecoder$FeatureIterable.asList:102
1100,no.ecc.vectortile.VectorTileEncoderPerformanceTest.testManyPoints:21
967,com.vividsolutions.jts.noding.MCIndexNoder.intersectChains:89
508,com.vividsolutions.jts.geomgraph.EdgeEndStar.propagateSideLabels:271
441,com.vividsolutions.jts.geomgraph.NodeMap.values:115
411,com.vividsolutions.jts.geomgraph.EdgeIntersectionList.iterator:78
388,com.vividsolutions.jts.geomgraph.EdgeEndStar.computeLabelling:132
360,com.vividsolutions.jts.operation.overlay.LineBuilder.findCoveredLineEdges:81
352,no.ecc.vectortile.VectorTileEncoder.encode:234
334,com.vividsolutions.jts.geomgraph.GeometryGraph.addSelfIntersectionNodes:415
297,com.vividsolutions.jts.noding.MCIndexNoder.add:113
285,com.vividsolutions.jts.geomgraph.EdgeIntersectionList.addSplitEdges:117
282,com.vividsolutions.jts.index.strtree.STRtree.verticalSlices:160
263,com.vividsolutions.jts.index.strtree.AbstractSTRtree.createParentBoundables:132
256,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.getResultAreaEdges:174
252,com.vividsolutions.jts.geomgraph.EdgeEndStar.iterator:111
242,com.vividsolutions.jts.geomgraph.EdgeEndStar.computeEdgeEndLabels:208
239,com.vividsolutions.jts.index.strtree.STRtree$STRtreeNode.computeBounds:73
234,com.vividsolutions.jts.geomgraph.NodeMap.iterator:111
222,com.vividsolutions.jts.geomgraph.EdgeIntersectionList.add:64
216,com.vividsolutions.jts.geomgraph.NodeMap.getBoundaryNodes:120
210,com.vividsolutions.jts.geomgraph.index.SimpleMCSweepLineIntersector.add:103
210,com.vividsolutions.jts.geomgraph.index.SimpleMCSweepLineIntersector.add:95
209,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.findCoveredLineEdges:319
208,com.vividsolutions.jts.operation.relate.EdgeEndBundle.computeLabelSide:176
196,com.vividsolutions.jts.operation.overlay.OverlayOp.copyPoints:354
194,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.computeLabelling:127
194,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.mergeSymLabels:151
194,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.updateLabelling:163
189,com.vividsolutions.jts.operation.overlay.PointBuilder.extractNonCoveredResultNodes:85
189,com.vividsolutions.jts.operation.overlay.OverlayOp.labelIncompleteNodes:422
189,com.vividsolutions.jts.geomgraph.PlanarGraph.linkResultDirectedEdges:72
