Reading traces...
Reading specs frequency...
Reading locations...
Counting events...
Total 41270660 events and 8066378 traces
Inspecting top 20000000 IMM
Finding hot methods...
Number of events, method name
31088238,no.ecc.vectortile.VectorTileDecoder$FeatureIterator.parseFeature:226
5086110,no.ecc.vectortile.VectorTileDecoder$FeatureIterator.findNext:162
4000010,no.ecc.vectortile.VectorTileDecoderTest.testBigTile:264
1065356,no.ecc.vectortile.VectorTileDecoder$FeatureIterator.parseLayer:192
12343,no.ecc.vectortile.VectorTileDecoder$FeatureIterable.asList:102
1347,com.vividsolutions.jts.noding.MCIndexNoder.intersectChains:89
693,com.vividsolutions.jts.geomgraph.NodeMap.values:115
668,com.vividsolutions.jts.geomgraph.EdgeEndStar.propagateSideLabels:271
500,com.vividsolutions.jts.geomgraph.EdgeEndStar.computeLabelling:132
488,com.vividsolutions.jts.operation.overlay.LineBuilder.findCoveredLineEdges:81
459,com.vividsolutions.jts.geomgraph.EdgeIntersectionList.iterator:78
405,com.vividsolutions.jts.noding.MCIndexNoder.add:113
390,com.vividsolutions.jts.geomgraph.GeometryGraph.addSelfIntersectionNodes:415
390,com.vividsolutions.jts.index.strtree.STRtree.verticalSlices:160
367,com.vividsolutions.jts.index.strtree.AbstractSTRtree.createParentBoundables:132
352,no.ecc.vectortile.VectorTileEncoder.encode:220
345,com.vividsolutions.jts.geomgraph.EdgeIntersectionList.addSplitEdges:117
336,com.vividsolutions.jts.geomgraph.EdgeEndStar.iterator:111
331,com.vividsolutions.jts.index.strtree.STRtree$STRtreeNode.computeBounds:73
330,com.vividsolutions.jts.geomgraph.NodeMap.iterator:111
312,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.getResultAreaEdges:174
300,com.vividsolutions.jts.geomgraph.NodeMap.getBoundaryNodes:120
298,com.vividsolutions.jts.geomgraph.EdgeEndStar.computeEdgeEndLabels:208
276,com.vividsolutions.jts.operation.overlay.OverlayOp.copyPoints:354
274,com.vividsolutions.jts.geomgraph.index.SimpleMCSweepLineIntersector.add:103
270,com.vividsolutions.jts.geomgraph.EdgeIntersectionList.add:64
266,com.vividsolutions.jts.geomgraph.index.SimpleMCSweepLineIntersector.add:95
265,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.findCoveredLineEdges:319
265,com.vividsolutions.jts.geomgraph.PlanarGraph.linkResultDirectedEdges:72
265,com.vividsolutions.jts.operation.overlay.OverlayOp.computeLabelling:370
265,com.vividsolutions.jts.operation.overlay.OverlayOp.updateNodeLabelling:398
265,com.vividsolutions.jts.operation.overlay.OverlayOp.mergeSymLabels:386
265,com.vividsolutions.jts.operation.overlay.OverlayOp.labelIncompleteNodes:422
265,com.vividsolutions.jts.operation.overlay.PointBuilder.extractNonCoveredResultNodes:85
250,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.updateLabelling:163
250,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.computeLabelling:127
250,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.mergeSymLabels:151
242,no.ecc.vectortile.VectorTileEncoder.addFeature:127
239,com.vividsolutions.jts.geomgraph.Node.isIncidentEdgeInResult:77
226,com.vividsolutions.jts.operation.overlay.PolygonBuilder.buildMaximalEdgeRings:98
225,com.vividsolutions.jts.geomgraph.NodeMap.addNode:74
223,com.vividsolutions.jts.operation.overlay.OverlayOp.findResultAreaEdges:468
223,com.vividsolutions.jts.operation.overlay.OverlayOp.cancelDuplicateResultEdges:491
223,com.vividsolutions.jts.operation.overlay.LineBuilder.collectLines:103
208,com.vividsolutions.jts.operation.relate.EdgeEndBundle.computeLabelSide:176
190,com.vividsolutions.jts.geomgraph.GeometryGraph.computeSplitEdges:189
180,com.vividsolutions.jts.geomgraph.PlanarGraph.addEdges:127
171,com.vividsolutions.jts.index.strtree.AbstractSTRtree.query:290
162,com.vividsolutions.jts.geomgraph.EdgeEndStar.insertEdgeEnd:84
147,com.vividsolutions.jts.geomgraph.EdgeNodingValidator.toSegmentStrings:65
142,com.vividsolutions.jts.geom.GeometryFactory.buildGeometry:479
140,com.vividsolutions.jts.operation.valid.IsValidOp.checkNoSelfIntersectingRing:409
140,com.vividsolutions.jts.io.WKTWriter.appendCoordinate:510
133,no.ecc.vectortile.VectorTileEncoder.commands:358
128,com.vividsolutions.jts.noding.MCIndexNoder.computeNodes:79
128,com.vividsolutions.jts.operation.overlay.OverlayOp.insertUniqueEdges:204
117,com.vividsolutions.jts.operation.overlay.OverlayOp.computeLabelsFromDepths:287
117,com.vividsolutions.jts.operation.overlay.OverlayOp.replaceCollapsedEdges:332
112,com.vividsolutions.jts.operation.relate.EdgeEndBundle.computeLabelOn:134
109,com.vividsolutions.jts.geomgraph.index.SimpleMCSweepLineIntersector.add:87
105,com.vividsolutions.jts.geomgraph.index.MonotoneChainIndexer.getChainStartIndices:81
99,com.vividsolutions.jts.operation.overlay.OverlayOp.computeGeometry:541
94,com.vividsolutions.jts.operation.relate.RelateNodeGraph.computeIntersectionNodes:105
89,com.vividsolutions.jts.index.chain.MonotoneChainBuilder.getChainStartIndices:87
85,com.vividsolutions.jts.operation.valid.ConsistentAreaTester.hasDuplicateRings:147
82,no.ecc.vectortile.VectorTileDecoderTest.assertEquals:287
80,com.vividsolutions.jts.operation.relate.EdgeEndBuilder.computeEdgeEnds:76
78,com.vividsolutions.jts.geomgraph.index.SimpleMCSweepLineIntersector.prepareEvents:120
76,com.vividsolutions.jts.geomgraph.EdgeEndStar.getEdges:115
76,com.vividsolutions.jts.geomgraph.EdgeList.add:69
67,com.vividsolutions.jts.index.chain.MonotoneChainBuilder.getChains:69
63,com.vividsolutions.jts.operation.overlay.LineBuilder.buildLines:168
61,com.vividsolutions.jts.operation.valid.ConnectedInteriorTester.buildEdgeRings:129
59,com.vividsolutions.jts.index.strtree.AbstractNode.addChildBoundable:141
59,com.vividsolutions.jts.index.strtree.AbstractSTRtree.insert:247
56,com.vividsolutions.jts.operation.relate.EdgeEndBundle.computeLabel:93
56,com.vividsolutions.jts.operation.relate.EdgeEndBundle.iterator:75
55,com.vividsolutions.jts.geomgraph.EdgeRing.addPoints:210
51,com.vividsolutions.jts.operation.overlay.PolygonBuilder.buildMinimalEdgeRings:116
