Reading traces...
	read 1000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
Total 337022555 events and 10194779 traces
Inspecting top 20000000 IMM
Finding hot methods...
Number of events, method name
262144756,no.ecc.vectortile.VectorTileEncoder.addFeature:140
31088493,no.ecc.vectortile.VectorTileDecoder$FeatureIterator.parseFeature:229
24327143,vector_tile.VectorTile$Tile$Feature.<init>:1590
6121672,no.ecc.vectortile.VectorTileDecoder$FeatureIterator.parseLayer:195
5086231,no.ecc.vectortile.VectorTileDecoder$FeatureIterator.findNext:165
4000010,no.ecc.vectortile.VectorTileDecoderTest.testBigTile:267
2045773,vector_tile.VectorTile$Tile$Layer.<init>:2840
1031766,com.google.protobuf.FieldSet.isInitialized:442
1031715,com.google.protobuf.SmallSortedMap$1.makeImmutable:104
40170,com.google.protobuf.UnmodifiableLazyStringList$2.hasNext:170
30201,com.google.protobuf.UnmodifiableLazyStringList$2.next:175
12415,no.ecc.vectortile.VectorTileDecoder$FeatureIterable.asList:105
10400,com.google.protobuf.LazyStringArrayList.add:220
10134,vector_tile.VectorTile$Tile.<init>:73
10067,com.google.protobuf.LazyStringArrayList.get:115
10018,com.google.protobuf.UnmodifiableLazyStringList$2.<init>:166
2212,com.google.protobuf.FieldSet.iterator:222
1554,com.google.protobuf.AbstractMessageLite$Builder.addAllCheckingNulls:356
1100,no.ecc.vectortile.VectorTileEncoderPerformanceTest.testManyPoints:21
967,org.locationtech.jts.noding.MCIndexNoder.intersectChains:74
661,com.google.protobuf.UnknownFieldSet.getSerializedSize:212
661,com.google.protobuf.UnknownFieldSet.writeTo:137
554,no.ecc.vectortile.VectorTileEncoder.encode:254
508,org.locationtech.jts.geomgraph.EdgeEndStar.propagateSideLabels:257
441,org.locationtech.jts.geomgraph.NodeMap.values:98
411,org.locationtech.jts.geomgraph.EdgeIntersectionList.iterator:61
388,org.locationtech.jts.geomgraph.EdgeEndStar.computeLabelling:118
360,org.locationtech.jts.operation.overlay.LineBuilder.findCoveredLineEdges:68
334,org.locationtech.jts.geomgraph.GeometryGraph.addSelfIntersectionNodes:431
297,org.locationtech.jts.noding.MCIndexNoder.add:98
285,org.locationtech.jts.geomgraph.EdgeIntersectionList.addSplitEdges:100
282,org.locationtech.jts.index.strtree.STRtree.verticalSlices:147
263,org.locationtech.jts.index.strtree.AbstractSTRtree.createParentBoundables:120
256,org.locationtech.jts.geomgraph.DirectedEdgeStar.getResultAreaEdges:157
252,org.locationtech.jts.geomgraph.EdgeEndStar.iterator:97
242,org.locationtech.jts.geomgraph.EdgeEndStar.computeEdgeEndLabels:194
239,org.locationtech.jts.index.strtree.STRtree$STRtreeNode.computeBounds:60
234,org.locationtech.jts.geomgraph.NodeMap.iterator:94
231,no.ecc.vectortile.VectorTileDecoder$FeatureIterable.getLayerNames:113
222,org.locationtech.jts.geomgraph.EdgeIntersectionList.add:47
216,org.locationtech.jts.geomgraph.NodeMap.getBoundaryNodes:103
210,org.locationtech.jts.geomgraph.index.SimpleMCSweepLineIntersector.addEdges:78
210,org.locationtech.jts.geomgraph.index.SimpleMCSweepLineIntersector.addEdge:86
209,org.locationtech.jts.geomgraph.DirectedEdgeStar.findCoveredLineEdges:302
208,org.locationtech.jts.operation.relate.EdgeEndBundle.computeLabelSide:162
208,no.ecc.vectortile.VectorTileEncoder.commands:402
196,org.locationtech.jts.operation.overlay.OverlayOp.copyPoints:415
194,org.locationtech.jts.geomgraph.DirectedEdgeStar.computeLabelling:110
194,org.locationtech.jts.geomgraph.DirectedEdgeStar.mergeSymLabels:134
194,org.locationtech.jts.geomgraph.DirectedEdgeStar.updateLabelling:146
189,org.locationtech.jts.operation.overlay.OverlayOp.computeLabelling:431
189,org.locationtech.jts.operation.overlay.PointBuilder.extractNonCoveredResultNodes:70
189,org.locationtech.jts.operation.overlay.OverlayOp.labelIncompleteNodes:483
189,org.locationtech.jts.geomgraph.PlanarGraph.linkResultDirectedEdges:55
189,org.locationtech.jts.operation.overlay.OverlayOp.mergeSymLabels:447
189,org.locationtech.jts.operation.overlay.OverlayOp.updateNodeLabelling:459
177,org.locationtech.jts.geomgraph.NodeMap.addNode:57
175,org.locationtech.jts.geomgraph.Node.isIncidentEdgeInResult:54
174,org.locationtech.jts.operation.overlay.PolygonBuilder.buildMaximalEdgeRings:87
171,org.locationtech.jts.operation.overlay.LineBuilder.collectLines:90
171,org.locationtech.jts.operation.overlay.OverlayOp.findResultAreaEdges:529
171,org.locationtech.jts.operation.overlay.OverlayOp.cancelDuplicateResultEdges:552
156,com.google.protobuf.GeneratedMessageV3$ExtendableMessage$ExtensionWriter.<init>:1046
146,org.locationtech.jts.geomgraph.GeometryGraph.computeSplitEdges:191
144,org.locationtech.jts.geomgraph.PlanarGraph.addEdges:110
140,org.locationtech.jts.io.WKTWriter.appendCoordinate:529
140,org.locationtech.jts.operation.valid.IsValidOp.checkNoSelfIntersectingRing:408
138,org.locationtech.jts.geomgraph.EdgeEndStar.insertEdgeEnd:70
123,org.locationtech.jts.index.strtree.AbstractSTRtree.queryInternal:278
112,org.locationtech.jts.operation.relate.EdgeEndBundle.computeLabelOn:120
111,org.locationtech.jts.geomgraph.EdgeNodingValidator.toSegmentStrings:52
100,no.ecc.vectortile.VectorTileEncoderTest.testAutoincrementIds:341
96,org.locationtech.jts.noding.MCIndexNoder.computeNodes:64
96,org.locationtech.jts.operation.overlay.OverlayOp.insertUniqueEdges:265
94,org.locationtech.jts.operation.relate.RelateNodeGraph.computeIntersectionNodes:90
94,org.locationtech.jts.geom.GeometryFactory.buildGeometry:516
89,org.locationtech.jts.operation.overlay.OverlayOp.computeLabelsFromDepths:348
89,org.locationtech.jts.operation.overlay.OverlayOp.replaceCollapsedEdges:393
85,org.locationtech.jts.operation.valid.ConsistentAreaTester.hasDuplicateRings:134
85,org.locationtech.jts.geomgraph.index.MonotoneChainIndexer.getChainStartIndices:66
82,no.ecc.vectortile.VectorTileDecoderTest.assertEquals:290
80,org.locationtech.jts.operation.relate.EdgeEndBuilder.computeEdgeEnds:61
77,org.locationtech.jts.geomgraph.index.SimpleMCSweepLineIntersector.addEdges:70
63,org.locationtech.jts.operation.overlay.OverlayOp.computeGeometry:604
61,org.locationtech.jts.operation.valid.ConnectedInteriorTester.buildEdgeRings:123
60,org.locationtech.jts.geomgraph.EdgeEndStar.getEdges:101
60,org.locationtech.jts.geomgraph.EdgeList.add:51
57,org.locationtech.jts.index.chain.MonotoneChainBuilder.getChainStartIndices:68
56,org.locationtech.jts.operation.relate.EdgeEndBundle.iterator:61
56,org.locationtech.jts.operation.relate.EdgeEndBundle.computeLabel:79
55,org.locationtech.jts.geomgraph.EdgeRing.addPoints:195
54,org.locationtech.jts.geomgraph.index.SimpleMCSweepLineIntersector.prepareEvents:103
52,com.google.protobuf.FieldSet.getSerializedSize:756
51,org.locationtech.jts.operation.overlay.LineBuilder.buildLines:155
50,no.ecc.vectortile.VectorTileEncoder$Layer.key:486
49,org.locationtech.jts.operation.relate.RelateNodeGraph.insertEdgeEnds:128
49,org.locationtech.jts.operation.valid.ConnectedInteriorTester.setInteriorEdgesInResult:108
48,org.locationtech.jts.geomgraph.EdgeEndStar.checkAreaLabelsConsistent:219
48,no.ecc.vectortile.VectorTileEncoder$Layer.value:499
47,org.locationtech.jts.operation.valid.IsValidOp.checkNoSelfIntersectingRings:393
43,org.locationtech.jts.index.strtree.AbstractNode.addChildBoundable:122
43,org.locationtech.jts.index.strtree.AbstractSTRtree.insert:235
42,org.locationtech.jts.index.chain.MonotoneChainBuilder.getChains:50
42,com.google.protobuf.LazyStringArrayList.<init>:91
