Reading traces...
	read 1000 traces
	read 2000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
	processed 2000 traces
Total 347265678 events and 16217742 traces
Inspecting top 20000000 IMM
Finding hot methods...
	processed 1000 events
Number of events, method name
262144846,no.ecc.vectortile.VectorTileEncoder.addFeature:153
41180298,no.ecc.vectortile.VectorTileDecoder$FeatureIterator.parseFeature:231
24441100,vector_tile.VectorTile$Tile$Feature.<init>:1590
6127558,no.ecc.vectortile.VectorTileDecoder$FeatureIterator.parseLayer:197
5091664,no.ecc.vectortile.VectorTileDecoder$FeatureIterator.findNext:167
4000010,no.ecc.vectortile.VectorTileDecoderTest.testBigTile:266
2047878,vector_tile.VectorTile$Tile$Layer.<init>:2840
1032733,com.google.protobuf.FieldSet.isInitialized:434
1032672,com.google.protobuf.SmallSortedMap$1.makeImmutable:99
40662,com.google.protobuf.UnmodifiableLazyStringList$2.hasNext:170
30795,com.google.protobuf.UnmodifiableLazyStringList$2.next:175
12434,no.ecc.vectortile.VectorTileDecoder$FeatureIterable.asList:107
10598,com.google.protobuf.LazyStringArrayList.add:217
10265,com.google.protobuf.LazyStringArrayList.get:112
10188,vector_tile.VectorTile$Tile.<init>:73
10066,com.google.protobuf.UnmodifiableLazyStringList$2.<init>:166
3021,com.google.protobuf.FieldSet.iterator:215
2835,com.google.protobuf.AbstractMessageLite$Builder.addAllCheckingNulls:359
2674,org.locationtech.jts.noding.MCIndexNoder.intersectChains:74
2098,no.ecc.vectortile.VectorTileDecoderTest.testPolygonWithThreePointHole:297
1100,no.ecc.vectortile.VectorTileEncoderPerformanceTest.testManyPoints:21
940,org.locationtech.jts.geomgraph.EdgeEndStar.propagateSideLabels:257
919,no.ecc.vectortile.VectorTileDecoderTest.testLineWithOnePoint:283
833,org.locationtech.jts.io.WKTWriter.appendCoordinate:730
785,com.google.protobuf.UnknownFieldSet.getSerializedSize:206
785,com.google.protobuf.UnknownFieldSet.writeTo:135
720,org.locationtech.jts.geomgraph.EdgeIntersectionList.iterator:61
715,org.locationtech.jts.index.strtree.STRtree.verticalSlices:147
711,org.locationtech.jts.noding.MCIndexNoder.add:98
705,org.locationtech.jts.geomgraph.NodeMap.values:98
676,org.locationtech.jts.geomgraph.EdgeEndStar.computeLabelling:118
671,org.locationtech.jts.index.strtree.AbstractSTRtree.createParentBoundables:120
657,no.ecc.vectortile.VectorTileEncoder.encode:266
608,org.locationtech.jts.index.strtree.STRtree$STRtreeNode.computeBounds:60
598,org.locationtech.jts.geomgraph.EdgeRing.addPoints:195
596,org.locationtech.jts.operation.overlay.LineBuilder.findCoveredLineEdges:68
523,org.locationtech.jts.geomgraph.GeometryGraph.addSelfIntersectionNodes:431
516,org.locationtech.jts.geomgraph.DirectedEdgeStar.getResultAreaEdges:157
510,org.locationtech.jts.geomgraph.EdgeIntersectionList.addSplitEdges:100
455,no.ecc.vectortile.VectorTileEncoder.commands:436
442,org.locationtech.jts.geomgraph.EdgeEndStar.iterator:97
422,org.locationtech.jts.geomgraph.EdgeEndStar.computeEdgeEndLabels:194
414,org.locationtech.jts.geomgraph.index.SimpleMCSweepLineIntersector.addEdge:86
398,org.locationtech.jts.geomgraph.DirectedEdgeStar.findCoveredLineEdges:302
384,org.locationtech.jts.geomgraph.EdgeIntersectionList.add:47
371,org.locationtech.jts.operation.overlay.PolygonBuilder.buildMaximalEdgeRings:87
364,org.locationtech.jts.operation.relate.EdgeEndBundle.computeLabelSide:162
363,org.locationtech.jts.index.strtree.AbstractSTRtree.queryInternal:285
352,org.locationtech.jts.geomgraph.NodeMap.iterator:94
338,org.locationtech.jts.geomgraph.DirectedEdgeStar.computeLabelling:110
338,org.locationtech.jts.geomgraph.DirectedEdgeStar.mergeSymLabels:134
338,org.locationtech.jts.geomgraph.DirectedEdgeStar.updateLabelling:146
336,org.locationtech.jts.geomgraph.NodeMap.getBoundaryNodes:103
325,org.locationtech.jts.geomgraph.PlanarGraph.linkResultDirectedEdges:55
312,org.locationtech.jts.geomgraph.index.SimpleMCSweepLineIntersector.addEdges:78
304,org.locationtech.jts.operation.overlay.OverlayOp.copyPoints:415
303,org.locationtech.jts.operation.overlay.LineBuilder.collectLines:90
303,org.locationtech.jts.operation.overlay.OverlayOp.findResultAreaEdges:529
303,org.locationtech.jts.operation.overlay.OverlayOp.cancelDuplicateResultEdges:552
293,org.locationtech.jts.operation.overlay.OverlayOp.computeLabelling:431
293,org.locationtech.jts.operation.overlay.PointBuilder.extractNonCoveredResultNodes:70
293,org.locationtech.jts.operation.overlay.OverlayOp.labelIncompleteNodes:484
