Reading traces...
	read 1000 traces
	read 2000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
	processed 2000 traces
Total 347443655 events and 15228040 traces
Inspecting top 20000000 IMM
Finding hot methods...
	processed 1000 events
Number of events, method name
262144906,no.ecc.vectortile.VectorTileEncoder.addFeature:176
39145866,no.ecc.vectortile.VectorTileDecoder.decodeGeometry:92
24441551,vector_tile.VectorTile$Tile$Feature.<init>:1590
6127588,no.ecc.vectortile.VectorTileDecoder$FeatureIterator.parseLayer:330
5091697,no.ecc.vectortile.VectorTileDecoder$FeatureIterator.findNext:300
4000010,no.ecc.vectortile.VectorTileDecoderTest.testBigTile:274
2047885,vector_tile.VectorTile$Tile$Layer.<init>:2840
2035252,no.ecc.vectortile.VectorTileDecoder$FeatureIterator.parseFeature:364
1032745,com.google.protobuf.FieldSet.isInitialized:448
1032678,com.google.protobuf.SmallSortedMap$1.makeImmutable:99
65779,org.locationtech.jts.noding.MCIndexNoder.intersectChains:93
40670,com.google.protobuf.UnmodifiableLazyStringList$2.hasNext:170
30801,com.google.protobuf.UnmodifiableLazyStringList$2.next:175
16422,org.locationtech.jts.io.WKTReader.getNextNumber:554
16032,org.locationtech.jts.index.strtree.STRtree.verticalSlices:152
14226,org.locationtech.jts.noding.MCIndexNoder.add:118
14111,org.locationtech.jts.index.strtree.STRtree$STRtreeNode.computeBounds:65
13982,org.locationtech.jts.index.strtree.AbstractSTRtree.createParentBoundables:142
12448,no.ecc.vectortile.VectorTileDecoder$FeatureIterable.asList:240
10600,com.google.protobuf.LazyStringArrayList.add:217
10267,com.google.protobuf.LazyStringArrayList.get:112
10190,vector_tile.VectorTile$Tile.<init>:73
10068,com.google.protobuf.UnmodifiableLazyStringList$2.<init>:166
9909,org.locationtech.jts.index.strtree.AbstractSTRtree.queryInternal:307
8374,com.google.protobuf.UnknownFieldSet.writeTo:129
5577,com.google.protobuf.AbstractMessageLite$Builder.addAllCheckingNulls:368
3650,com.google.protobuf.FieldSet.iterator:232
2737,org.locationtech.jts.io.WKTReader.getCoordinateSequence:327
2629,org.locationtech.jts.index.strtree.AbstractNode.addChildBoundable:127
2339,org.locationtech.jts.index.strtree.AbstractSTRtree.insert:264
2307,org.locationtech.jts.index.chain.MonotoneChainBuilder.getChains:51
2168,org.locationtech.jts.geomgraph.index.SimpleMCSweepLineIntersector.addEdge:83
2098,no.ecc.vectortile.VectorTileDecoderTest.testPolygonWithThreePointHole:305
1735,org.locationtech.jts.operation.buffer.SubgraphDepthLocater.findStabbedSegments:96
1542,no.ecc.vectortile.VectorTileEncoder.commands:506
1496,org.locationtech.jts.geomgraph.EdgeEndStar.propagateSideLabels:260
1456,org.locationtech.jts.simplify.DouglasPeuckerLineSimplifier.simplify:55
1100,no.ecc.vectortile.VectorTileEncoderPerformanceTest.testManyPoints:21
1090,org.locationtech.jts.geomgraph.EdgeRing.addPoints:195
919,no.ecc.vectortile.VectorTileDecoderTest.testLineWithOnePoint:291
880,org.locationtech.jts.geomgraph.EdgeEndStar.computeLabelling:121
804,org.locationtech.jts.geomgraph.DirectedEdgeStar.getResultAreaEdges:158
779,org.locationtech.jts.operation.overlay.PolygonBuilder.buildMaximalEdgeRings:87
724,no.ecc.vectortile.VectorTileEncoder.encode:309
712,org.locationtech.jts.noding.MCIndexNoder.computeNodes:83
614,org.locationtech.jts.operation.overlay.LineBuilder.findCoveredLineEdges:68
582,org.locationtech.jts.operation.buffer.SubgraphDepthLocater.findStabbedSegments:65
580,org.locationtech.jts.geomgraph.DirectedEdgeStar.getOutgoingDegree:66
570,org.locationtech.jts.geomgraph.DirectedEdgeStar.findCoveredLineEdges:303
568,org.locationtech.jts.geomgraph.index.SegmentIntersector.isBoundaryPointInternal:205
532,org.locationtech.jts.geomgraph.EdgeEndStar.iterator:100
458,org.locationtech.jts.geomgraph.EdgeIntersectionList.addSplitEdges:105
455,org.locationtech.jts.operation.valid.PolygonTopologyAnalyzer.getPolygonRings:308
440,org.locationtech.jts.geomgraph.DirectedEdgeStar.computeLabelling:109
440,org.locationtech.jts.geomgraph.DirectedEdgeStar.mergeSymLabels:133
440,org.locationtech.jts.geomgraph.DirectedEdgeStar.updateLabelling:147
440,org.locationtech.jts.geomgraph.EdgeEndStar.computeEdgeEndLabels:197
435,org.locationtech.jts.operation.buffer.BufferSubgraph.add:129
428,org.locationtech.jts.index.intervalrtree.SortedPackedIntervalRTree.buildLevel:116
407,org.locationtech.jts.geomgraph.PlanarGraph.linkResultDirectedEdges:58
406,org.locationtech.jts.index.intervalrtree.SortedPackedIntervalRTree.insert:64
399,org.locationtech.jts.operation.buffer.BufferSubgraph.computeNodeDepth:208
396,org.locationtech.jts.geomgraph.PlanarGraph.addEdges:118
389,org.locationtech.jts.operation.overlay.OverlayOp.findResultAreaEdges:527
389,org.locationtech.jts.operation.overlay.OverlayOp.cancelDuplicateResultEdges:550
389,org.locationtech.jts.operation.overlay.LineBuilder.collectLines:90
372,org.locationtech.jts.operation.buffer.BufferSubgraph.computeDepths:175
372,org.locationtech.jts.geomgraph.EdgeEndStar.insertEdgeEnd:71
360,org.locationtech.jts.geomgraph.EdgeIntersectionList.add:52
357,org.locationtech.jts.operation.buffer.BufferSubgraph.clearVisitedEdges:147
357,org.locationtech.jts.operation.buffer.BufferSubgraph.findResultEdges:250
357,org.locationtech.jts.operation.buffer.RightmostEdgeFinder.findEdge:59
332,org.locationtech.jts.noding.SegmentNodeList.addSplitEdges:172
309,org.locationtech.jts.index.strtree.STRtree.createParentBoundablesFromVerticalSlices:135
308,org.locationtech.jts.noding.SegmentNodeList.findCollapsesFromInsertedNodes:129
292,org.locationtech.jts.geomgraph.Node.isIncidentEdgeInResult:51
292,org.locationtech.jts.operation.buffer.BufferSubgraph.getEnvelope:71
278,org.locationtech.jts.operation.valid.IndexedNestedHoleTester.isNested:77
264,org.locationtech.jts.operation.overlay.PolygonBuilder.sortShellsAndHoles:181
264,org.locationtech.jts.operation.overlay.PolygonBuilder.buildMinimalEdgeRings:105
264,org.locationtech.jts.geomgraph.EdgeIntersectionList.iterator:66
253,org.locationtech.jts.operation.buffer.BufferBuilder.buildSubgraphs:293
248,org.locationtech.jts.geomgraph.EdgeList.add:50
240,org.locationtech.jts.noding.SegmentNodeList.iterator:70
237,org.locationtech.jts.geomgraph.EdgeNodingValidator.toSegmentStrings:51
237,org.locationtech.jts.operation.overlay.PolygonBuilder.findEdgeRingContaining:236
231,no.ecc.vectortile.VectorTileDecoder$FeatureIterable.getLayerNames:248
225,org.locationtech.jts.operation.overlay.OverlayOp.computeLabelling:429
225,org.locationtech.jts.operation.overlay.OverlayOp.mergeSymLabels:445
225,org.locationtech.jts.operation.overlay.OverlayOp.labelIncompleteNodes:482
225,org.locationtech.jts.operation.overlay.PointBuilder.extractNonCoveredResultNodes:70
225,org.locationtech.jts.operation.overlay.OverlayOp.updateNodeLabelling:457
222,org.locationtech.jts.geomgraph.NodeMap.addNode:56
208,org.locationtech.jts.operation.buffer.BufferBuilder.createSubgraphs:264
204,org.locationtech.jts.geomgraph.NodeMap.values:102
204,com.google.protobuf.GeneratedMessageV3$ExtendableMessage$ExtensionWriter.<init>:1169
199,org.locationtech.jts.operation.overlay.OverlayOp.insertUniqueEdges:263
196,org.locationtech.jts.operation.overlay.OverlayOp.computeLabelsFromDepths:346
196,org.locationtech.jts.operation.overlay.OverlayOp.replaceCollapsedEdges:391
194,org.locationtech.jts.geomgraph.NodeMap.getBoundaryNodes:107
194,org.locationtech.jts.geomgraph.GeometryGraph.addSelfIntersectionNodes:439
186,org.locationtech.jts.operation.overlay.PolygonBuilder.placeFreeHoles:207
172,org.locationtech.jts.operation.overlay.OverlayOp.copyPoints:413
170,org.locationtech.jts.operation.valid.PolygonRing.findHoleCycleLocation:101
140,org.locationtech.jts.io.WKTWriter.appendCoordinate:735
135,org.locationtech.jts.operation.buffer.BufferBuilder.computeNodedEdges:199
132,org.locationtech.jts.noding.SegmentNodeList.add:52
131,org.locationtech.jts.geom.util.ComponentCoordinateExtracter.filter:64
128,org.locationtech.jts.geomgraph.GeometryGraph.computeSplitEdges:196
128,org.locationtech.jts.geomgraph.index.SimpleMCSweepLineIntersector.addEdges:75
128,org.locationtech.jts.geomgraph.index.SimpleMCSweepLineIntersector.addEdges:67
128,org.locationtech.jts.operation.buffer.OffsetSegmentString.addPt:60
124,org.locationtech.jts.geomgraph.PlanarGraph.add:93
118,org.locationtech.jts.geom.GeometryFactory.buildGeometry:550
115,org.locationtech.jts.noding.NodedSegmentString.getNodedSubstrings:59
104,org.locationtech.jts.geomgraph.EdgeEndStar.getEdges:104
104,org.locationtech.jts.index.strtree.STRtree.createParentBoundables:125
100,org.locationtech.jts.operation.buffer.SubgraphDepthLocater.findStabbedSegments:116
100,no.ecc.vectortile.VectorTileEncoderTest.testAutoincrementIds:418
93,no.ecc.vectortile.VectorTileEncoder.commands:457
82,no.ecc.vectortile.VectorTileDecoderTest.assertEquals:325
78,org.locationtech.jts.operation.overlay.PolygonBuilder.computePolygons:270
72,org.locationtech.jts.geomgraph.NodeMap.iterator:98
70,org.locationtech.jts.operation.valid.PolygonTopologyAnalyzer.createSegmentStrings:279
68,com.google.protobuf.FieldSet.getSerializedSize:764
68,org.locationtech.jts.operation.valid.IndexedNestedPolygonTester.isNested:85
62,no.ecc.vectortile.VectorTileEncoder$Layer.key:590
60,org.locationtech.jts.noding.SegmentNodeList.addCollapsedNodes:91
60,no.ecc.vectortile.VectorTileEncoder$Layer.value:603
57,com.google.protobuf.LazyStringArrayList.<init>:88
44,org.locationtech.jts.geomgraph.GeometryGraph.addPolygonRing:248
43,no.ecc.vectortile.VectorTileDecoder$FeatureIterator.<init>:259
40,org.locationtech.jts.geomgraph.EdgeRing.computePoints:118
38,no.ecc.vectortile.VectorTileEncoder$Layer.values:612
38,no.ecc.vectortile.VectorTileEncoder$Layer.keys:599
35,vector_tile.VectorTile$Tile$Layer$Builder.addFeatures:4010
31,com.google.protobuf.LazyStringArrayList.add:146
30,no.ecc.vectortile.VectorTileEncoder.commands:448
30,vector_tile.VectorTile$Tile$Layer$Builder.addValues:4451
27,org.locationtech.jts.operation.overlay.OverlayOp.computeGeometry:602
24,org.locationtech.jts.geomgraph.EdgeRing.addHole:75
22,org.locationtech.jts.io.WKTReader.readPolygonText:939
