Reading traces...
Reading specs frequency...
Reading locations...
Counting events...
Total 14864 events and 3571 traces
Inspecting top 20000000 IMM
Finding hot methods...
Number of events, method name
730,com.vividsolutions.jts.noding.MCIndexNoder.intersectChains:89
613,com.google.protobuf.AbstractMessageLite$Builder.checkForNullValues:336
469,com.google.protobuf.FieldSet.iterator:196
438,com.vividsolutions.jts.geomgraph.NodeMap.values:115
408,com.vividsolutions.jts.geomgraph.EdgeEndStar.propagateSideLabels:271
407,no.ecc.vectortile.VectorTileDecoder.decode:45
375,com.vividsolutions.jts.geomgraph.EdgeIntersectionList.iterator:78
324,com.vividsolutions.jts.geomgraph.EdgeEndStar.computeLabelling:132
323,com.vividsolutions.jts.operation.overlay.LineBuilder.findCoveredLineEdges:81
310,com.vividsolutions.jts.geomgraph.GeometryGraph.addSelfIntersectionNodes:415
240,com.vividsolutions.jts.geomgraph.EdgeIntersectionList.addSplitEdges:117
238,no.ecc.vectortile.VectorTileEncoder.encode:155
234,com.vividsolutions.jts.noding.MCIndexNoder.add:113
234,com.vividsolutions.jts.geomgraph.NodeMap.iterator:111
233,com.vividsolutions.jts.geomgraph.EdgeEndStar.iterator:111
228,com.vividsolutions.jts.index.strtree.STRtree.verticalSlices:160
218,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.getResultAreaEdges:174
218,com.vividsolutions.jts.index.strtree.AbstractSTRtree.createParentBoundables:132
210,com.vividsolutions.jts.geomgraph.EdgeEndStar.computeEdgeEndLabels:208
208,com.vividsolutions.jts.operation.relate.EdgeEndBundle.computeLabelSide:176
206,com.vividsolutions.jts.geomgraph.NodeMap.getBoundaryNodes:120
201,com.vividsolutions.jts.geomgraph.index.SimpleMCSweepLineIntersector.add:95
194,com.vividsolutions.jts.index.strtree.STRtree$STRtreeNode.computeBounds:73
189,com.vividsolutions.jts.operation.overlay.OverlayOp.copyPoints:354
186,com.vividsolutions.jts.geomgraph.EdgeIntersectionList.add:64
182,com.vividsolutions.jts.geomgraph.PlanarGraph.linkResultDirectedEdges:72
182,com.vividsolutions.jts.operation.overlay.OverlayOp.computeLabelling:370
182,com.vividsolutions.jts.operation.overlay.OverlayOp.updateNodeLabelling:398
182,com.vividsolutions.jts.operation.overlay.OverlayOp.mergeSymLabels:386
182,com.vividsolutions.jts.operation.overlay.OverlayOp.labelIncompleteNodes:422
182,com.vividsolutions.jts.operation.overlay.PointBuilder.extractNonCoveredResultNodes:85
174,com.vividsolutions.jts.geomgraph.index.SimpleMCSweepLineIntersector.add:103
171,com.vividsolutions.jts.geomgraph.NodeMap.addNode:74
166,no.ecc.vectortile.VectorTileEncoder.addFeature:94
163,com.vividsolutions.jts.geomgraph.Node.isIncidentEdgeInResult:77
162,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.findCoveredLineEdges:319
162,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.updateLabelling:163
162,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.computeLabelling:127
162,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.mergeSymLabels:151
141,com.vividsolutions.jts.operation.overlay.PolygonBuilder.buildMaximalEdgeRings:98
141,com.vividsolutions.jts.operation.overlay.OverlayOp.findResultAreaEdges:468
141,com.vividsolutions.jts.operation.overlay.OverlayOp.cancelDuplicateResultEdges:491
141,com.vividsolutions.jts.operation.overlay.LineBuilder.collectLines:103
140,com.vividsolutions.jts.operation.valid.IsValidOp.checkNoSelfIntersectingRing:409
140,com.vividsolutions.jts.io.WKTWriter.appendCoordinate:510
131,com.vividsolutions.jts.geomgraph.GeometryGraph.computeSplitEdges:189
126,com.vividsolutions.jts.geomgraph.PlanarGraph.addEdges:127
121,no.ecc.vectortile.VectorTileEncoder.commands:277
120,com.vividsolutions.jts.geomgraph.EdgeEndStar.insertEdgeEnd:84
112,com.vividsolutions.jts.operation.relate.EdgeEndBundle.computeLabelOn:134
105,com.google.protobuf.SmallSortedMap$EntryIterator.getOverflowIterator:577
94,com.vividsolutions.jts.operation.relate.RelateNodeGraph.computeIntersectionNodes:105
94,com.vividsolutions.jts.geom.GeometryFactory.buildGeometry:479
93,com.vividsolutions.jts.geomgraph.EdgeNodingValidator.toSegmentStrings:65
90,com.vividsolutions.jts.index.strtree.AbstractSTRtree.query:290
85,com.vividsolutions.jts.operation.valid.ConsistentAreaTester.hasDuplicateRings:147
83,vector_tile.VectorTile$Tile$Feature.<init>:1524
82,no.ecc.vectortile.VectorTileDecoderTest.assertEquals:205
81,com.vividsolutions.jts.noding.MCIndexNoder.computeNodes:79
81,com.vividsolutions.jts.operation.overlay.OverlayOp.insertUniqueEdges:204
80,com.vividsolutions.jts.operation.relate.EdgeEndBuilder.computeEdgeEnds:76
78,com.google.protobuf.AbstractMessageLite$Builder.addAll:318
74,com.vividsolutions.jts.operation.overlay.OverlayOp.computeLabelsFromDepths:287
74,com.vividsolutions.jts.operation.overlay.OverlayOp.replaceCollapsedEdges:332
73,com.vividsolutions.jts.geomgraph.index.MonotoneChainIndexer.getChainStartIndices:81
67,com.google.protobuf.SmallSortedMap$EntryIterator.hasNext:540
63,com.vividsolutions.jts.operation.overlay.OverlayOp.computeGeometry:541
63,com.google.protobuf.GeneratedMessageLite$ExtendableMessage$ExtensionWriter.<init>:254
61,com.vividsolutions.jts.operation.valid.ConnectedInteriorTester.buildEdgeRings:129
58,com.vividsolutions.jts.geomgraph.EdgeEndStar.getEdges:115
57,com.vividsolutions.jts.index.chain.MonotoneChainBuilder.getChainStartIndices:87
56,com.vividsolutions.jts.geomgraph.index.SimpleMCSweepLineIntersector.add:87
56,com.vividsolutions.jts.operation.relate.EdgeEndBundle.computeLabel:93
56,com.vividsolutions.jts.operation.relate.EdgeEndBundle.iterator:75
54,com.vividsolutions.jts.geomgraph.index.SimpleMCSweepLineIntersector.prepareEvents:120
51,com.vividsolutions.jts.operation.overlay.LineBuilder.buildLines:168
49,com.vividsolutions.jts.operation.valid.ConnectedInteriorTester.setInteriorEdgesInResult:114
49,com.vividsolutions.jts.operation.relate.RelateNodeGraph.insertEdgeEnds:143
48,com.vividsolutions.jts.geomgraph.EdgeEndStar.checkAreaLabelsConsistent:233
48,com.vividsolutions.jts.geomgraph.EdgeList.add:69
47,com.vividsolutions.jts.operation.valid.IsValidOp.checkNoSelfIntersectingRings:394
42,com.vividsolutions.jts.index.chain.MonotoneChainBuilder.getChains:69
