Reading traces...
	read 1000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
Total 334952 events and 36196 traces
Inspecting top 20000000 IMM
Finding hot methods...
Number of events, method name
235617,no.ecc.vectortile.VectorTileDecoder.decode:57
65440,vector_tile.VectorTile$Tile$Feature.<init>:1524
7159,vector_tile.VectorTile$Tile$Layer.<init>:2974
4375,com.google.protobuf.FieldSet.isInitialized:414
4347,com.google.protobuf.SmallSortedMap$1.makeImmutable:104
1349,com.google.protobuf.ByteString.copyFrom:192
825,com.vividsolutions.jts.noding.MCIndexNoder.intersectChains:89
805,com.google.protobuf.FieldSet.iterator:196
732,com.google.protobuf.AbstractMessageLite$Builder.checkForNullValues:336
501,com.vividsolutions.jts.geomgraph.NodeMap.values:115
448,com.vividsolutions.jts.geomgraph.EdgeEndStar.propagateSideLabels:271
387,com.vividsolutions.jts.geomgraph.EdgeIntersectionList.iterator:78
355,com.vividsolutions.jts.operation.overlay.LineBuilder.findCoveredLineEdges:81
352,com.vividsolutions.jts.geomgraph.EdgeEndStar.computeLabelling:132
324,com.vividsolutions.jts.geomgraph.GeometryGraph.addSelfIntersectionNodes:415
294,no.ecc.vectortile.VectorTileEncoder.encode:155
261,com.vividsolutions.jts.noding.MCIndexNoder.add:113
258,com.vividsolutions.jts.geomgraph.NodeMap.iterator:111
255,com.vividsolutions.jts.geomgraph.EdgeIntersectionList.addSplitEdges:117
255,com.vividsolutions.jts.index.strtree.STRtree.verticalSlices:160
254,com.vividsolutions.jts.geomgraph.EdgeEndStar.iterator:111
249,com.google.protobuf.UnmodifiableLazyStringList$2.next:138
244,com.vividsolutions.jts.index.strtree.AbstractSTRtree.createParentBoundables:132
232,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.getResultAreaEdges:174
231,no.ecc.vectortile.VectorTileEncoder.addFeature:94
227,com.vividsolutions.jts.geomgraph.NodeMap.getBoundaryNodes:120
224,com.vividsolutions.jts.geomgraph.EdgeEndStar.computeEdgeEndLabels:208
222,com.google.protobuf.UnmodifiableLazyStringList$2.hasNext:133
217,com.vividsolutions.jts.index.strtree.STRtree$STRtreeNode.computeBounds:73
215,com.vividsolutions.jts.geomgraph.index.SimpleMCSweepLineIntersector.add:95
209,com.vividsolutions.jts.operation.overlay.OverlayOp.copyPoints:354
208,com.vividsolutions.jts.operation.relate.EdgeEndBundle.computeLabelSide:176
201,com.vividsolutions.jts.geomgraph.PlanarGraph.linkResultDirectedEdges:72
201,com.vividsolutions.jts.operation.overlay.OverlayOp.computeLabelling:370
201,com.vividsolutions.jts.operation.overlay.OverlayOp.updateNodeLabelling:398
201,com.vividsolutions.jts.operation.overlay.OverlayOp.mergeSymLabels:386
201,com.vividsolutions.jts.operation.overlay.OverlayOp.labelIncompleteNodes:422
201,com.vividsolutions.jts.operation.overlay.PointBuilder.extractNonCoveredResultNodes:85
198,com.vividsolutions.jts.geomgraph.EdgeIntersectionList.add:64
190,com.vividsolutions.jts.geomgraph.index.SimpleMCSweepLineIntersector.add:103
183,com.vividsolutions.jts.geomgraph.NodeMap.addNode:74
179,com.vividsolutions.jts.geomgraph.Node.isIncidentEdgeInResult:77
176,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.findCoveredLineEdges:319
176,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.updateLabelling:163
176,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.computeLabelling:127
176,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.mergeSymLabels:151
154,com.vividsolutions.jts.operation.overlay.PolygonBuilder.buildMaximalEdgeRings:98
154,com.vividsolutions.jts.operation.overlay.OverlayOp.findResultAreaEdges:468
154,com.vividsolutions.jts.operation.overlay.OverlayOp.cancelDuplicateResultEdges:491
154,com.vividsolutions.jts.operation.overlay.LineBuilder.collectLines:103
145,com.google.protobuf.SmallSortedMap$EntryIterator.getOverflowIterator:577
142,com.vividsolutions.jts.geomgraph.GeometryGraph.computeSplitEdges:189
140,com.vividsolutions.jts.operation.valid.IsValidOp.checkNoSelfIntersectingRing:409
140,com.vividsolutions.jts.io.WKTWriter.appendCoordinate:510
135,com.vividsolutions.jts.geomgraph.PlanarGraph.addEdges:127
126,no.ecc.vectortile.VectorTileEncoder.commands:278
126,com.vividsolutions.jts.geomgraph.EdgeEndStar.insertEdgeEnd:84
112,com.vividsolutions.jts.operation.relate.EdgeEndBundle.computeLabelOn:134
106,com.vividsolutions.jts.geom.GeometryFactory.buildGeometry:479
102,com.vividsolutions.jts.index.strtree.AbstractSTRtree.query:290
102,com.vividsolutions.jts.geomgraph.EdgeNodingValidator.toSegmentStrings:65
94,com.google.protobuf.SmallSortedMap$EntryIterator.hasNext:540
94,com.vividsolutions.jts.operation.relate.RelateNodeGraph.computeIntersectionNodes:105
89,com.vividsolutions.jts.noding.MCIndexNoder.computeNodes:79
89,com.vividsolutions.jts.operation.overlay.OverlayOp.insertUniqueEdges:204
87,com.google.protobuf.GeneratedMessageLite$ExtendableMessage$ExtensionWriter.<init>:254
87,com.google.protobuf.AbstractMessageLite$Builder.addAll:318
85,com.vividsolutions.jts.operation.valid.ConsistentAreaTester.hasDuplicateRings:147
83,com.google.protobuf.LazyStringArrayList.add:151
83,com.google.protobuf.LazyStringArrayList.get:87
82,no.ecc.vectortile.VectorTileDecoderTest.assertEquals:251
81,com.vividsolutions.jts.operation.overlay.OverlayOp.computeLabelsFromDepths:287
81,com.vividsolutions.jts.operation.overlay.OverlayOp.replaceCollapsedEdges:332
80,com.vividsolutions.jts.operation.relate.EdgeEndBuilder.computeEdgeEnds:76
78,com.vividsolutions.jts.geomgraph.index.MonotoneChainIndexer.getChainStartIndices:81
72,com.vividsolutions.jts.operation.overlay.OverlayOp.computeGeometry:541
64,com.vividsolutions.jts.geomgraph.index.SimpleMCSweepLineIntersector.add:87
62,com.vividsolutions.jts.geomgraph.EdgeEndStar.getEdges:115
62,com.vividsolutions.jts.index.chain.MonotoneChainBuilder.getChainStartIndices:87
61,com.vividsolutions.jts.operation.valid.ConnectedInteriorTester.buildEdgeRings:129
60,com.vividsolutions.jts.geomgraph.index.SimpleMCSweepLineIntersector.prepareEvents:120
56,com.vividsolutions.jts.operation.relate.EdgeEndBundle.computeLabel:93
56,com.vividsolutions.jts.operation.relate.EdgeEndBundle.iterator:75
54,com.vividsolutions.jts.operation.overlay.LineBuilder.buildLines:168
52,com.vividsolutions.jts.geomgraph.EdgeList.add:69
49,com.vividsolutions.jts.operation.valid.ConnectedInteriorTester.setInteriorEdgesInResult:114
