Reading traces...
	read 1000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
Total 338558 events and 36900 traces
Inspecting top 20000000 IMM
Finding hot methods...
Number of events, method name
235617,no.ecc.vectortile.VectorTileDecoder.decode:57
65440,vector_tile.VectorTile$Tile$Feature.<init>:1524
7159,vector_tile.VectorTile$Tile$Layer.<init>:2974
4375,com.google.protobuf.FieldSet.isInitialized:414
4347,com.google.protobuf.SmallSortedMap$1.makeImmutable:104
1349,com.google.protobuf.ByteString.copyFrom:192
1252,com.vividsolutions.jts.noding.MCIndexNoder.intersectChains:89
810,com.google.protobuf.FieldSet.iterator:196
732,com.google.protobuf.AbstractMessageLite$Builder.checkForNullValues:336
629,com.vividsolutions.jts.geomgraph.NodeMap.values:115
628,com.vividsolutions.jts.geomgraph.EdgeEndStar.propagateSideLabels:271
472,com.vividsolutions.jts.geomgraph.EdgeEndStar.computeLabelling:132
456,com.vividsolutions.jts.operation.overlay.LineBuilder.findCoveredLineEdges:81
447,com.vividsolutions.jts.geomgraph.EdgeIntersectionList.iterator:78
378,com.vividsolutions.jts.noding.MCIndexNoder.add:113
376,com.vividsolutions.jts.geomgraph.GeometryGraph.addSelfIntersectionNodes:415
363,com.vividsolutions.jts.index.strtree.STRtree.verticalSlices:160
341,com.vividsolutions.jts.index.strtree.AbstractSTRtree.createParentBoundables:132
330,com.vividsolutions.jts.geomgraph.EdgeIntersectionList.addSplitEdges:117
315,com.vividsolutions.jts.geomgraph.EdgeEndStar.iterator:111
308,com.vividsolutions.jts.index.strtree.STRtree$STRtreeNode.computeBounds:73
306,com.vividsolutions.jts.geomgraph.NodeMap.iterator:111
298,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.getResultAreaEdges:174
294,no.ecc.vectortile.VectorTileEncoder.encode:185
284,com.vividsolutions.jts.geomgraph.EdgeEndStar.computeEdgeEndLabels:208
279,com.vividsolutions.jts.geomgraph.NodeMap.getBoundaryNodes:120
258,com.vividsolutions.jts.geomgraph.EdgeIntersectionList.add:64
258,com.vividsolutions.jts.geomgraph.index.SimpleMCSweepLineIntersector.add:103
256,com.vividsolutions.jts.operation.overlay.OverlayOp.copyPoints:354
252,com.vividsolutions.jts.geomgraph.index.SimpleMCSweepLineIntersector.add:95
251,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.findCoveredLineEdges:319
249,com.google.protobuf.UnmodifiableLazyStringList$2.next:138
246,com.vividsolutions.jts.operation.overlay.PointBuilder.extractNonCoveredResultNodes:85
246,com.vividsolutions.jts.operation.overlay.OverlayOp.labelIncompleteNodes:422
246,com.vividsolutions.jts.operation.overlay.OverlayOp.updateNodeLabelling:398
246,com.vividsolutions.jts.geomgraph.PlanarGraph.linkResultDirectedEdges:72
246,com.vividsolutions.jts.operation.overlay.OverlayOp.mergeSymLabels:386
246,com.vividsolutions.jts.operation.overlay.OverlayOp.computeLabelling:370
236,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.computeLabelling:127
236,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.mergeSymLabels:151
236,com.vividsolutions.jts.geomgraph.DirectedEdgeStar.updateLabelling:163
231,no.ecc.vectortile.VectorTileEncoder.addFeature:116
223,com.vividsolutions.jts.geomgraph.Node.isIncidentEdgeInResult:77
222,com.google.protobuf.UnmodifiableLazyStringList$2.hasNext:133
213,com.vividsolutions.jts.operation.overlay.PolygonBuilder.buildMaximalEdgeRings:98
213,com.vividsolutions.jts.geomgraph.NodeMap.addNode:74
210,com.vividsolutions.jts.operation.overlay.LineBuilder.collectLines:103
210,com.vividsolutions.jts.operation.overlay.OverlayOp.cancelDuplicateResultEdges:491
210,com.vividsolutions.jts.operation.overlay.OverlayOp.findResultAreaEdges:468
208,com.vividsolutions.jts.operation.relate.EdgeEndBundle.computeLabelSide:176
179,com.vividsolutions.jts.geomgraph.GeometryGraph.computeSplitEdges:189
171,com.vividsolutions.jts.geomgraph.PlanarGraph.addEdges:127
159,com.vividsolutions.jts.index.strtree.AbstractSTRtree.query:290
156,com.vividsolutions.jts.geomgraph.EdgeEndStar.insertEdgeEnd:84
145,com.google.protobuf.SmallSortedMap$EntryIterator.getOverflowIterator:577
140,com.vividsolutions.jts.io.WKTWriter.appendCoordinate:510
140,com.vividsolutions.jts.operation.valid.IsValidOp.checkNoSelfIntersectingRing:409
138,com.vividsolutions.jts.geomgraph.EdgeNodingValidator.toSegmentStrings:65
130,com.vividsolutions.jts.geom.GeometryFactory.buildGeometry:479
126,no.ecc.vectortile.VectorTileEncoder.commands:308
120,com.vividsolutions.jts.noding.MCIndexNoder.computeNodes:79
120,com.vividsolutions.jts.operation.overlay.OverlayOp.insertUniqueEdges:204
112,com.vividsolutions.jts.operation.relate.EdgeEndBundle.computeLabelOn:134
110,com.vividsolutions.jts.operation.overlay.OverlayOp.computeLabelsFromDepths:287
110,com.vividsolutions.jts.operation.overlay.OverlayOp.replaceCollapsedEdges:332
101,com.vividsolutions.jts.geomgraph.index.SimpleMCSweepLineIntersector.add:87
100,com.vividsolutions.jts.geomgraph.index.MonotoneChainIndexer.getChainStartIndices:81
94,com.vividsolutions.jts.operation.relate.RelateNodeGraph.computeIntersectionNodes:105
91,com.google.protobuf.SmallSortedMap$EntryIterator.hasNext:540
90,com.vividsolutions.jts.operation.overlay.OverlayOp.computeGeometry:541
87,com.google.protobuf.AbstractMessageLite$Builder.addAll:318
87,com.google.protobuf.GeneratedMessageLite$ExtendableMessage$ExtensionWriter.<init>:254
85,com.vividsolutions.jts.operation.valid.ConsistentAreaTester.hasDuplicateRings:147
84,com.vividsolutions.jts.index.chain.MonotoneChainBuilder.getChainStartIndices:87
83,com.google.protobuf.LazyStringArrayList.add:151
83,com.google.protobuf.LazyStringArrayList.get:87
82,no.ecc.vectortile.VectorTileDecoderTest.assertEquals:254
80,com.vividsolutions.jts.operation.relate.EdgeEndBuilder.computeEdgeEnds:76
72,com.vividsolutions.jts.geomgraph.index.SimpleMCSweepLineIntersector.prepareEvents:120
72,com.vividsolutions.jts.geomgraph.EdgeList.add:69
72,com.vividsolutions.jts.geomgraph.EdgeEndStar.getEdges:115
63,com.vividsolutions.jts.index.chain.MonotoneChainBuilder.getChains:69
61,com.vividsolutions.jts.operation.valid.ConnectedInteriorTester.buildEdgeRings:129
60,com.vividsolutions.jts.operation.overlay.LineBuilder.buildLines:168
56,com.vividsolutions.jts.operation.relate.EdgeEndBundle.computeLabel:93
56,com.vividsolutions.jts.operation.relate.EdgeEndBundle.iterator:75
55,com.vividsolutions.jts.geomgraph.EdgeRing.addPoints:210
