Reading traces...
	read 1000 traces
	read 2000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
	processed 2000 traces
Total 115370150 events and 16751047 traces
Inspecting top 200 IMM
Finding hot methods...
Number of events, method name
14782586,com.conveyal.osmlib.RoundTripTest.compareMap:99
9855060,com.conveyal.osmlib.OSM.copyTo:192
9812010,com.conveyal.osmlib.serializer.VarInt.writeTags:227
9548328,org.mapdb.BTreeMap$LeafNode.<init>:264
7383310,com.conveyal.osmlib.OSM.writeNode:266
4799358,org.openstreetmap.osmosis.osmbinary.Osmformat$Way$Builder.addRefs:7419
4529038,org.mapdb.BTreeMap.arrayPut:2839
4262650,org.mapdb.BTreeMap.put2:647
4188975,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseNodes$Builder.addKeysVals:6691
4069538,com.conveyal.osmlib.OSMEntity.addTag:85
3691655,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseNodes$Builder.addId:6513
3691655,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseNodes$Builder.addLat:6601
3691655,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseNodes$Builder.addLon:6646
3297819,org.mapdb.DataOutput2.write:74
3274102,com.conveyal.osmlib.VexOutput.writeTags:94
2437272,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseInfo$Builder.addUid:4789
2437272,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseInfo$Builder.addUserSid:4834
2437272,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseInfo$Builder.addTimestamp:4699
2437272,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseInfo$Builder.addChangeset:4744
2437272,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseInfo$Builder.addVersion:4654
2356332,com.conveyal.osmlib.PBFInput.parseWays:126
1648614,com.conveyal.osmlib.StringTable.getCode:27
1342825,com.conveyal.osmlib.PBFOutput.writeWay:222
1293508,org.openstreetmap.osmosis.osmbinary.Osmformat$Way$Builder.addVals:7331
1293508,org.openstreetmap.osmosis.osmbinary.Osmformat$Way$Builder.addKeys:7286
1129692,com.conveyal.osmlib.OSM.writeWay:273
564846,org.openstreetmap.osmosis.osmbinary.Osmformat$PrimitiveGroup$Builder.addWays:2844
431922,org.mapdb.SerializerBase.serializeCollection:825
285947,org.mapdb.BTreeMap$DirNode.<init>:227
274516,com.conveyal.osmlib.PBFOutput.writeNode:190
266245,org.mapdb.BTreeMap.arrayLongPut:2829
190715,com.conveyal.osmlib.StringTable.toBuilder:43
138967,com.google.protobuf.ByteString.copyFrom:206
138621,org.openstreetmap.osmosis.osmbinary.Osmformat$StringTable$Builder.mergeFrom:3328
125462,org.mapdb.SerializerBase.deserializeArrayList:1601
103366,com.conveyal.osmlib.VexOutput.writeRelation:159
78063,org.mapdb.SerializerBase$FastArrayList.add:54
73867,com.conveyal.osmlib.PBFInput.parseRelations:157
71393,com.conveyal.osmlib.PBFOutput.writeRelation:249
69744,org.mapdb.SerializerBase.serialize2:155
58977,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation$Builder.addTypes:8434
58977,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation$Builder.addMemids:8386
58977,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation$Builder.addRolesSid:8341
50801,org.mapdb.Store.serialize:152
38294,com.google.protobuf.LiteralByteString.copyToInternal:117
38089,org.openstreetmap.osmosis.osmbinary.Osmformat$StringTable$Builder.addS:3380
20433,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation$Builder.addKeys:8208
