Reading traces...
	read 1000 traces
	read 2000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
	processed 2000 traces
Total 117119686 events and 16889374 traces
Inspecting top 200 IMM
Finding hot methods...
Number of events, method name
14782588,com.conveyal.osmlib.RoundTripTest.compareMap:99
9855060,com.conveyal.osmlib.OSM.copyTo:262
9832168,com.conveyal.osmlib.serializer.VarInt.writeTags:227
9677928,org.mapdb.BTreeMap$LeafNode.<init>:264
7383310,com.conveyal.osmlib.OSM.writeNode:343
4799358,org.openstreetmap.osmosis.osmbinary.Osmformat$Way$Builder.addRefs:7419
4649508,org.mapdb.BTreeMap.arrayPut:2839
4321784,org.mapdb.BTreeMap.put2:647
4188975,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseNodes$Builder.addKeysVals:6691
4074473,com.conveyal.osmlib.OSMEntity.addTag:85
3691655,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseNodes$Builder.addId:6513
3691655,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseNodes$Builder.addLat:6601
3691655,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseNodes$Builder.addLon:6646
3311386,org.mapdb.DataOutput2.write:74
3274102,com.conveyal.osmlib.VexOutput.writeTags:97
2552054,com.conveyal.osmlib.StringTable.getCode:27
2437272,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseInfo$Builder.addVersion:4654
2437272,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseInfo$Builder.addTimestamp:4699
2437272,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseInfo$Builder.addUid:4789
2437272,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseInfo$Builder.addUserSid:4834
2437272,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseInfo$Builder.addChangeset:4744
2356332,com.conveyal.osmlib.PBFInput.parseWays:126
1342825,com.conveyal.osmlib.PBFOutput.writeWay:233
1293508,org.openstreetmap.osmosis.osmbinary.Osmformat$Way$Builder.addKeys:7286
1293508,org.openstreetmap.osmosis.osmbinary.Osmformat$Way$Builder.addVals:7331
1129692,com.conveyal.osmlib.OSM.writeWay:350
564846,org.openstreetmap.osmosis.osmbinary.Osmformat$PrimitiveGroup$Builder.addWays:2844
449967,org.mapdb.SerializerBase.serializeCollection:825
288998,org.mapdb.BTreeMap$DirNode.<init>:227
274516,com.conveyal.osmlib.PBFOutput.writeNode:201
269060,org.mapdb.BTreeMap.arrayLongPut:2829
190715,com.conveyal.osmlib.StringTable.toBuilder:43
176931,org.mapdb.Bind$6.update:430
176931,org.mapdb.BTreeMap$KeySet.add:1745
138967,com.google.protobuf.ByteString.copyFrom:206
138621,org.openstreetmap.osmosis.osmbinary.Osmformat$StringTable$Builder.mergeFrom:3328
126904,org.mapdb.SerializerBase.deserializeArrayList:1601
103366,com.conveyal.osmlib.VexOutput.writeRelation:166
82121,org.mapdb.BTreeMap.put:642
79079,org.mapdb.SerializerBase$FastArrayList.add:54
73867,com.conveyal.osmlib.PBFInput.parseRelations:157
71424,org.mapdb.SerializerBase.serialize2:155
71393,com.conveyal.osmlib.PBFOutput.writeRelation:260
58977,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation$Builder.addMemids:8386
58977,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation$Builder.addTypes:8434
58977,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation$Builder.addRolesSid:8341
51010,org.mapdb.Store.serialize:152
38294,com.google.protobuf.LiteralByteString.copyToInternal:117
38089,org.openstreetmap.osmosis.osmbinary.Osmformat$StringTable$Builder.addS:3380
34048,com.conveyal.osmlib.OSM.writeRelation:372
20433,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation$Builder.addVals:8253
20433,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation$Builder.addKeys:8208
19514,com.conveyal.osmlib.VexInput.readRelation:133
15406,org.mapdb.SerializerBase$FastArrayList.<init>:50
8174,com.conveyal.osmlib.StringTable.clear:37
5830,org.openstreetmap.osmosis.osmbinary.Osmformat$PrimitiveGroup$Builder.addRelations:2933
5379,com.google.common.io.ByteStreams.read:726
4000,com.conveyal.osmlib.NodeTrackerTest.testAgainstSet:15
3948,ch.qos.logback.classic.spi.CallerData.isInFrameworkSpaceList:111
2526,com.conveyal.osmlib.OSMTest.testOSM:13
1952,com.conveyal.osmlib.NodeTracker.block:48
1316,ch.qos.logback.core.pattern.FormattingConverter.write:37
1148,org.mapdb.DB.createTreeSet:1025
1029,ch.qos.logback.core.joran.spi.SimpleRuleStore.fullPathMatch:100
1029,org.mapdb.DB.createTreeMap:816
1008,org.mapdb.DB.catPut:104
866,org.openstreetmap.osmosis.osmbinary.BinaryParser.parse:105
846,ch.qos.logback.core.spi.AppenderAttachableImpl.appendLoopOnAppenders:46
752,ch.qos.logback.core.pattern.Converter.write:42
521,ch.qos.logback.core.joran.spi.SimpleRuleStore.middleMatch:162
514,ch.qos.logback.core.joran.spi.SimpleRuleStore.suffixMatch:109
513,ch.qos.logback.core.joran.spi.SimpleRuleStore.prefixMatch:134
395,org.mapdb.SerializerBase$singletons.<clinit>:1418
352,org.slf4j.helpers.MessageFormatter.arrayFormat:180
327,com.conveyal.osmlib.PBFInput.parseNodes:65
315,org.mapdb.DB.checkNameNotExists:1543
282,ch.qos.logback.core.spi.FilterAttachableImpl.getFilterChainDecision:51
274,ch.qos.logback.core.joran.spi.ElementPath.toStableString:111
252,org.mapdb.DB.catPut:110
252,org.mapdb.DB.namedPut:384
245,org.mapdb.SerializerPojo$ClassInfo.<init>:130
228,org.mapdb.Bind.secondaryKeys:418
210,org.mapdb.SerializerPojo.registerClass:242
196,org.mapdb.DB.createAtomicLong:1231
160,org.slf4j.helpers.MessageFormatter.safeObjectAppend:297
140,org.mapdb.DB$BTreeSetMaker.makeOrGet:736
119,ch.qos.logback.classic.PatternLayout.<clinit>:61
118,ch.qos.logback.core.status.StatusUtil.filterStatusListByTimeThreshold:58
109,org.openstreetmap.osmosis.osmbinary.Osmformat$PrimitiveBlock$Builder.addPrimitivegroup:1993
105,org.mapdb.DB$BTreeMapMaker.makeOrGet:648
103,ch.qos.logback.core.subst.Tokenizer.handleLiteralState:97
102,ch.qos.logback.core.joran.spi.SimpleRuleStore.addRule:51
94,ch.qos.logback.core.pattern.PatternLayoutBase.writeLoopOnConverters:116
94,ch.qos.logback.classic.spi.LoggingEvent.getCallerData:258
93,ch.qos.logback.core.joran.spi.ElementPath.<init>:14
90,org.openstreetmap.osmosis.osmbinary.Osmformat$PrimitiveBlock$Builder.addPrimitivegroup:2013
84,org.mapdb.SerializerPojo.getFields:292
73,com.conveyal.osmlib.PBFInput.parse:200
70,org.mapdb.Volume.fileFactory:184
70,org.mapdb.DB.getAtomicLong:1244
67,com.conveyal.osmlib.OSMEntity.getTag:41
66,ch.qos.logback.core.joran.spi.ElementPath.pop:91
64,org.slf4j.helpers.FormattingTuple.<init>:45
64,ch.qos.logback.classic.spi.LoggingEvent.<init>:107
56,com.google.protobuf.UnmodifiableLazyStringList$2.hasNext:165
56,org.mapdb.DB.getAll:1492
56,org.mapdb.BTreeMap.<init>:133
53,ch.qos.logback.core.status.StatusUtil.getHighestLevel:94
51,ch.qos.logback.core.util.EnvUtil.isJDK_N_OrHigher:26
49,org.mapdb.AsyncWriteEngine.startThreads:191
48,com.conveyal.osmlib.VEXBlock.writeDeflated:96
48,ch.qos.logback.core.joran.spi.Interpreter.callBeginAction:265
48,ch.qos.logback.core.joran.spi.Interpreter.callEndAction:305
42,org.mapdb.BTreeMap.isEmpty:1106
40,ch.qos.logback.core.joran.util.PropertySetter.capitalizeFirstLetter:388
39,ch.qos.logback.core.joran.spi.InterpretationContext.fireInPlay:182
38,ch.qos.logback.core.status.StatusUtil.containsMatch:108
37,ch.qos.logback.core.joran.spi.ElementPath.push:83
35,org.mapdb.EngineWrapper$CloseOnJVMShutdown.<init>:562
35,org.mapdb.EngineWrapper$CloseOnJVMShutdown$1.run:567
33,com.google.protobuf.UnmodifiableLazyStringList$2.next:170
30,ch.qos.logback.core.BasicStatusManager.fireStatusAddEvent:85
27,ch.qos.logback.core.subst.Tokenizer.addLiteralToken:120
24,ch.qos.logback.core.joran.spi.DefaultNestedComponentRegistry.add:30
24,ch.qos.logback.classic.LoggerContext.getLogger:107
22,ch.qos.logback.core.subst.NodeToStringTransformer.handleLiteral:119
21,org.mapdb.DBMaker.transactionDisable:309
20,ch.qos.logback.core.joran.util.PropertySetter.findAdderMethod:202
19,org.openstreetmap.osmosis.osmbinary.Osmformat$HeaderBlock$Builder.mergeFrom:572
19,com.google.protobuf.LazyStringArrayList.add:174
18,ch.qos.logback.core.joran.spi.ElementPath.duplicate:44
18,ch.qos.logback.classic.util.ContextInitializer.statusOnResourceSearch:174
18,org.mapdb.SerializerBase.readBooleanArray:1870
17,com.google.protobuf.UnmodifiableLazyStringList$2.<init>:161
16,ch.qos.logback.core.joran.action.AppenderAction.begin:40
12,ch.qos.logback.core.subst.Tokenizer.handleDefaultValueState:69
12,ch.qos.logback.classic.Logger.createChildByName:355
11,com.google.protobuf.LazyStringArrayList.get:88
11,ch.qos.logback.core.joran.action.NestedComplexPropertyIA.begin:89
10,ch.qos.logback.core.BasicStatusManager.add:59
