Reading traces...
	read 1000 traces
	read 2000 traces
	read 3000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
	processed 2000 traces
	processed 3000 traces
Total 187109911 events and 16886179 traces
Inspecting top 200 IMM
Finding hot methods...
Number of events, method name
21028331,com.google.protobuf.LongArrayList.addLong:171
20807844,com.google.protobuf.LongArrayList.addLong:164
14782584,com.conveyal.osmlib.RoundTripTest.compareMap:99
14262374,com.google.protobuf.IntArrayList.addInt:171
14246627,com.google.protobuf.IntArrayList.addInt:164
12744794,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseNodes.dynamicMethod:10215
12186360,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseInfo.dynamicMethod:7305
9855060,com.conveyal.osmlib.OSM.copyTo:263
9826332,com.conveyal.osmlib.serializer.VarInt.writeTags:227
9677928,org.mapdb.BTreeMap$LeafNode.<init>:264
7383310,com.conveyal.osmlib.OSM.writeNode:344
6168181,org.openstreetmap.osmosis.osmbinary.Osmformat$Way.dynamicMethod:11297
4649508,org.mapdb.BTreeMap.arrayPut:2839
4321784,org.mapdb.BTreeMap.put2:647
4074473,com.conveyal.osmlib.OSMEntity.addTag:85
3309470,org.mapdb.DataOutput2.write:74
3274102,com.conveyal.osmlib.VexOutput.writeTags:97
2356332,com.conveyal.osmlib.PBFInput.parseWays:126
1632804,com.conveyal.osmlib.StringTable.getCode:27
1342825,com.conveyal.osmlib.PBFOutput.writeWay:233
1129692,com.conveyal.osmlib.OSM.writeWay:351
792945,org.openstreetmap.osmosis.osmbinary.Osmformat$Way.addRefs:10794
747605,com.google.protobuf.ProtobufArrayList.add:75
691192,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseNodes.addKeysVals:9593
609318,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseNodes.addLon:9506
609318,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseNodes.addId:9256
609318,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseNodes.addLat:9419
476065,org.openstreetmap.osmosis.osmbinary.Osmformat$PrimitiveGroup.dynamicMethod:4422
432516,org.mapdb.SerializerBase.serializeCollection:825
288998,org.mapdb.BTreeMap$DirNode.<init>:227
274516,com.conveyal.osmlib.PBFOutput.writeNode:201
269060,org.mapdb.BTreeMap.arrayLongPut:2829
212624,org.openstreetmap.osmosis.osmbinary.Osmformat$Way.addVals:10663
212624,org.openstreetmap.osmosis.osmbinary.Osmformat$Way.addKeys:10596
190715,com.conveyal.osmlib.StringTable.toBuilder:43
181794,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation.dynamicMethod:12829
176931,org.mapdb.Bind$6.update:430
176931,org.mapdb.BTreeMap$KeySet.add:1745
138621,org.openstreetmap.osmosis.osmbinary.Osmformat$StringTable.dynamicMethod:4879
126904,org.mapdb.SerializerBase.deserializeArrayList:1601
103366,com.conveyal.osmlib.VexOutput.writeRelation:166
93645,org.openstreetmap.osmosis.osmbinary.Osmformat$PrimitiveGroup.addWays:3551
78330,org.mapdb.SerializerBase$FastArrayList.add:54
73867,com.conveyal.osmlib.PBFInput.parseRelations:157
73427,org.mapdb.BTreeMap.put:642
71393,com.conveyal.osmlib.PBFOutput.writeRelation:260
69792,org.mapdb.SerializerBase.serialize2:155
50902,org.mapdb.Store.serialize:152
38180,com.google.protobuf.CodedOutputStream$ArrayEncoder.write:1413
38089,org.openstreetmap.osmosis.osmbinary.Osmformat$StringTable.addS:4682
25354,com.conveyal.osmlib.OSM.writeRelation:373
19514,com.conveyal.osmlib.VexInput.readRelation:133
15271,org.mapdb.SerializerBase$FastArrayList.<init>:50
9757,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation.addTypes:12155
9757,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation.addMemids:12076
9757,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation.addRolesSid:11989
7064,com.conveyal.osmlib.StringTable.clear:37
5379,com.google.common.io.ByteStreams.read:845
4000,com.conveyal.osmlib.NodeTrackerTest.testAgainstSet:15
3989,org.roaringbitmap.ArrayContainer.add:140
3666,ch.qos.logback.classic.spi.CallerData.isInFrameworkSpaceList:105
3366,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation.addKeys:11791
3366,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation.addVals:11858
2526,com.conveyal.osmlib.OSMTest.testOSM:13
1323,com.google.protobuf.ProtobufArrayList.mutableCopyWithCapacity:65
