Reading traces...
	read 1000 traces
	read 2000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
	processed 2000 traces
Total 882064882 events and 192499821 traces
Inspecting top 200 IMM
Finding hot methods...
Number of events, method name
223680458,ch.qos.logback.core.pattern.FormattingConverter.write:37
143794701,ch.qos.logback.core.spi.AppenderAttachableImpl.appendLoopOnAppenders:46
127817512,ch.qos.logback.core.pattern.Converter.write:42
111839896,org.slf4j.helpers.MessageFormatter.arrayFormat:180
63908428,org.slf4j.helpers.MessageFormatter.safeObjectAppend:297
47931567,ch.qos.logback.core.spi.FilterAttachableImpl.getFilterChainDecision:51
15977189,ch.qos.logback.core.pattern.PatternLayoutBase.writeLoopOnConverters:116
15977156,org.slf4j.helpers.FormattingTuple.<init>:45
15977156,ch.qos.logback.classic.spi.LoggingEvent.<init>:107
14782584,com.conveyal.osmlib.RoundTripTest.compareMap:99
9855060,com.conveyal.osmlib.OSM.copyTo:192
9835509,com.conveyal.osmlib.serializer.VarInt.writeTags:227
9548332,org.mapdb.BTreeMap$LeafNode.<init>:264
7383310,com.conveyal.osmlib.OSM.writeNode:273
4799358,org.openstreetmap.osmosis.osmbinary.Osmformat$Way$Builder.addRefs:7419
4529038,org.mapdb.BTreeMap.arrayPut:2839
4262650,org.mapdb.BTreeMap.put2:647
4188975,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseNodes$Builder.addKeysVals:6691
4069550,com.conveyal.osmlib.OSMEntity.addTag:85
3691655,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseNodes$Builder.addId:6513
3691655,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseNodes$Builder.addLat:6601
3691655,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseNodes$Builder.addLon:6646
3305880,org.mapdb.DataOutput2.write:74
3274102,com.conveyal.osmlib.VexOutput.writeTags:97
2437272,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseInfo$Builder.addTimestamp:4699
2437272,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseInfo$Builder.addChangeset:4744
2437272,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseInfo$Builder.addVersion:4654
2437272,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseInfo$Builder.addUserSid:4834
2437272,org.openstreetmap.osmosis.osmbinary.Osmformat$DenseInfo$Builder.addUid:4789
2356332,com.conveyal.osmlib.PBFInput.parseWays:126
1413266,com.conveyal.osmlib.StringTable.getCode:27
1342825,com.conveyal.osmlib.PBFOutput.writeWay:233
1293508,org.openstreetmap.osmosis.osmbinary.Osmformat$Way$Builder.addKeys:7286
1293508,org.openstreetmap.osmosis.osmbinary.Osmformat$Way$Builder.addVals:7331
1129692,com.conveyal.osmlib.OSM.writeWay:280
564846,org.openstreetmap.osmosis.osmbinary.Osmformat$PrimitiveGroup$Builder.addWays:2844
431922,org.mapdb.SerializerBase.serializeCollection:825
285946,org.mapdb.BTreeMap$DirNode.<init>:227
274516,com.conveyal.osmlib.PBFOutput.writeNode:201
266245,org.mapdb.BTreeMap.arrayLongPut:2829
190715,com.conveyal.osmlib.StringTable.toBuilder:43
138967,com.google.protobuf.ByteString.copyFrom:206
138621,org.openstreetmap.osmosis.osmbinary.Osmformat$StringTable$Builder.mergeFrom:3328
125462,org.mapdb.SerializerBase.deserializeArrayList:1601
103366,com.conveyal.osmlib.VexOutput.writeRelation:162
78063,org.mapdb.SerializerBase$FastArrayList.add:54
73867,com.conveyal.osmlib.PBFInput.parseRelations:157
71393,com.conveyal.osmlib.PBFOutput.writeRelation:260
69744,org.mapdb.SerializerBase.serialize2:155
58977,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation$Builder.addMemids:8386
58977,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation$Builder.addRolesSid:8341
58977,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation$Builder.addTypes:8434
50964,org.mapdb.Store.serialize:152
38294,com.google.protobuf.LiteralByteString.copyToInternal:117
38089,org.openstreetmap.osmosis.osmbinary.Osmformat$StringTable$Builder.addS:3380
20433,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation$Builder.addVals:8253
20433,org.openstreetmap.osmosis.osmbinary.Osmformat$Relation$Builder.addKeys:8208
19514,com.conveyal.osmlib.VexInput.readRelation:133
15245,org.mapdb.SerializerBase$FastArrayList.<init>:50
11660,com.conveyal.osmlib.OSM.writeRelation:302
6340,com.conveyal.osmlib.StringTable.clear:37
5830,org.openstreetmap.osmosis.osmbinary.Osmformat$PrimitiveGroup$Builder.addRelations:2933
5381,com.google.common.io.ByteStreams.read:726
4000,com.conveyal.osmlib.NodeTrackerTest.testAgainstSet:15
1952,com.conveyal.osmlib.NodeTracker.block:48
1029,org.mapdb.DB.createTreeMap:816
866,org.openstreetmap.osmosis.osmbinary.BinaryParser.parse:105
672,org.mapdb.DB.catPut:104
504,org.mapdb.BTreeMap.put:642
395,org.mapdb.SerializerBase$singletons.<clinit>:1418
327,com.conveyal.osmlib.PBFInput.parseNodes:65
287,org.mapdb.DB.createTreeSet:1025
245,org.mapdb.SerializerPojo$ClassInfo.<init>:130
210,org.mapdb.DB.checkNameNotExists:1543
210,org.mapdb.SerializerPojo.registerClass:242
196,org.mapdb.DB.createAtomicLong:1231
188,ch.qos.logback.core.pattern.SpacePadder.rightPad:37
188,ch.qos.logback.core.pattern.SpacePadder.spacePad:53
168,org.mapdb.DB.catPut:110
168,org.mapdb.DB.namedPut:384
119,ch.qos.logback.classic.PatternLayout.<clinit>:61
109,org.openstreetmap.osmosis.osmbinary.Osmformat$PrimitiveBlock$Builder.addPrimitivegroup:1993
105,org.mapdb.DB$BTreeMapMaker.makeOrGet:648
90,org.openstreetmap.osmosis.osmbinary.Osmformat$PrimitiveBlock$Builder.addPrimitivegroup:2013
84,org.mapdb.SerializerPojo.getFields:292
73,com.conveyal.osmlib.PBFInput.parse:200
70,org.mapdb.DB.getAtomicLong:1244
70,org.mapdb.Volume.fileFactory:184
67,com.conveyal.osmlib.OSMEntity.getTag:41
56,com.google.protobuf.UnmodifiableLazyStringList$2.hasNext:165
56,org.mapdb.DB.getAll:1492
51,ch.qos.logback.core.util.EnvUtil.isJDK_N_OrHigher:26
49,org.mapdb.AsyncWriteEngine.startThreads:191
48,com.conveyal.osmlib.VEXBlock.writeDeflated:96
35,org.mapdb.EngineWrapper$CloseOnJVMShutdown.<init>:562
35,org.mapdb.EngineWrapper$CloseOnJVMShutdown$1.run:567
35,org.mapdb.DB$BTreeSetMaker.makeOrGet:736
35,org.mapdb.BTreeMap.<init>:133
33,com.google.protobuf.UnmodifiableLazyStringList$2.next:170
27,ch.qos.logback.core.status.StatusUtil.filterStatusListByTimeThreshold:58
24,ch.qos.logback.classic.LoggerContext.getLogger:107
23,ch.qos.logback.core.status.StatusUtil.getHighestLevel:94
21,ch.qos.logback.classic.util.ContextInitializer.statusOnResourceSearch:174
21,org.mapdb.BTreeMap.isEmpty:1106
21,org.mapdb.DBMaker.transactionDisable:309
19,com.google.protobuf.LazyStringArrayList.add:174
19,org.openstreetmap.osmosis.osmbinary.Osmformat$HeaderBlock$Builder.mergeFrom:572
17,com.google.protobuf.UnmodifiableLazyStringList$2.<init>:161
