Reading traces...
	read 1000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
Total 110886630 events and 17292344 traces
Inspecting top 20000000 IMM
Finding hot methods...
	processed 1000 events
Number of events, method name
45354814,com.github.davidmoten.rtreemulti.internal.Util.mbr:43
28822498,com.github.davidmoten.rtreemulti.internal.Util.replace:71
14542206,com.github.davidmoten.rtreemulti.internal.Comparators.overlapArea:61
5616473,com.github.davidmoten.rtreemulti.SplitterQuadratic.getBestCandidateForGroup:75
1821941,com.github.davidmoten.rtreemulti.internal.EntryDefault.toString:69
1821406,com.github.davidmoten.rtreemulti.internal.NonLeafHelper.delete:58
1719207,com.github.davidmoten.rtreemulti.SplitterQuadratic.assignRemaining:55
1159095,com.github.davidmoten.rtreemulti.RTree.add:448
1039788,com.github.davidmoten.rtreemulti.SplitterRStar.marginValueSum:76
931933,com.github.davidmoten.rtreemulti.SelectorMinimalAreaIncrease.select:18
929085,com.github.davidmoten.rtreemulti.Visualizer.getRectangleDepths:80
714431,com.github.davidmoten.rtreemulti.Visualizer.drawNode:97
696135,com.github.davidmoten.rtreemulti.geometry.internal.PointDouble.toString:44
678375,com.github.davidmoten.rtreemulti.internal.Util.add:57
614108,org.davidmoten.kool.StreamIterator.nextNullChecked:15
560012,com.github.davidmoten.rtreemulti.RTree.add:488
527190,com.github.davidmoten.rtreemulti.SplitterRStar.getPairs:84
354430,com.github.davidmoten.rtreemulti.RTree.calculateMaxView:838
345414,org.davidmoten.kool.internal.util.StreamImpl$1.hasNext:24
307031,org.davidmoten.kool.internal.util.StreamImpl$1.next:29
290741,com.github.davidmoten.rtreemulti.geometry.internal.RectangleDouble.toString:68
269915,rx.internal.operators.OnSubscribeFromIterable$IterableProducer.fastPath:156
230276,org.davidmoten.kool.internal.operators.stream.FlatMap$1.loadNext:47
187569,com.github.davidmoten.rtreemulti.Iterables.size:81
120861,com.github.davidmoten.rtreemulti.SplitterRStar.split:37
112912,com.github.davidmoten.rtreemulti.internal.LeafDefault.count:36
92190,com.github.davidmoten.rtreemulti.SplitterQuadratic.split:24
91157,com.github.davidmoten.rtreemulti.RTree$Builder.packingSTR:377
89997,com.github.davidmoten.rtreemulti.internal.LeafDefault.entry:56
84252,com.github.davidmoten.rtreemulti.internal.LeafHelper.makeLeaves:64
76761,org.davidmoten.kool.internal.operators.stream.Using$1.hasNext:35
76759,org.davidmoten.kool.internal.util.StreamImpl$1.<init>:20
