Reading traces...
	read 1000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
Total 112129882 events and 17471744 traces
Inspecting top 20000000 IMM
Finding hot methods...
	processed 1000 events
Number of events, method name
45473645,com.github.davidmoten.rtreemulti.internal.Util.mbr:43
28816050,com.github.davidmoten.rtreemulti.internal.Util.replace:71
14536454,com.github.davidmoten.rtreemulti.internal.Comparators.overlapVolume:61
5615069,com.github.davidmoten.rtreemulti.SplitterQuadratic.getBestCandidateForGroup:75
1821963,com.github.davidmoten.rtreemulti.internal.EntryDefault.toString:69
1817734,com.github.davidmoten.rtreemulti.internal.NonLeafHelper.delete:58
1718775,com.github.davidmoten.rtreemulti.SplitterQuadratic.assignRemaining:55
1159109,com.github.davidmoten.rtreemulti.RTree.add:447
1042212,com.github.davidmoten.rtreemulti.SplitterRStar.marginValueSum:76
930959,com.github.davidmoten.rtreemulti.SelectorMinimalVolumeIncrease.select:18
929186,com.github.davidmoten.rtreemulti.Visualizer.getRectangleDepths:80
914108,org.davidmoten.kool.StreamIterator.nextNullChecked:15
714461,com.github.davidmoten.rtreemulti.Visualizer.drawNode:97
696135,com.github.davidmoten.rtreemulti.geometry.internal.PointDouble.toString:43
678384,com.github.davidmoten.rtreemulti.internal.Util.add:57
577031,org.davidmoten.kool.internal.util.StreamImpl$1.next:29
560022,com.github.davidmoten.rtreemulti.RTree.add:487
545434,org.davidmoten.kool.internal.util.StreamImpl$1.hasNext:24
528342,com.github.davidmoten.rtreemulti.SplitterRStar.getPairs:84
354430,com.github.davidmoten.rtreemulti.RTree.calculateMaxView:837
290763,com.github.davidmoten.rtreemulti.geometry.internal.RectangleDouble.toString:68
269111,rx.internal.operators.OnSubscribeFromIterable$IterableProducer.fastPath:156
230276,org.davidmoten.kool.internal.operators.stream.FlatMap$1.loadNext:47
190010,org.davidmoten.kool.internal.operators.stream.Buffer$1.loadNext:54
187569,com.github.davidmoten.rtreemulti.Iterables.size:81
121239,com.github.davidmoten.rtreemulti.SplitterRStar.split:37
118157,com.github.davidmoten.rtreemulti.RTree$Builder.packingSTR:376
112841,com.github.davidmoten.rtreemulti.internal.LeafDefault.count:36
92154,com.github.davidmoten.rtreemulti.SplitterQuadratic.split:24
89952,com.github.davidmoten.rtreemulti.internal.LeafDefault.entry:56
86769,org.davidmoten.kool.internal.util.StreamImpl$1.<init>:20
84324,com.github.davidmoten.rtreemulti.internal.LeafHelper.makeLeaves:64
78392,org.davidmoten.kool.internal.operators.stream.Collect.get:26
76761,org.davidmoten.kool.internal.operators.stream.Using$1.hasNext:35
70016,com.github.davidmoten.rtreemulti.internal.Util.remove:64
