Reading traces...
	read 1000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
Total 268726272 events and 29467630 traces
Inspecting top 20000000 IMM
Finding hot methods...
Number of events, method name
99011887,com.github.davidmoten.rtree.internal.Util.mbr:44
98402414,com.github.davidmoten.rtree.internal.Comparators.overlapArea:62
51303359,com.github.davidmoten.rtree.internal.Util.replace:78
4132371,com.github.davidmoten.rtree.SplitterQuadratic.getBestCandidateForGroup:75
3407412,com.github.davidmoten.rtree.SplitterRStar.marginValueSum:84
2414948,com.github.davidmoten.rtree.internal.NonLeafHelper.delete:77
1760910,com.github.davidmoten.rtree.SplitterRStar.getPairs:92
1262606,com.github.davidmoten.rtree.SplitterQuadratic.assignRemaining:55
1184346,com.github.davidmoten.rtree.internal.Util.add:64
1142279,com.github.davidmoten.rtree.SelectorMinimalAreaIncrease.select:18
928719,com.github.davidmoten.rtree.Visualizer.getRectangleDepths:78
714181,com.github.davidmoten.rtree.Visualizer.drawNode:95
444926,com.github.davidmoten.rtree.RTree.add:474
439298,com.github.davidmoten.rtree.internal.LeafDefault.count:45
354429,com.github.davidmoten.rtree.SplitterRStar.split:36
345316,com.github.davidmoten.rtree.fbs.FlatBuffersHelper.createEntries:94
322766,com.github.davidmoten.rtree.internal.LeafDefault.entry:65
203841,com.github.davidmoten.rtree.SelectorMinimalOverlapArea.select:14
126576,com.github.davidmoten.rtree.fbs.FlatBuffersHelper.addEntries:38
103508,com.github.davidmoten.rtree.internal.LeafHelper.makeLeaves:67
97723,rx.internal.operators.OperatorToObservableList$1.onNext:109
91157,com.github.davidmoten.rtree.RTree$Builder.packingSTR:363
84455,com.github.davidmoten.rtree.internal.NonLeafDefault.count:42
82175,com.github.davidmoten.rtree.internal.NonLeafDefault.child:62
70017,com.github.davidmoten.rtree.internal.Util.remove:71
54432,com.github.davidmoten.rtree.SplitterQuadratic.split:24
44010,com.github.davidmoten.rtree.RTreeTest.random:1099
40000,com.github.davidmoten.rtree.RTreeTest.nextPoint:1074
30004,com.github.davidmoten.rtree.RTreeTest.testDeleteOneFromLargeTreeThenDeleteAllAndEnsureEmpty:632
29680,com.github.davidmoten.rtree.internal.NonLeafHelper.makeNonLeaves:61
18685,com.github.davidmoten.rtree.internal.NonLeafDefault.<init>:23
13280,com.github.davidmoten.rtree.SelectorRStar.select:18
12738,com.github.davidmoten.rtree.fbs.SerializerFlatBuffers.toNodeDefault:147
10224,com.github.davidmoten.rtree.RTreeTest.testBulkLoadingTreeAndStarTreeReturnsSameAsStandardRTree:751
10048,com.github.davidmoten.rtree.internal.LeafHelper.delete:28
10005,com.github.davidmoten.rtree.RTreeTest.testBulkLoadingEntryCount:125
10001,rx.internal.operators.BlockingOperatorToIterator$SubscriberIterator.next:107
2826,rx.internal.util.SubscriptionList.unsubscribeFromAll:130
1005,com.github.davidmoten.rtree.RTreeTest.createRandomEntries:201
1003,com.github.davidmoten.rtree.Utilities.entries1000:15
1000,com.github.davidmoten.rtree.RTreeTest.testBackpressureIterationForUpTo1000Entries:426
950,rx.internal.operators.ObservableSplit$SplitSubscriber.onNext:103
906,com.github.davidmoten.rtree.RTree.asString:974
863,rx.plugins.RxJavaPlugins.getPluginImplementationViaProperty:268
570,com.github.davidmoten.rtree.geometry.RectangleImpl.toString:164
539,com.github.davidmoten.rtree.internal.EntryDefault.toString:68
506,com.github.davidmoten.rtree.geometry.Point.toString:81
318,rx.internal.util.SubscriptionList.add:71
129,com.github.davidmoten.rtree.internal.operators.OperatorBoundedPriorityQueue$1.onCompleted:33
80,com.github.davidmoten.rtree.fbs.SerializerFlatBuffersTest.serialize:82
70,com.github.davidmoten.rtree.RTreeTest.testStandardRTreeSearch2:731
70,com.github.davidmoten.rtree.RTreeTest.testStandardRTreeSearch:712
52,com.vividsolutions.jts.operation.predicate.RectangleIntersectsSegmentVisitor.checkIntersectionWithLineStrings:327
52,com.github.davidmoten.rtree.fbs.SerializerFlatBuffersTest.deserialize:91
45,com.github.davidmoten.rtree.RTreeTest$10.call:992
41,com.github.davidmoten.rtree.BackpressureTest$7.onNext:274
33,com.esotericsoftware.kryo.Kryo.addDefaultSerializer:342
28,com.github.davidmoten.rtree.RTree.delete:530
26,com.github.davidmoten.rtree.internal.util.PriorityQueue.<init>:111
24,rx.internal.operators.OperatorGroupBy$GroupBySubscriber.onCompleted:264
22,com.github.davidmoten.rtree.internal.util.BoundedPriorityQueue.asOrderedList:86
22,com.github.davidmoten.rtree.fbs.NonLeafFlatBuffers.toString:153
21,com.github.davidmoten.rtree.RTreeTest.testPerformanceAndEntriesCount:160
18,com.github.davidmoten.rtree.Serializers$3.call:164
18,com.github.davidmoten.rtree.BackpressureTest.testBackpressureIterateWhenConditionFailsAgainstNonLeafNode:201
17,com.github.davidmoten.rtree.BackpressureTest.testBackpressureIterateWhenNodeHasMaxChildrenAndIsNotRoot:187
15,com.github.davidmoten.rtree.GreekEarthquakes$3.call:40
15,com.github.davidmoten.rtree.RTreeTest$8.call:1003
14,com.github.davidmoten.rtree.Visualizer.getNodeDepthsSortedByDepth:65
13,com.github.davidmoten.rtree.RTree.delete:546
12,com.github.davidmoten.rtree.Serializers$4.call:189
11,com.esotericsoftware.reflectasm.ConstructorAccess.get:45
11,com.github.davidmoten.rtree.NodePosition.toString:31
10,com.github.davidmoten.rtree.SerializersTest.check:165
9,com.github.davidmoten.guavamini.Preconditions.checkArgument:24
8,com.esotericsoftware.kryo.serializers.FieldSerializer.rebuildCachedFields:190
8,com.vividsolutions.jts.geom.util.LinearComponentExtracter.filter:210
6,com.vividsolutions.jts.geom.PrecisionModel$Type.<init>:117
5,com.github.davidmoten.rtree.internal.util.ImmutableStackTest.testIteratorReturnsTwoItemsInOrderOfPop:76
5,com.github.davidmoten.rtree.KryoSerializationTest.testKryo:37
5,com.github.davidmoten.rtree.RTreeTest.testVisualizerWithGreekData:581
5,com.github.davidmoten.rtree.SplitterRStarTest.testGetPairs:19
5,rx.internal.util.unsafe.ConcurrentCircularArrayQueue.<init>:71
4,com.github.davidmoten.rtree.fbs.NonLeafFlatBuffers.createChildren:109
4,com.esotericsoftware.kryo.io.Output.close:191
4,com.esotericsoftware.kryo.util.ObjectMap.<init>:67
4,rx.internal.operators.OperatorGroupBy$GroupBySubscriber.onNext:189
3,com.github.davidmoten.guavamini.Preconditions.checkNotNull:14
3,rx.subscriptions.CompositeSubscription.unsubscribeFromAll:180
2,com.github.davidmoten.guavamini.Preconditions.checkArgument:19
2,com.github.davidmoten.rtree.internal.util.ImmutableStackTest.testIteratorReturnsLastPushedFirst:71
2,com.github.davidmoten.rtree.internal.util.ImmutableStackTest.testIteratorReturnsOneItem:66
2,com.github.davidmoten.guavamini.Optional.get:23
2,com.github.davidmoten.rtree.RTreeTest.testIterableDeletion:249
2,rx.internal.operators.OperatorToObservableSortedList$2.onNext:96
2,rx.internal.operators.OperatorToObservableSortedList$2.onCompleted:74
2,com.esotericsoftware.kryo.util.MapReferenceResolver.reset:64
2,com.esotericsoftware.kryo.util.MapReferenceResolver.nextReadId:50
2,com.esotericsoftware.kryo.util.MapReferenceResolver.setReadObject:56
2,com.github.davidmoten.rtree.SerializersTest.testDeleteFromFlatBuffersWhenRootNodeIsNonLeaf:123
2,com.github.davidmoten.rtree.SerializersTest.testDeleteFromFlatBuffers:82
2,com.github.davidmoten.rtree.SerializersTest.testAddToFlatBuffersWhenRootNodeIsNonLeaf:101
2,com.github.davidmoten.rtree.SerializersTest.testAddToFlatBuffers:62
2,com.github.davidmoten.rtree.SerializersTest.canRoundTripEmptyTree:144
2,com.esotericsoftware.kryo.Kryo.writeReferenceOrNull:637
2,rx.internal.operators.OperatorMerge$MergeSubscriber.addInner:285
2,rx.internal.operators.OperatorMerge$MergeSubscriber.removeInner:296
2,com.github.davidmoten.rtree.internal.util.PriorityQueue.<clinit>:0
2,rx.subscriptions.CompositeSubscription.add:64
1,com.github.davidmoten.rtree.internal.util.BoundedPriorityQueue.add:62
1,com.github.davidmoten.rtree.OnSubscribeSearchTest.testSearchProducerThrowsExceptionFromRequestAll:22
1,com.github.davidmoten.rtree.internal.util.ImmutableStack$StackIterator.remove:85
1,com.github.davidmoten.rtree.ImageSaverTest$1.call:27
1,com.github.davidmoten.internal.operators.OperatorBoundedPriorityQueueTest$6.call:148
1,com.github.davidmoten.internal.operators.OperatorBoundedPriorityQueueTest.testError:99
1,com.github.davidmoten.rtree.fbs.SerializerFlatBuffers.readFully:162
1,com.github.davidmoten.rtree.fbs.SerializerFlatBuffersTest$3.read:119
1,com.github.davidmoten.rtree.internal.util.ImmutableStackTest.testIteratorWhenHasOneItem:61
1,com.github.davidmoten.rtree.Node$$EnhancerByMockitoWithCGLIB$$708c921b.CGLIB$STATICHOOK1:0
1,rx.functions.Func1$$EnhancerByMockitoWithCGLIB$$76b1a79c.CGLIB$STATICHOOK2:0
1,rx.Subscriber$$EnhancerByMockitoWithCGLIB$$9ca87674.CGLIB$STATICHOOK3:0
1,com.github.davidmoten.rtree.internal.util.ImmutableStackTest.testRemoveThrowsException:36
1,com.esotericsoftware.kryo.serializers.DefaultSerializers$StringSerializer.write:191
1,com.github.davidmoten.rtree.internal.util.ImmutableStackTest.testIteratorWhenEmpty:56
1,com.esotericsoftware.kryo.util.IntMap.<init>:64
1,com.github.davidmoten.rtree.ImageSaver.run:32
1,com.esotericsoftware.kryo.util.IdentityObjectIntMap.<init>:61
1,com.esotericsoftware.kryo.serializers.FieldSerializer.buildValidFields:293
1,com.esotericsoftware.kryo.serializers.FieldSerializer.createCachedFields:326
1,com.esotericsoftware.kryo.io.Input.require:174
1,com.esotericsoftware.kryo.util.IntArray.resize:203
1,com.vividsolutions.jts.geom.GeometryFactory.<clinit>:0
1,com.vividsolutions.jts.geom.PrecisionModel$Type.<clinit>:115
1,com.vividsolutions.jts.geom.PrecisionModel.<clinit>:136
1,com.vividsolutions.jts.geom.impl.CoordinateArraySequenceFactory.<clinit>:47
1,com.vividsolutions.jts.geom.Coordinate.<clinit>:0
1,com.vividsolutions.jts.geom.Envelope.<clinit>:0
