Reading traces...
	read 1000 traces
	read 2000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
	processed 2000 traces
Total 286376679 events and 33009084 traces
Inspecting top 20000000 IMM
Finding hot methods...
	processed 1000 events
Number of events, method name
107682734,com.github.davidmoten.rtree.internal.Util.mbr:44
98017490,com.github.davidmoten.rtree.internal.Comparators.overlapArea:61
58698059,com.github.davidmoten.rtree.internal.Util.replace:86
5624567,com.github.davidmoten.rtree.SplitterQuadratic.getBestCandidateForGroup:76
3406156,com.github.davidmoten.rtree.SplitterRStar.marginValueSum:83
1803405,com.github.davidmoten.rtree.internal.NonLeafHelper.delete:77
1760142,com.github.davidmoten.rtree.SplitterRStar.getPairs:91
1721759,com.github.davidmoten.rtree.SplitterQuadratic.assignRemaining:55
1443379,com.github.davidmoten.rtree.SelectorMinimalAreaIncrease.select:18
1337840,com.github.davidmoten.rtree.internal.Util.add:72
928361,com.github.davidmoten.rtree.Visualizer.getRectangleDepths:78
714101,com.github.davidmoten.rtree.Visualizer.drawNode:95
444791,com.github.davidmoten.rtree.RTree.add:486
439959,com.github.davidmoten.rtree.internal.LeafDefault.count:45
354447,com.github.davidmoten.rtree.SplitterRStar.split:35
345286,com.github.davidmoten.rtree.fbs.FlatBuffersHelper.createEntries:98
323190,com.github.davidmoten.rtree.internal.LeafDefault.entry:65
203841,com.github.davidmoten.rtree.SelectorMinimalOverlapArea.select:14
128880,com.github.davidmoten.rtree.internal.LeafHelper.makeLeaves:67
123024,com.github.davidmoten.rtree.fbs.FlatBuffersHelper.addEntries:39
98125,rx.internal.operators.OperatorToObservableList$1.onNext:109
92756,com.github.davidmoten.rtree.SplitterQuadratic.split:24
91157,com.github.davidmoten.rtree.RTree$Builder.packingSTR:370
84590,com.github.davidmoten.rtree.internal.NonLeafDefault.count:42
82496,com.github.davidmoten.rtree.internal.NonLeafDefault.child:62
80018,com.github.davidmoten.rtree.internal.Util.remove:79
44010,com.github.davidmoten.rtree.RTreeTest.random:1104
42636,com.github.davidmoten.rtree.internal.NonLeafHelper.makeNonLeaves:61
40000,com.github.davidmoten.rtree.RTreeTest.nextPoint:1079
30004,com.github.davidmoten.rtree.RTreeTest.testDeleteOneFromLargeTreeThenDeleteAllAndEnsureEmpty:632
18783,net.bytebuddy.description.method.ParameterList$AbstractBase.asTypeList:87
18723,com.github.davidmoten.rtree.internal.NonLeafDefault.<init>:23
16992,net.bytebuddy.description.type.TypeList$Generic$AbstractBase.asErasures:274
13320,com.github.davidmoten.rtree.SelectorRStar.select:18
12724,com.github.davidmoten.rtree.fbs.SerializerFlatBuffers.toNodeDefault:149
10224,com.github.davidmoten.rtree.RTreeTest.testBulkLoadingTreeAndStarTreeReturnsSameAsStandardRTree:750
10048,com.github.davidmoten.rtree.internal.LeafHelper.delete:28
10005,com.github.davidmoten.rtree.RTreeTest.testBulkLoadingEntryCount:126
10001,rx.internal.operators.BlockingOperatorToIterator$SubscriberIterator.next:107
7465,net.bytebuddy.implementation.bytecode.StackManipulation$Compound.<init>:174
5060,net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Harmonized.detach:842
3782,net.bytebuddy.implementation.bytecode.StackManipulation$Compound.apply:196
3414,net.bytebuddy.implementation.bytecode.StackManipulation$Compound.isValid:186
3344,net.bytebuddy.matcher.FilterableList$AbstractBase.filter:94
2940,rx.internal.util.SubscriptionList.unsubscribeFromAll:130
2781,net.bytebuddy.description.annotation.AnnotationDescription$AbstractBase.hashCode:488
2254,net.bytebuddy.dynamic.scaffold.MethodRegistry$Default.prepare:405
1600,net.bytebuddy.description.method.ParameterList$ForTokens.get:527
1352,net.bytebuddy.description.type.TypeList$Generic$AbstractBase.getStackSize:265
1140,rx.internal.operators.ObservableSplit$SplitSubscriber.onNext:103
1085,net.bytebuddy.description.modifier.ModifierContributor$Resolver.resolve:187
1083,net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Store.asGraph:1085
1051,net.bytebuddy.implementation.bind.annotation.TargetMethodAnnotationDrivenBinder$Record.bind:110
1025,net.bytebuddy.description.method.MethodDescription$AbstractBase.getDescriptor:394
1005,com.github.davidmoten.rtree.RTreeTest.createRandomEntries:203
1003,com.github.davidmoten.rtree.Utilities.entries1000:15
1000,com.github.davidmoten.rtree.RTreeTest.testBackpressureIterationForUpTo1000Entries:427
990,net.bytebuddy.description.annotation.AnnotationList$AbstractBase.isAnnotationPresent:84
966,net.bytebuddy.utility.CompoundList.of:52
906,com.github.davidmoten.rtree.RTree.asString:978
863,rx.plugins.RxJavaPlugins.getPluginImplementationViaProperty:268
846,net.bytebuddy.implementation.bind.annotation.TargetMethodAnnotationDrivenBinder$DelegationProcessor.of:469
791,net.bytebuddy.implementation.bind.MethodDelegationBinder$MethodBinding$Builder$Build.isValid:483
725,net.bytebuddy.dynamic.scaffold.MethodRegistry$Default$Prepared.compile:665
632,net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Harmonized.getIdentifiers:895
561,net.bytebuddy.dynamic.scaffold.InstrumentedType$Default.validated:766
560,net.bytebuddy.description.method.MethodDescription$AbstractBase.getGenericSignature:404
539,com.github.davidmoten.rtree.internal.EntryDefault.toString:70
537,net.bytebuddy.implementation.bind.MethodDelegationBinder$MethodBinding$Builder.append:405
534,net.bytebuddy.implementation.Implementation$Context$Default.drain:804
504,net.bytebuddy.description.type.TypeList$Generic$AbstractBase.asRawTypes:283
486,net.bytebuddy.description.type.TypeList$Generic$AbstractBase.accept:247
449,net.bytebuddy.description.type.TypeList$Explicit.toInternalNames:155
442,net.bytebuddy.matcher.CollectionItemMatcher.matches:30
436,net.bytebuddy.dynamic.scaffold.TypeWriter$Default$ForCreation.create:4131
426,net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default.doAnalyze:570
393,net.bytebuddy.implementation.attribute.MethodAttributeAppender$ForInstrumentedMethod.apply:170
384,net.bytebuddy.implementation.attribute.AnnotationAppender$ForTypeAnnotations.apply:638
380,com.github.davidmoten.rtree.geometry.internal.RectangleFloat.toString:132
336,net.bytebuddy.description.type.TypeDescription$AbstractBase$OfSimpleType.getDescriptor:6930
331,rx.internal.util.SubscriptionList.add:71
330,com.github.davidmoten.rtree.geometry.internal.PointFloat.toString:73
326,net.bytebuddy.implementation.bytecode.collection.ArrayFactory$ArrayStackManipulation.isValid:268
314,net.bytebuddy.implementation.bind.MethodDelegationBinder$Processor.bind:1018
312,net.bytebuddy.description.method.MethodDescription$Token.asSignatureToken:1605
312,net.bytebuddy.dynamic.scaffold.TypeWriter$Default$ValidatingClassVisitor$Constraint$Compound.assertMethod:2579
312,net.bytebuddy.implementation.bind.annotation.TargetMethodAnnotationDrivenBinder$DelegationProcessor.prepare:486
300,net.bytebuddy.implementation.bytecode.ByteCodeAppender$Compound.<init>:118
298,net.bytebuddy.matcher.ElementMatchers.noneOf:422
273,net.bytebuddy.description.method.ParameterList$AbstractBase.hasExplicitMetaData:68
270,net.bytebuddy.implementation.bind.annotation.TargetMethodAnnotationDrivenBinder.compile:60
261,net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Store.inject:1055
219,net.bytebuddy.dynamic.loading.MultipleParentClassLoader$Builder.append:236
216,net.bytebuddy.implementation.bind.annotation.AllArguments$Binder.bind:131
211,net.bytebuddy.implementation.attribute.TypeAttributeAppender$ForInstrumentedType.apply:58
211,net.bytebuddy.description.type.TypeDescription$AbstractBase.getGenericSignature:6657
