Reading traces...
	read 1000 traces
	read 2000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
	processed 2000 traces
Total 286406131 events and 32820166 traces
Inspecting top 20000000 IMM
Finding hot methods...
	processed 1000 events
Number of events, method name
107709341,com.github.davidmoten.rtree.internal.Util.mbr:44
98023430,com.github.davidmoten.rtree.internal.Comparators.overlapArea:61
58714410,com.github.davidmoten.rtree.internal.Util.replace:86
5649523,com.github.davidmoten.rtree.SplitterQuadratic.getBestCandidateForGroup:76
3409000,com.github.davidmoten.rtree.SplitterRStar.marginValueSum:83
1774512,com.github.davidmoten.rtree.internal.NonLeafHelper.delete:77
1761510,com.github.davidmoten.rtree.SplitterRStar.getPairs:91
1729371,com.github.davidmoten.rtree.SplitterQuadratic.assignRemaining:55
1431471,com.github.davidmoten.rtree.SelectorMinimalAreaIncrease.select:18
1338039,com.github.davidmoten.rtree.internal.Util.add:72
929196,com.github.davidmoten.rtree.Visualizer.getRectangleDepths:78
714461,com.github.davidmoten.rtree.Visualizer.drawNode:95
445095,com.github.davidmoten.rtree.RTree.add:486
441306,com.github.davidmoten.rtree.internal.LeafDefault.count:45
354870,com.github.davidmoten.rtree.SplitterRStar.split:35
345366,com.github.davidmoten.rtree.fbs.FlatBuffersHelper.createEntries:144
324200,com.github.davidmoten.rtree.internal.LeafDefault.entry:65
203841,com.github.davidmoten.rtree.SelectorMinimalOverlapArea.select:14
129162,com.github.davidmoten.rtree.internal.LeafHelper.makeLeaves:67
123024,com.github.davidmoten.rtree.fbs.FlatBuffersHelper.addEntries:44
98566,rx.internal.operators.OperatorToObservableList$1.onNext:109
93008,com.github.davidmoten.rtree.SplitterQuadratic.split:24
91157,com.github.davidmoten.rtree.RTree$Builder.packingSTR:370
84550,com.github.davidmoten.rtree.internal.NonLeafDefault.count:42
82468,com.github.davidmoten.rtree.internal.NonLeafDefault.child:62
70017,com.github.davidmoten.rtree.internal.Util.remove:79
44010,com.github.davidmoten.rtree.RTreeTest.random:1124
42700,com.github.davidmoten.rtree.internal.NonLeafHelper.makeNonLeaves:61
40000,com.github.davidmoten.rtree.RTreeTest.nextPoint:1095
30004,com.github.davidmoten.rtree.RTreeTest.testDeleteOneFromLargeTreeThenDeleteAllAndEnsureEmpty:637
18705,com.github.davidmoten.rtree.internal.NonLeafDefault.<init>:23
13289,com.github.davidmoten.rtree.SelectorRStar.select:18
12724,com.github.davidmoten.rtree.fbs.SerializerFlatBuffers.toNodeDefault:153
10224,com.github.davidmoten.rtree.RTreeTest.testBulkLoadingTreeAndStarTreeReturnsSameAsStandardRTree:755
10051,com.github.davidmoten.rtree.internal.LeafHelper.delete:28
10005,com.github.davidmoten.rtree.RTreeTest.testBulkLoadingEntryCount:124
10001,rx.internal.operators.BlockingOperatorToIterator$SubscriberIterator.next:107
7720,net.bytebuddy.matcher.ElementMatcher$Junction$Conjunction.matches:145
7290,net.bytebuddy.description.method.ParameterList$AbstractBase.asTypeList:105
7135,net.bytebuddy.implementation.bytecode.StackManipulation$Compound.<init>:215
5589,net.bytebuddy.description.type.TypeList$Generic$AbstractBase.asErasures:334
5060,net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Harmonized.detach:1018
3782,net.bytebuddy.implementation.bytecode.StackManipulation$Compound.apply:241
3474,net.bytebuddy.implementation.bytecode.StackManipulation$Compound.isValid:229
3393,net.bytebuddy.matcher.FilterableList$AbstractBase.filter:123
3065,net.bytebuddy.matcher.ElementMatcher$Junction$Conjunction.<init>:131
3039,rx.internal.util.SubscriptionList.unsubscribeFromAll:130
2542,net.bytebuddy.jar.asm.Type.appendDescriptor:614
2252,net.bytebuddy.matcher.ElementMatcher$Junction$Disjunction.matches:213
2191,net.bytebuddy.dynamic.scaffold.MethodRegistry$Default.prepare:455
1352,net.bytebuddy.description.type.TypeList$Generic$AbstractBase.getStackSize:323
1213,net.bytebuddy.description.method.MethodDescription$AbstractBase.getDescriptor:523
1140,rx.internal.operators.ObservableSplit$SplitSubscriber.onNext:103
1085,net.bytebuddy.description.modifier.ModifierContributor$Resolver.resolve:202
1081,net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Store.asGraph:1250
1051,net.bytebuddy.implementation.bind.annotation.TargetMethodAnnotationDrivenBinder$Record.bind:132
1005,com.github.davidmoten.rtree.RTreeTest.createRandomEntries:200
1003,com.github.davidmoten.rtree.Utilities.entries1000:15
1000,com.github.davidmoten.rtree.RTreeTest.testBackpressureIterationForUpTo1000Entries:432
906,com.github.davidmoten.rtree.RTree.asString:978
863,rx.plugins.RxJavaPlugins.getPluginImplementationViaProperty:281
850,net.bytebuddy.description.method.ParameterList$ForTokens.get:535
791,net.bytebuddy.implementation.bind.MethodDelegationBinder$MethodBinding$Builder$Build.isValid:535
754,net.bytebuddy.matcher.ElementMatcher$Junction$Disjunction.<init>:199
725,net.bytebuddy.dynamic.scaffold.MethodRegistry$Default$Prepared.compile:734
706,net.bytebuddy.description.annotation.AnnotationList$AbstractBase.isAnnotationPresent:104
582,net.bytebuddy.dynamic.loading.MultipleParentClassLoader$Builder.appendMostSpecific:383
568,net.bytebuddy.dynamic.scaffold.TypeWriter$Default$ForCreation.create:5882
560,net.bytebuddy.description.method.MethodDescription$AbstractBase.getGenericSignature:536
539,com.github.davidmoten.rtree.internal.EntryDefault.toString:70
537,net.bytebuddy.implementation.bind.MethodDelegationBinder$MethodBinding$Builder.append:455
534,net.bytebuddy.implementation.Implementation$Context$Default.drain:927
532,net.bytebuddy.matcher.CollectionItemMatcher.doMatch:47
486,net.bytebuddy.description.type.TypeList$Generic$AbstractBase.accept:301
449,net.bytebuddy.description.type.TypeList$AbstractBase.toInternalNames:97
435,net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Store.registerTopLevel:1185
426,net.bytebuddy.utility.CompoundList.of:81
414,net.bytebuddy.description.type.TypeList$Generic$AbstractBase.asRawTypes:345
399,com.github.davidmoten.rtree.geometry.internal.RectangleFloat.toString:132
393,net.bytebuddy.implementation.attribute.MethodAttributeAppender$ForInstrumentedMethod.apply:195
384,net.bytebuddy.implementation.attribute.AnnotationAppender$ForTypeAnnotations.apply:742
376,net.bytebuddy.implementation.bind.annotation.TargetMethodAnnotationDrivenBinder$DelegationProcessor.of:507
376,net.bytebuddy.jar.asm.signature.SignatureWriter.visitClassType:158
342,rx.internal.util.SubscriptionList.add:71
336,net.bytebuddy.description.type.TypeDescription$AbstractBase$OfSimpleType.getDescriptor:8285
330,com.github.davidmoten.rtree.geometry.internal.PointFloat.toString:73
326,net.bytebuddy.implementation.bytecode.collection.ArrayFactory$ArrayStackManipulation.isValid:294
314,net.bytebuddy.implementation.bind.MethodDelegationBinder$Processor.bind:1091
312,net.bytebuddy.description.method.MethodDescription$Token.asSignatureToken:1985
300,net.bytebuddy.implementation.bytecode.ByteCodeAppender$Compound.<init>:138
295,net.bytebuddy.jar.asm.Type.getDescriptor:535
273,net.bytebuddy.description.method.ParameterList$AbstractBase.hasExplicitMetaData:82
260,net.bytebuddy.jar.asm.Type.getMethodDescriptor:581
246,net.bytebuddy.dynamic.loading.ClassInjector$AbstractBase.inject:113
232,net.bytebuddy.jar.asm.signature.SignatureWriter.visitReturnType:124
223,net.bytebuddy.description.annotation.AnnotationDescription$AbstractBase.hashCode:547
216,net.bytebuddy.implementation.bind.annotation.AllArguments$Binder.bind:193
211,net.bytebuddy.description.type.TypeDescription$AbstractBase.getGenericSignature:7854
211,net.bytebuddy.implementation.attribute.TypeAttributeAppender$ForInstrumentedType.apply:77
198,net.bytebuddy.implementation.bytecode.collection.ArrayFactory$ArrayStackManipulation.apply:306
195,net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Store.inject:1228
188,net.bytebuddy.jar.asm.signature.SignatureWriter.visitEnd:204
185,net.bytebuddy.implementation.attribute.AnnotationAppender$ForTypeAnnotations.ofTypeVariable:635
177,net.bytebuddy.dynamic.scaffold.TypeWriter$MethodPool$Record$AccessBridgeWrapper.of:1237
176,com.github.davidmoten.rtree.geometry.internal.PointDouble.toString:49
171,com.github.davidmoten.rtree.geometry.internal.RectangleDouble.toString:83
171,net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Harmonized.extend:1055
162,net.bytebuddy.implementation.Implementation$Context$Default$CacheValueField.<init>:981
156,net.bytebuddy.implementation.auxiliary.MethodCallProxy$MethodCall$Appender.apply:397
152,net.bytebuddy.description.annotation.AnnotationList$AbstractBase.ofType:130
151,net.bytebuddy.implementation.auxiliary.MethodCallProxy.make:153
150,net.bytebuddy.description.ByteCodeElement$Token$TokenList.accept:158
145,net.bytebuddy.dynamic.scaffold.FieldRegistry$Default.compile:131
144,net.bytebuddy.dynamic.loading.MultipleParentClassLoader$Builder.appendMostSpecific:357
144,net.bytebuddy.dynamic.Transformer$Compound.transform:648
144,net.bytebuddy.implementation.attribute.MethodAttributeAppender$Compound.apply:483
141,net.bytebuddy.description.method.ParameterList$AbstractBase.asTokenList:94
138,net.bytebuddy.dynamic.scaffold.TypeWriter$MethodPool$Record$ForDefinedMethod.apply:598
133,net.bytebuddy.NamingStrategy$Suffixing.name:182
132,net.bytebuddy.utility.dispatcher.JavaDispatcher.run:174
129,com.github.davidmoten.rtree.internal.operators.OperatorBoundedPriorityQueue$1.onCompleted:33
128,net.bytebuddy.dynamic.DynamicType$Builder$AbstractBase$Adapter$OptionalMethodMatchAdapter.interfaceType:5549
128,net.bytebuddy.implementation.attribute.AnnotationAppender$ForTypeAnnotations.onNonGenericType:719
126,net.bytebuddy.dynamic.scaffold.FieldLocator$ForClassHierarchy.locate:323
125,net.bytebuddy.utility.RandomString.<clinit>:44
123,net.bytebuddy.dynamic.loading.ClassInjector$UsingReflection.injectRaw:239
119,net.bytebuddy.dynamic.DynamicType$Default.getLoadedTypeInitializers:5941
119,net.bytebuddy.dynamic.DynamicType$Default.getAllTypes:5929
115,net.bytebuddy.implementation.Implementation$Target$AbstractBase.invokeDefault:414
114,net.bytebuddy.implementation.bytecode.ByteCodeAppender$Compound.apply:154
112,net.bytebuddy.implementation.bind.annotation.TargetMethodAnnotationDrivenBinder$DelegationProcessor.prepare:524
110,net.bytebuddy.dynamic.scaffold.FieldRegistry$Default$Compiled.target:257
108,net.bytebuddy.implementation.bytecode.constant.MethodConstant.typeConstantsFor:139
104,net.bytebuddy.implementation.Implementation$Context$Default$AccessorMethod.<init>:1158
103,net.bytebuddy.dynamic.DynamicType$Builder$MethodDefinition$ParameterDefinition$Initial$AbstractBase.withParameters:2902
101,net.bytebuddy.dynamic.TypeResolutionStrategy$Passive.initialize:101
99,net.bytebuddy.implementation.bind.annotation.TargetMethodAnnotationDrivenBinder.compile:80
99,net.bytebuddy.TypeCache$SimpleKey.<init>:425
98,net.bytebuddy.implementation.bytecode.member.MethodVariableAccess$MethodLoading.apply:232
93,net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default.doAnalyze:712
88,net.bytebuddy.implementation.auxiliary.AuxiliaryType$NamingStrategy$SuffixingRandom.name:132
