Reading traces...
	read 1000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
Total 267078220 events and 29428025 traces
Inspecting top 20000000 IMM
Finding hot methods...
Number of events, method name
98554807,com.github.davidmoten.rtree.internal.Util.mbr:44
98427002,com.github.davidmoten.rtree.internal.Comparators.overlapArea:61
51307817,com.github.davidmoten.rtree.internal.Util.replace:77
4132487,com.github.davidmoten.rtree.SplitterQuadratic.getBestCandidateForGroup:75
3410332,com.github.davidmoten.rtree.SplitterRStar.marginValueSum:84
2101986,com.github.davidmoten.rtree.internal.NonLeafHelper.delete:77
1762302,com.github.davidmoten.rtree.SplitterRStar.getPairs:92
1262651,com.github.davidmoten.rtree.SplitterQuadratic.assignRemaining:55
1184156,com.github.davidmoten.rtree.internal.Util.add:64
1146750,com.github.davidmoten.rtree.SelectorMinimalAreaIncrease.select:18
595358,com.github.davidmoten.rtree.Visualizer.getRectangleDepths:78
477915,com.github.davidmoten.rtree.Visualizer.drawNode:95
444726,com.github.davidmoten.rtree.RTree.add:353
354879,com.github.davidmoten.rtree.SplitterRStar.split:36
353923,com.github.davidmoten.rtree.internal.LeafDefault.count:45
345316,com.github.davidmoten.rtree.fbs.FlatBuffersHelper.createEntries:92
253781,com.github.davidmoten.rtree.internal.LeafDefault.entry:65
203841,com.github.davidmoten.rtree.SelectorMinimalOverlapArea.select:14
126576,com.github.davidmoten.rtree.fbs.FlatBuffersHelper.addEntries:38
103520,com.github.davidmoten.rtree.internal.LeafHelper.makeLeaves:67
80018,com.github.davidmoten.rtree.internal.Util.remove:71
77982,rx.internal.operators.OperatorToObservableList$1.onNext:104
68714,com.github.davidmoten.rtree.internal.NonLeafDefault.count:42
54460,com.github.davidmoten.rtree.SplitterQuadratic.split:24
50670,com.github.davidmoten.rtree.internal.NonLeafDefault.child:62
44010,com.github.davidmoten.rtree.RTreeTest.random:1047
30004,com.github.davidmoten.rtree.RTreeTest.testDeleteOneFromLargeTreeThenDeleteAllAndEnsureEmpty:588
29796,com.github.davidmoten.rtree.internal.NonLeafHelper.makeNonLeaves:61
20000,com.github.davidmoten.rtree.RTreeTest.nextPoint:1022
14058,com.github.davidmoten.rtree.internal.NonLeafDefault.<init>:23
13299,com.github.davidmoten.rtree.SelectorRStar.select:18
12738,com.github.davidmoten.rtree.fbs.SerializerFlatBuffers.toNodeDefault:147
10048,com.github.davidmoten.rtree.internal.LeafHelper.delete:28
10001,rx.internal.operators.BlockingOperatorToIterator$SubscriberIterator.next:108
2724,rx.internal.util.SubscriptionList.unsubscribeFromAll:118
1400,rx.observables.StringObservable$9$1.onNext:439
1294,rx.plugins.RxJavaPlugins.getPluginImplementationViaProperty:204
1005,com.github.davidmoten.rtree.RTreeTest.createRandomEntries:165
1003,com.github.davidmoten.rtree.Utilities.entries1000:15
1000,com.github.davidmoten.rtree.RTreeTest.testBackpressureIterationForUpTo1000Entries:389
906,com.github.davidmoten.rtree.RTree.asString:853
570,com.github.davidmoten.rtree.geometry.Rectangle.toString:87
539,com.github.davidmoten.rtree.internal.EntryDefault.toString:68
506,com.github.davidmoten.rtree.geometry.Point.toString:72
302,rx.internal.util.SubscriptionList.add:59
129,com.github.davidmoten.rtree.internal.operators.OperatorBoundedPriorityQueue$1.onCompleted:33
80,com.github.davidmoten.rtree.fbs.SerializerFlatBuffersTest.serialize:82
70,com.github.davidmoten.rtree.RTreeTest.testStandardRTreeSearch2:687
70,com.github.davidmoten.rtree.RTreeTest.testStandardRTreeSearch:668
65,com.github.davidmoten.rtree.RTreeTest$10.call:940
52,com.github.davidmoten.rtree.fbs.SerializerFlatBuffersTest.deserialize:91
52,com.vividsolutions.jts.operation.predicate.RectangleIntersectsSegmentVisitor.checkIntersectionWithLineStrings:327
41,com.github.davidmoten.rtree.BackpressureTest$7.onNext:274
