Reading traces...
	read 1000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
Total 266816900 events and 29262655 traces
Inspecting top 20000000 IMM
Finding hot methods...
Number of events, method name
98497205,com.github.davidmoten.rtree.internal.Util.mbr:44
98421882,com.github.davidmoten.rtree.internal.Comparators.overlapArea:62
51278820,com.github.davidmoten.rtree.internal.Util.replace:78
4131865,com.github.davidmoten.rtree.SplitterQuadratic.getBestCandidateForGroup:75
3410328,com.github.davidmoten.rtree.SplitterRStar.marginValueSum:84
1945506,com.github.davidmoten.rtree.internal.NonLeafHelper.delete:77
1762278,com.github.davidmoten.rtree.SplitterRStar.getPairs:92
1262451,com.github.davidmoten.rtree.SplitterQuadratic.assignRemaining:55
1184267,com.github.davidmoten.rtree.internal.Util.add:64
1143219,com.github.davidmoten.rtree.SelectorMinimalAreaIncrease.select:18
595344,com.github.davidmoten.rtree.Visualizer.getRectangleDepths:78
477935,com.github.davidmoten.rtree.Visualizer.drawNode:95
444876,com.github.davidmoten.rtree.RTree.add:357
354906,com.github.davidmoten.rtree.SplitterRStar.split:36
354359,com.github.davidmoten.rtree.internal.LeafDefault.count:45
345316,com.github.davidmoten.rtree.fbs.FlatBuffersHelper.createEntries:94
254088,com.github.davidmoten.rtree.internal.LeafDefault.entry:65
203841,com.github.davidmoten.rtree.SelectorMinimalOverlapArea.select:14
126576,com.github.davidmoten.rtree.fbs.FlatBuffersHelper.addEntries:38
103562,com.github.davidmoten.rtree.internal.LeafHelper.makeLeaves:67
78230,rx.internal.operators.OperatorToObservableList$1.onNext:104
70017,com.github.davidmoten.rtree.internal.Util.remove:71
68663,com.github.davidmoten.rtree.internal.NonLeafDefault.count:42
54394,com.github.davidmoten.rtree.SplitterQuadratic.split:24
50535,com.github.davidmoten.rtree.internal.NonLeafDefault.child:62
44010,com.github.davidmoten.rtree.RTreeTest.random:1048
30004,com.github.davidmoten.rtree.RTreeTest.testDeleteOneFromLargeTreeThenDeleteAllAndEnsureEmpty:589
29694,com.github.davidmoten.rtree.internal.NonLeafHelper.makeNonLeaves:61
20000,com.github.davidmoten.rtree.RTreeTest.nextPoint:1023
14060,com.github.davidmoten.rtree.internal.NonLeafDefault.<init>:23
13311,com.github.davidmoten.rtree.SelectorRStar.select:18
