Reading traces...
	read 1000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
Total 266582861 events and 29222615 traces
Inspecting top 20000000 IMM
Finding hot methods...
Number of events, method name
98487657,com.github.davidmoten.rtree.internal.Util.mbr:44
98438016,com.github.davidmoten.rtree.internal.Comparators.overlapArea:61
51277958,com.github.davidmoten.rtree.internal.Util.replace:77
4122993,com.github.davidmoten.rtree.SplitterQuadratic.getBestCandidateForGroup:75
3410680,com.github.davidmoten.rtree.SplitterRStar.marginValueSum:84
1762446,com.github.davidmoten.rtree.SplitterRStar.getPairs:92
1718371,com.github.davidmoten.rtree.internal.NonLeafHelper.delete:77
1259709,com.github.davidmoten.rtree.SplitterQuadratic.assignRemaining:55
1183984,com.github.davidmoten.rtree.internal.Util.add:64
1143251,com.github.davidmoten.rtree.SelectorMinimalAreaIncrease.select:18
595404,com.github.davidmoten.rtree.Visualizer.getRectangleDepths:78
477950,com.github.davidmoten.rtree.Visualizer.drawNode:95
444496,com.github.davidmoten.rtree.RTree.add:353
354960,com.github.davidmoten.rtree.SplitterRStar.split:36
353843,com.github.davidmoten.rtree.internal.LeafDefault.count:45
345316,com.github.davidmoten.rtree.fbs.FlatBuffersHelper.createEntries:92
253702,com.github.davidmoten.rtree.internal.LeafDefault.entry:65
203841,com.github.davidmoten.rtree.SelectorMinimalOverlapArea.select:14
126576,com.github.davidmoten.rtree.fbs.FlatBuffersHelper.addEntries:38
103308,com.github.davidmoten.rtree.internal.LeafHelper.makeLeaves:67
78406,rx.internal.operators.OperatorToObservableList$1.onNext:104
70017,com.github.davidmoten.rtree.internal.Util.remove:71
68782,com.github.davidmoten.rtree.internal.NonLeafDefault.count:42
54154,com.github.davidmoten.rtree.SplitterQuadratic.split:24
50803,com.github.davidmoten.rtree.internal.NonLeafDefault.child:62
44010,com.github.davidmoten.rtree.RTreeTest.random:1047
30004,com.github.davidmoten.rtree.RTreeTest.testDeleteOneFromLargeTreeThenDeleteAllAndEnsureEmpty:588
29720,com.github.davidmoten.rtree.internal.NonLeafHelper.makeNonLeaves:61
20000,com.github.davidmoten.rtree.RTreeTest.nextPoint:1022
14094,com.github.davidmoten.rtree.internal.NonLeafDefault.<init>:23
13319,com.github.davidmoten.rtree.SelectorRStar.select:18
12738,com.github.davidmoten.rtree.fbs.SerializerFlatBuffers.toNodeDefault:147
10048,com.github.davidmoten.rtree.internal.LeafHelper.delete:28
10001,rx.internal.operators.BlockingOperatorToIterator$SubscriberIterator.next:108
2724,rx.internal.util.SubscriptionList.unsubscribeFromAll:118
1400,rx.observables.StringObservable$9$1.onNext:439
1301,rx.plugins.RxJavaPlugins.getPluginImplementationViaProperty:204
1005,com.github.davidmoten.rtree.RTreeTest.createRandomEntries:165
1003,com.github.davidmoten.rtree.Utilities.entries1000:15
1000,com.github.davidmoten.rtree.RTreeTest.testBackpressureIterationForUpTo1000Entries:389
906,com.github.davidmoten.rtree.RTree.asString:853
570,com.github.davidmoten.rtree.geometry.Rectangle.toString:87
539,com.github.davidmoten.rtree.internal.EntryDefault.toString:68
506,com.github.davidmoten.rtree.geometry.Point.toString:72
302,rx.internal.util.SubscriptionList.add:59
129,com.github.davidmoten.rtree.internal.operators.OperatorBoundedPriorityQueue$1.onCompleted:33
80,com.github.davidmoten.rtree.fbs.SerializerFlatBuffersTest.serialize:82
70,com.github.davidmoten.rtree.RTreeTest.testStandardRTreeSearch2:687
70,com.github.davidmoten.rtree.RTreeTest.testStandardRTreeSearch:668
65,com.github.davidmoten.rtree.RTreeTest$10.call:940
52,com.vividsolutions.jts.operation.predicate.RectangleIntersectsSegmentVisitor.checkIntersectionWithLineStrings:327
52,com.github.davidmoten.rtree.fbs.SerializerFlatBuffersTest.deserialize:91
41,com.github.davidmoten.rtree.BackpressureTest$7.onNext:274
28,com.github.davidmoten.rtree.RTree.delete:409
26,com.github.davidmoten.rtree.internal.util.PriorityQueue.<init>:111
22,com.github.davidmoten.rtree.fbs.NonLeafFlatBuffers.toString:153
22,com.github.davidmoten.rtree.internal.util.BoundedPriorityQueue.asOrderedList:86
21,com.github.davidmoten.rtree.RTreeTest.testPerformanceAndEntriesCount:124
19,rx.subscriptions.CompositeSubscription.add:60
18,com.github.davidmoten.rtree.Serializers$3.call:126
18,rx.internal.util.RxThreadFactory.newThread:30
18,rx.subscriptions.CompositeSubscription.unsubscribeFromAll:144
18,com.github.davidmoten.rtree.BackpressureTest.testBackpressureIterateWhenConditionFailsAgainstNonLeafNode:201
17,com.github.davidmoten.rtree.BackpressureTest.testBackpressureIterateWhenNodeHasMaxChildrenAndIsNotRoot:187
16,rx.internal.operators.OperatorGroupBy$GroupBySubscriber.checkTerminated:324
15,com.github.davidmoten.rtree.RTreeTest$8.call:951
15,com.github.davidmoten.rtree.GreekEarthquakes$3.call:40
13,com.github.davidmoten.rtree.RTree.delete:425
12,com.github.davidmoten.rtree.Serializers$4.call:151
12,rx.internal.util.SubscriptionList.<init>:41
11,com.github.davidmoten.rtree.NodePosition.toString:31
10,com.github.davidmoten.rtree.Visualizer.getNodeDepthsSortedByDepth:65
10,com.github.davidmoten.rtree.SerializersTest.check:165
9,com.github.davidmoten.guavamini.Preconditions.checkArgument:24
8,com.vividsolutions.jts.geom.util.LinearComponentExtracter.filter:210
7,rx.internal.operators.OperatorMerge$MergeSubscriber.addInner:272
6,com.vividsolutions.jts.geom.PrecisionModel$Type.<init>:117
5,com.github.davidmoten.rtree.RTreeTest.testVisualizerWithGreekData:541
5,com.github.davidmoten.rtree.internal.util.ImmutableStackTest.testIteratorReturnsTwoItemsInOrderOfPop:76
5,com.github.davidmoten.rtree.SplitterRStarTest.testGetPairs:19
4,com.github.davidmoten.rtree.fbs.NonLeafFlatBuffers.createChildren:109
4,rx.internal.operators.OperatorGroupBy$GroupBySubscriber.onNext:153
3,com.github.davidmoten.guavamini.Preconditions.checkNotNull:14
2,rx.internal.operators.OperatorToObservableSortedList$2.onNext:93
2,rx.internal.operators.OperatorToObservableSortedList$2.onCompleted:71
2,com.github.davidmoten.rtree.internal.util.ImmutableStackTest.testIteratorReturnsLastPushedFirst:71
2,com.github.davidmoten.rtree.SerializersTest.testAddToFlatBuffers:62
2,com.github.davidmoten.rtree.SerializersTest.canRoundTripEmptyTree:144
2,com.github.davidmoten.guavamini.Optional.get:18
2,com.github.davidmoten.guavamini.Preconditions.checkArgument:19
2,com.github.davidmoten.rtree.SerializersTest.testDeleteFromFlatBuffers:82
2,com.github.davidmoten.rtree.RTreeTest.testIterableDeletion:213
2,com.github.davidmoten.rtree.SerializersTest.testAddToFlatBuffersWhenRootNodeIsNonLeaf:101
2,com.github.davidmoten.rtree.internal.util.ImmutableStackTest.testIteratorReturnsOneItem:66
2,rx.internal.util.unsafe.ConcurrentCircularArrayQueue.<init>:69
