Reading traces...
Reading specs frequency...
Reading locations...
Counting events...
Total 2076125 events and 496913 traces
Inspecting top 200 IMM
Finding hot methods...
Number of events, method name
408358,com.flipkart.cp.convert.europa.databuilderframework.engine.DataFlowBuilder.generateDependencyTree:132
238288,com.flipkart.cp.convert.europa.databuilderframework.engine.DataFlowBuilder.rankNodes:115
197243,com.flipkart.cp.convert.europa.databuilderframework.util.DataSetAccessor.copy:98
191029,com.flipkart.cp.convert.europa.databuilderframework.engine.SimpleDataFlowExecutor.run:27
189849,com.flipkart.cp.convert.europa.databuilderframework.util.DataSetAccessor.checkForData:69
166164,com.flipkart.cp.convert.europa.databuilderframework.engine.DataFlowBuilder.generateGraph:38
138900,com.flipkart.cp.convert.europa.databuilderframework.model.ExecutionGraph.deepCopy:32
122716,com.flipkart.cp.convert.europa.databuilderframework.engine.DataFlowBuilder$FlattenedDataRoute.addOutputData:201
109518,com.flipkart.cp.convert.europa.databuilderframework.engine.MultiThreadedDataFlowExecutor.run:30
88889,com.flipkart.cp.convert.europa.databuilderframework.engine.MultiThreadedDataFlowExecutor$BuilderRunner.call:183
72960,com.flipkart.cp.convert.europa.databuilderframework.engine.DataFlowBuilder.findBuilder:168
36448,com.flipkart.cp.convert.europa.databuilderframework.engine.DataFlowBuilder$DependencyInfoManager.get:260
36448,com.flipkart.cp.convert.europa.databuilderframework.engine.DataFlowBuilder$DependencyNodeManager.get:305
32180,com.flipkart.cp.convert.europa.databuilderframework.util.DataSetAccessor.merge:47
20640,com.flipkart.cp.convert.europa.databuilderframework.util.DataSetAccessor.merge:57
5111,com.flipkart.cp.convert.europa.databuilderframework.engine.DataBuilderMetadataManager.register:34
4416,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._addInjectables:546
4028,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._addMethods:440
1237,com.fasterxml.jackson.databind.introspect.AnnotatedClass.resolveClassAnnotations:292
1202,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector.collect:228
1172,com.fasterxml.jackson.databind.introspect.AnnotatedMethodMap.add:23
873,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._sortProperties:284
839,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._removeUnwantedProperties:595
583,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._renameProperties:643
501,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._addCreators:394
