Reading traces...
Reading specs frequency...
Reading locations...
Counting events...
Total 1110724 events and 287622 traces
Inspecting top 200 IMM
Finding hot methods...
Number of events, method name
197313,com.flipkart.databuilderframework.engine.DataSetAccessor.copy:124
191222,com.flipkart.databuilderframework.engine.SimpleDataFlowExecutor.run:37
138240,com.flipkart.databuilderframework.model.ExecutionGraph.deepCopy:32
109617,com.flipkart.databuilderframework.engine.MultiThreadedDataFlowExecutor.run:42
88889,com.flipkart.databuilderframework.engine.MultiThreadedDataFlowExecutor$BuilderRunner.call:194
83450,com.google.common.collect.Iterators$7.computeNext:647
48489,com.google.common.collect.Sets$2.isEmpty:655
48281,com.flipkart.databuilderframework.engine.DataSetAccessor.merge:78
39516,com.google.common.collect.AbstractIndexedListIterator.next:81
32278,com.flipkart.databuilderframework.engine.DataSetAccessor.checkForData:100
32196,com.google.common.collect.ImmutableMap.copyOf:264
20657,com.flipkart.databuilderframework.engine.DataSetAccessor.merge:88
16163,com.google.common.collect.Sets$2.iterator:649
15315,com.flipkart.databuilderframework.engine.ExecutionGraphGenerator.generateDependencyTree:132
8214,com.flipkart.databuilderframework.engine.ExecutionGraphGenerator.rankNodes:115
6598,com.flipkart.databuilderframework.engine.ExecutionGraphGenerator$FlattenedDataRoute.addOutputData:201
5466,com.flipkart.databuilderframework.engine.DataBuilderMetadataManager.register:59
4444,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._addInjectables:546
4019,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._addMethods:440
2940,com.flipkart.databuilderframework.engine.ExecutionGraphGenerator.findBuilder:168
2278,com.flipkart.databuilderframework.engine.ExecutionGraphGenerator.generateGraph:38
1332,com.fasterxml.jackson.databind.introspect.AnnotatedClass.resolveClassAnnotations:292
1304,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector.collect:228
1192,com.fasterxml.jackson.databind.introspect.AnnotatedMethodMap.add:23
969,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._removeUnwantedProperties:595
924,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._sortProperties:284
633,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._renameProperties:643
525,com.fasterxml.jackson.databind.introspect.AnnotatedClass.resolveMemberMethods:413
505,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._addCreators:394
480,com.fasterxml.jackson.databind.introspect.AnnotatedMethodMap.iterator:79
472,com.flipkart.databuilderframework.engine.ExecutionGraphGenerator$DependencyInfoManager.get:260
472,com.flipkart.databuilderframework.engine.ExecutionGraphGenerator$DependencyNodeManager.get:305
425,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._addFields:355
354,com.flipkart.databuilderframework.flowtest.tests.LoopTest.listPrint:96
304,com.flipkart.databuilderframework.flowtest.tests.FlowTest.listPrint:111
275,com.flipkart.databuilderframework.flowtest.tests.LoopTest.testRunSingleStep:50
268,com.fasterxml.jackson.databind.util.BeanUtil.manglePropertyName:173
260,com.fasterxml.jackson.databind.introspect.AnnotationMap._add:94
243,com.fasterxml.jackson.databind.ser.BeanSerializerFactory.removeIgnorableTypes:660
186,com.fasterxml.jackson.databind.util.ClassUtil._addSuperTypes:41
183,com.fasterxml.jackson.databind.ser.BeanSerializerFactory.findBeanProperties:540
179,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector.getProperties:139
162,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._property:769
160,com.google.common.collect.RegularImmutableSet.<init>:40
160,com.google.common.collect.ImmutableSet$ArrayImmutableSet.<init>:382
153,com.fasterxml.jackson.databind.ser.BasicSerializerFactory.<clinit>:54
153,com.fasterxml.jackson.databind.ser.std.MapSerializer.serializeTypedFields:447
150,com.fasterxml.jackson.databind.introspect.AnnotatedClass.resolveFields:462
122,com.fasterxml.jackson.databind.introspect.AnnotatedClass._findFields:668
120,com.fasterxml.jackson.databind.jsontype.impl.TypeNameIdResolver.construct:41
106,com.fasterxml.jackson.databind.ser.impl.StringCollectionSerializer.serializeContents:140
