Reading traces...
	read 1000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
Total 93824136 events and 29426902 traces
Inspecting top 200 IMM
Finding hot methods...
	processed 1000 events
Number of events, method name
22255735,com.flipkart.databuilderframework.engine.SimpleDataFlowExecutor.run:37
15989408,com.flipkart.databuilderframework.engine.MultiThreadedDataFlowExecutor.run:39
12336345,com.google.common.collect.Iterators$7.computeNext:647
6116641,com.google.common.collect.AbstractIndexedListIterator.next:81
6065232,com.flipkart.databuilderframework.engine.MultiThreadedDataFlowExecutor$BuilderRunner.call:219
5577936,com.google.common.collect.Sets$2.isEmpty:655
5391434,com.flipkart.databuilderframework.engine.DataSetAccessor.merge:78
3685604,com.flipkart.databuilderframework.engine.DataSetAccessor.checkForData:100
3645034,com.google.common.collect.ImmutableMap.copyOf:264
2574017,com.flipkart.databuilderframework.engine.DataSetAccessor.merge:88
2391660,com.flipkart.databuilderframework.cmplxscenariotest.ThreadUtils.putToSleep:13
1859312,com.google.common.collect.Sets$2.iterator:649
1464390,com.flipkart.databuilderframework.engine.DataSetAccessor.copy:133
965814,com.flipkart.databuilderframework.engine.OptimizedMultiThreadedDataFlowExecutor.run:40
673341,com.google.common.collect.Iterators.size:150
600000,com.google.common.collect.RegularImmutableList.<init>:39
568857,com.google.common.collect.Iterators$5.hasNext:543
420511,com.flipkart.databuilderframework.engine.OptimizedMultiThreadedDataFlowExecutor$BuilderRunner.call:238
417345,com.google.common.collect.AbstractIterator.next:153
270956,com.google.common.collect.Iterators$5.next:550
118822,com.google.common.collect.Iterators$3.next:128
68148,com.google.common.collect.Sets$1.iterator:597
61471,com.google.common.collect.Iterators$3.hasNext:124
36032,com.google.common.collect.Maps$FilteredKeyMap.entrySet:1764
36032,com.google.common.collect.Collections2$FilteredCollection.iterator:175
35275,com.flipkart.databuilderframework.engine.ExecutionGraphGenerator.generateDependencyTree:132
34074,com.google.common.collect.Sets$3.iterator:686
34074,com.google.common.collect.Iterators.concat:459
19591,com.flipkart.databuilderframework.engine.ExecutionGraphGenerator.rankNodes:115
15782,com.flipkart.databuilderframework.engine.ExecutionGraphGenerator$FlattenedDataRoute.addOutputData:201
15155,com.flipkart.databuilderframework.engine.DataBuilderMetadataManager.register:128
9008,com.google.common.collect.Collections2$FilteredCollection.size:222
9002,com.flipkart.databuilderframework.cmplxscenariotest.data.DataD.<init>:10
8998,com.flipkart.databuilderframework.cmplxscenariotest.data.DataA.<init>:10
6919,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._addInjectables:546
6450,com.flipkart.databuilderframework.engine.ExecutionGraphGenerator.findBuilder:168
6341,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._addMethods:440
5417,com.flipkart.databuilderframework.engine.ExecutionGraphGenerator.generateGraph:38
2265,com.fasterxml.jackson.databind.introspect.AnnotatedClass.resolveClassAnnotations:292
1920,com.fasterxml.jackson.databind.introspect.AnnotatedMethodMap.add:23
1888,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector.collect:228
1750,com.flipkart.databuilderframework.cmplxscenariotest.ProfileExecutor$1.newThread:55
1521,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._sortProperties:284
1394,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._removeUnwantedProperties:595
1114,com.flipkart.databuilderframework.engine.ExecutionGraphGenerator$DependencyInfoManager.get:260
1114,com.flipkart.databuilderframework.engine.ExecutionGraphGenerator$DependencyNodeManager.get:305
914,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._renameProperties:643
828,com.fasterxml.jackson.databind.introspect.AnnotatedClass.resolveMemberMethods:413
816,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._addCreators:394
751,com.fasterxml.jackson.databind.ser.impl.StringCollectionSerializer.serializeContents:140
612,com.fasterxml.jackson.databind.introspect.AnnotatedMethodMap.iterator:79
578,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._addFields:355
368,com.fasterxml.jackson.databind.util.BeanUtil.manglePropertyName:173
358,com.fasterxml.jackson.databind.ser.BeanSerializerFactory.removeIgnorableTypes:660
354,com.flipkart.databuilderframework.flowtest.tests.LoopTest.listPrint:86
339,com.fasterxml.jackson.databind.util.ClassUtil._addSuperTypes:41
338,com.google.common.collect.RegularImmutableSet.<init>:40
338,com.google.common.collect.ImmutableSet$ArrayImmutableSet.<init>:382
336,com.fasterxml.jackson.databind.introspect.AnnotationMap._add:94
304,com.flipkart.databuilderframework.flowtest.tests.FlowTest.listPrint:111
300,com.fasterxml.jackson.databind.ser.BeanSerializerFactory.findBeanProperties:540
292,com.fasterxml.jackson.core.json.WriterBasedJsonGenerator.writeRaw:465
273,com.flipkart.databuilderframework.DataFlowExecutorTest$TestListener.beforeExecute:23
273,com.flipkart.databuilderframework.DataFlowExecutorTest$TestListenerAfterExecutionError.beforeExecute:78
273,com.flipkart.databuilderframework.DataFlowExecutorTest$TestListenerAfterExceptionError.beforeExecute:108
273,com.flipkart.databuilderframework.MultiThreadedDataFlowExecutorTest$TestListener.beforeExecute:24
273,com.flipkart.databuilderframework.MultiThreadedDataFlowExecutorTest$TestListenerAfterExceptionError.beforeExecute:109
273,com.flipkart.databuilderframework.MultiThreadedDataFlowExecutorTest$TestListenerAfterExecutionError.beforeExecute:79
250,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._property:769
234,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector.getProperties:139
210,com.flipkart.databuilderframework.MultiThreadedDataFlowExecutorTest$TestListenerAfterExceptionError.afterExecute:117
210,com.flipkart.databuilderframework.MultiThreadedDataFlowExecutorTest$TestListener.afterExecute:32
210,com.flipkart.databuilderframework.MultiThreadedDataFlowExecutorTest$TestListenerBeforeExecutionError.afterExecute:60
210,com.flipkart.databuilderframework.DataFlowExecutorTest$TestListenerAfterExceptionError.afterExecute:116
210,com.flipkart.databuilderframework.DataFlowExecutorTest$TestListenerBeforeExecutionError.afterExecute:59
210,com.flipkart.databuilderframework.DataFlowExecutorTest$TestListener.afterExecute:31
185,com.fasterxml.jackson.databind.introspect.AnnotatedClass.resolveFields:462
170,com.fasterxml.jackson.databind.introspect.AnnotatedClass._findFields:668
169,com.flipkart.databuilderframework.engine.DataFlowExecutor.registerExecutionListener:137
153,com.fasterxml.jackson.databind.ser.BasicSerializerFactory.<clinit>:54
153,com.fasterxml.jackson.databind.ser.std.MapSerializer.serializeTypedFields:447
144,com.fasterxml.jackson.databind.type.TypeBindings._resolveBindings:232
140,com.fasterxml.jackson.databind.type.TypeBindings.addBinding:178
138,com.flipkart.databuilderframework.model.ExecutionGraph.deepCopy:32
