Reading traces...
Reading specs frequency...
Reading locations...
Counting events...
Total 2222103 events and 555529 traces
Inspecting top 200 IMM
Finding hot methods...
Number of events, method name
423454,com.flipkart.databuilderframework.engine.DataFlowBuilder.generateDependencyTree:132
238288,com.flipkart.databuilderframework.engine.DataFlowBuilder.rankNodes:115
197243,com.flipkart.databuilderframework.engine.DataSetAccessor.copy:125
191029,com.flipkart.databuilderframework.engine.SimpleDataFlowExecutor.run:25
166164,com.flipkart.databuilderframework.engine.DataFlowBuilder.generateGraph:38
138900,com.flipkart.databuilderframework.model.ExecutionGraph.deepCopy:32
122716,com.flipkart.databuilderframework.engine.DataFlowBuilder$FlattenedDataRoute.addOutputData:201
109518,com.flipkart.databuilderframework.engine.MultiThreadedDataFlowExecutor.run:29
88889,com.flipkart.databuilderframework.engine.MultiThreadedDataFlowExecutor$BuilderRunner.call:182
83362,com.google.common.collect.Iterators$7.computeNext:647
81503,com.google.common.collect.AbstractIndexedListIterator.next:81
72960,com.flipkart.databuilderframework.engine.DataFlowBuilder.findBuilder:168
48462,com.google.common.collect.Sets$2.isEmpty:655
48269,com.flipkart.databuilderframework.engine.DataSetAccessor.merge:79
36448,com.flipkart.databuilderframework.engine.DataFlowBuilder$DependencyInfoManager.get:260
36448,com.flipkart.databuilderframework.engine.DataFlowBuilder$DependencyNodeManager.get:305
32264,com.flipkart.databuilderframework.engine.DataSetAccessor.checkForData:101
32188,com.google.common.collect.ImmutableMap.copyOf:264
20640,com.flipkart.databuilderframework.engine.DataSetAccessor.merge:89
16154,com.google.common.collect.Sets$2.iterator:649
10000,com.flipkart.databuilderframework.speed.ConcurrencyTest.testSpeed:58
5434,com.flipkart.databuilderframework.engine.DataBuilderMetadataManager.register:35
4286,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._addInjectables:546
3905,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._addMethods:440
1278,com.fasterxml.jackson.databind.introspect.AnnotatedClass.resolveClassAnnotations:292
1236,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector.collect:228
1162,com.fasterxml.jackson.databind.introspect.AnnotatedMethodMap.add:23
915,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._sortProperties:284
887,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._removeUnwantedProperties:595
599,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._renameProperties:643
501,com.fasterxml.jackson.databind.introspect.AnnotatedClass.resolveMemberMethods:413
482,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._addCreators:394
444,com.fasterxml.jackson.databind.introspect.AnnotatedMethodMap.iterator:79
381,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._addFields:355
354,com.flipkart.databuilderframework.flowtest.tests.LoopTest.listPrint:93
304,com.flipkart.databuilderframework.flowtest.tests.FlowTest.listPrint:111
275,com.flipkart.databuilderframework.flowtest.tests.LoopTest.testRunSingleStep:47
240,com.fasterxml.jackson.databind.util.BeanUtil.manglePropertyName:173
227,com.fasterxml.jackson.databind.ser.BeanSerializerFactory.removeIgnorableTypes:660
224,com.fasterxml.jackson.databind.introspect.AnnotationMap._add:94
180,com.fasterxml.jackson.databind.util.ClassUtil._addSuperTypes:41
177,com.fasterxml.jackson.databind.ser.BeanSerializerFactory.findBeanProperties:540
167,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector.getProperties:139
159,com.google.common.collect.RegularImmutableSet.<init>:40
159,com.google.common.collect.ImmutableSet$ArrayImmutableSet.<init>:382
153,com.fasterxml.jackson.databind.ser.BasicSerializerFactory.<clinit>:54
148,com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._property:769
135,com.fasterxml.jackson.databind.introspect.AnnotatedClass.resolveFields:462
132,com.fasterxml.jackson.databind.ser.std.MapSerializer.serializeTypedFields:447
120,com.fasterxml.jackson.databind.jsontype.impl.TypeNameIdResolver.construct:41
108,com.fasterxml.jackson.databind.introspect.AnnotatedClass._findFields:668
106,com.fasterxml.jackson.databind.ser.impl.StringCollectionSerializer.serializeContents:140
92,com.fasterxml.jackson.databind.ser.SerializerCache.addAndResolveNonTypedSerializer:133
86,com.fasterxml.jackson.databind.deser.BasicDeserializerFactory._add:88
76,com.fasterxml.jackson.databind.ser.SerializerCache.addAndResolveNonTypedSerializer:155
70,com.flipkart.databuilderframework.MultiThreadedDataFlowExecutorTest$TestListenerAfterExceptionError.beforeExecute:100
70,com.flipkart.databuilderframework.MultiThreadedDataFlowExecutorTest$TestListenerAfterExecutionError.beforeExecute:73
70,com.flipkart.databuilderframework.MultiThreadedDataFlowExecutorTest$TestListener.beforeExecute:24
70,com.flipkart.databuilderframework.DataFlowExecutorTest$TestListener.beforeExecute:23
70,com.flipkart.databuilderframework.DataFlowExecutorTest$TestListenerAfterExecutionError.beforeExecute:72
70,com.flipkart.databuilderframework.DataFlowExecutorTest$TestListenerAfterExceptionError.beforeExecute:99
64,com.fasterxml.jackson.databind.ser.impl.JsonSerializerMap.<init>:19
64,com.fasterxml.jackson.databind.type.TypeBindings._resolveBindings:232
63,com.flipkart.databuilderframework.DataFlowExecutorTest$TestListenerAfterExceptionError.afterExecute:106
63,com.flipkart.databuilderframework.MultiThreadedDataFlowExecutorTest$TestListenerAfterExceptionError.afterExecute:107
63,com.flipkart.databuilderframework.MultiThreadedDataFlowExecutorTest$TestListenerBeforeExecutionError.afterExecute:56
63,com.flipkart.databuilderframework.MultiThreadedDataFlowExecutorTest$TestListener.afterExecute:31
63,com.flipkart.databuilderframework.DataFlowExecutorTest$TestListener.afterExecute:30
63,com.flipkart.databuilderframework.DataFlowExecutorTest$TestListenerBeforeExecutionError.afterExecute:55
63,com.flipkart.databuilderframework.TestBuilderA.process:13
60,com.fasterxml.jackson.databind.type.TypeBindings.addBinding:178
58,com.fasterxml.jackson.databind.type.TypeFactory._fromClass:652
56,com.flipkart.databuilderframework.TestBuilderC.process:13
52,com.fasterxml.jackson.databind.introspect.AnnotatedClass.resolveCreators:326
49,com.flipkart.databuilderframework.TestBuilderB.process:13
44,com.fasterxml.jackson.core.json.WriterBasedJsonGenerator._writeFieldName:226
42,com.fasterxml.jackson.databind.util.ArrayBuilders$ArrayIterator.<init>:292
40,com.flipkart.databuilderframework.engine.DataFlowExecutor.registerExecutionListener:62
32,com.fasterxml.jackson.databind.type.TypeBindings.typesAsArray:186
32,com.fasterxml.jackson.databind.ser.SerializerCache.addTypedSerializer:121
32,com.fasterxml.jackson.databind.type.TypeBindings._addPlaceholder:224
