Reading traces...
	read 1000 traces
	read 2000 traces
	read 3000 traces
	read 4000 traces
	read 5000 traces
Reading specs frequency...
Reading locations...
Counting events...
	processed 1000 traces
	processed 2000 traces
	processed 3000 traces
	processed 4000 traces
	processed 5000 traces
Total 2410270 events and 236939 traces
Inspecting top 20000000 IMM
Finding hot methods...
	processed 1000 events
	processed 2000 events
Number of events, method name
194831,com.orientechnologies.orient.core.db.document.ODatabaseDocumentTx.callbackHooks:938
193745,com.orientechnologies.orient.core.record.impl.ODocument.iterator:1315
178692,com.orientechnologies.orient.core.command.OCommandExecutorAbstract.upperCase:59
173448,com.orientechnologies.orient.core.record.impl.ODocument$2.next:1330
154122,com.orientechnologies.orient.core.record.impl.ODocument.setDirty:1405
146628,com.orientechnologies.orient.core.record.impl.ODocument$2.hasNext:1326
135582,com.orientechnologies.orient.core.serialization.serializer.record.binary.ORecordSerializerBinaryV0.serialize:210
135045,com.orientechnologies.orient.core.db.document.ODatabaseDocumentTx.registerHook:883
95137,com.orientechnologies.orient.core.record.impl.ODocument.convertAllMultiValuesToTrackedVersions:2142
70053,com.orientechnologies.orient.core.sql.filter.OSQLTarget.upperCase:82
69726,com.orientechnologies.orient.core.record.impl.ODocument.field:1034
62969,com.orientechnologies.orient.core.metadata.schema.OClassImpl.toStream:723
55098,com.orientechnologies.orient.core.serialization.serializer.record.binary.ORecordSerializerBinaryV0.writeString:777
53169,com.orientechnologies.orient.core.sql.filter.OSQLPredicate.upperCase:77
50855,com.orientechnologies.orient.core.record.impl.ODocument.removeAllCollectionChangeListeners:2343
50311,com.orientechnologies.orient.core.record.impl.ODocument.addOwner:2105
49852,com.orientechnologies.orient.core.record.impl.ODocument.addAllMultiValueChangeListeners:2353
48205,com.orientechnologies.orient.core.sql.OSQLEngine.getRecordOperators:311
42514,com.orientechnologies.orient.core.metadata.schema.OClassImpl.declaredProperties:479
37422,com.orientechnologies.orient.core.serialization.serializer.record.binary.ORecordSerializerBinaryV0.writeEmbeddedCollection:703
31540,com.orientechnologies.orient.core.metadata.schema.OSchemaShared.toStream:721
28269,com.orientechnologies.orient.core.metadata.schema.OImmutableClass.<init>:52
25923,com.orientechnologies.common.parser.OBaseParser.parserNextWord:485
25092,com.orientechnologies.orient.core.config.OStorageConfiguration.write:619
22626,com.orientechnologies.orient.core.metadata.schema.OImmutableSchema.<init>:38
17241,com.orientechnologies.orient.core.metadata.schema.OPropertyImpl.getFullName:109
17086,com.orientechnologies.orient.core.db.document.ODatabaseDocumentTx.unregisterHook:906
16272,com.orientechnologies.orient.core.serialization.serializer.OStringSerializerHelper.parse:269
13407,com.orientechnologies.orient.core.storage.impl.local.paginated.OPaginatedCluster.readFullEntry:1275
12321,com.orientechnologies.orient.core.db.record.OTrackedList.addAll:85
11586,com.orientechnologies.orient.core.metadata.schema.OSchemaShared.getClasses:751
11022,com.orientechnologies.orient.core.record.impl.ODocument.fieldNames:831
8661,com.orientechnologies.orient.core.metadata.security.ORole.getRules:367
7371,com.orientechnologies.orient.core.metadata.schema.OImmutableProperty.<init>:19
5922,com.orientechnologies.orient.core.db.record.OTrackedList.fireCollectionChangedEvent:235
4785,com.orientechnologies.orient.core.sql.OSQLEngine.getCommandNames:234
4302,com.orientechnologies.orient.core.db.record.OTrackedList.addChangeListener:201
3934,com.orientechnologies.orient.core.db.record.OTrackedList.removeRecordChangeListener:205
3744,com.orientechnologies.orient.core.config.OStorageConfiguration.toStream:359
3645,com.orientechnologies.common.concur.lock.OReadersWriterSpinLock.releaseWriteLock:156
3612,com.orientechnologies.common.collection.OMultiValue.array:622
3447,com.orientechnologies.orient.core.index.OIndexManagerAbstract.getClassIndexes:348
3303,com.orientechnologies.orient.core.sql.filter.OSQLFilterItemAbstract.toString:160
3216,com.orientechnologies.orient.core.db.record.OTrackedSet$1.next:82
3090,com.orientechnologies.common.parser.OBaseParser.parserNextChars:330
2903,com.orientechnologies.orient.core.metadata.schema.OClassImpl.addPropertyInternal:1343
2736,com.orientechnologies.orient.core.sql.OCommandExecutorSQLSelect.searchForIndexes:1434
2631,com.orientechnologies.orient.core.metadata.schema.OSchemaShared.findOrCreateGlobalProperty:881
2610,com.orientechnologies.orient.core.metadata.schema.OClassImpl.checkPersistentPropertyType:1632
2592,com.orientechnologies.orient.core.sql.OCommandExecutorSQLSelect.createProjectionFromDefinition:896
2409,com.orientechnologies.orient.core.serialization.serializer.OStringSerializerHelper.getCollection:541
2404,com.orientechnologies.orient.core.Orient.getDbLifecycleListeners:588
2272,com.orientechnologies.orient.core.metadata.schema.OImmutableClass.propertiesMap:162
2259,com.orientechnologies.orient.core.metadata.schema.OClassImpl.properties:515
2232,com.orientechnologies.orient.core.sql.OCommandExecutorSQLSelect.parseProjections:766
2123,com.orientechnologies.orient.core.storage.impl.local.paginated.atomicoperations.OAtomicOperationsManager.endAtomicOperation:92
2094,com.orientechnologies.orient.core.storage.impl.local.paginated.OPaginatedCluster.updateRecord:682
2066,com.orientechnologies.common.parser.OStringParser.getWords:45
2058,com.orientechnologies.orient.core.metadata.schema.OSchemaShared.createClassInternal:969
1974,com.orientechnologies.orient.core.db.record.OTrackedList.add:71
1938,com.orientechnologies.orient.core.db.record.OTrackedSet$1.hasNext:77
1887,com.orientechnologies.orient.core.serialization.serializer.OStringSerializerHelper.smartSplit:211
1676,com.orientechnologies.orient.core.storage.impl.memory.ODirectMemoryOnlyDiskCache$MemoryFile.clear:394
1644,com.orientechnologies.orient.core.sql.OCommandExecutorSQLSelect.searchInClasses:755
1440,com.orientechnologies.orient.core.sql.OCommandExecutorSQLResultsetAbstract.searchInClasses:433
1425,com.orientechnologies.orient.core.metadata.security.ORole.addRule:213
1425,com.orientechnologies.orient.core.metadata.schema.OSchemaShared.createClass:353
1350,com.orientechnologies.orient.core.record.impl.ODocument.addCollectionChangeListener:2331
1332,com.orientechnologies.orient.core.record.impl.ODocument.autoConvertValues:2029
1304,com.orientechnologies.orient.core.db.record.OTrackedSet.addChangeListener:169
1286,com.orientechnologies.orient.core.index.OClassIndexManager.checkIndexedPropertiesOnCreation:281
1275,com.orientechnologies.common.parser.OBaseParser.parserGetLastWord:183
1218,com.orientechnologies.orient.core.record.impl.ODocument.setFieldType:1743
1205,com.orientechnologies.orient.core.storage.impl.local.paginated.ORecordSerializationContext.executeOperations:98
1197,com.orientechnologies.orient.core.serialization.serializer.OStringSerializerHelper.smartSplit:188
1195,com.orientechnologies.orient.core.storage.impl.local.paginated.wal.OMemoryWriteAheadLog.log:78
1182,com.google.inject.internal.cglib.core.CollectionUtils.bucket:29
1152,com.orientechnologies.orient.core.sql.OCommandExecutorSQLSelect.handleGroupBy:2019
1089,com.orientechnologies.orient.core.intent.OIntentMassiveInsert.begin:46
1083,com.orientechnologies.orient.core.db.record.OTrackedSet.removeRecordChangeListener:173
1080,com.orientechnologies.orient.core.metadata.schema.OImmutableClass.properties:145
1080,com.orientechnologies.orient.core.sql.ORuntimeResult.getResult:192
1080,com.orientechnologies.orient.core.metadata.schema.OClassImpl.fireDatabaseMigration:1590
1072,com.google.inject.AbstractProcessor.process:59
1046,com.orientechnologies.orient.core.config.OContextConfiguration.getContextKeys:117
894,com.orientechnologies.orient.core.db.document.ODatabaseDocumentTx.releaseIndexModificationLock:2780
886,com.google.inject.internal.cglib.core.EmitUtils.getSwitchKeys:246
883,com.google.inject.internal.Iterators$4.hasNext:169
864,com.orientechnologies.orient.core.serialization.serializer.OStringSerializerHelper.getParameters:618
840,com.orientechnologies.orient.core.sql.OSQLEngine.getMethod:297
828,com.orientechnologies.orient.core.metadata.schema.OClassImpl.addProperty:1967
825,com.orientechnologies.orient.core.sql.OSQLEngine.getCommand:408
792,com.orientechnologies.orient.core.command.OBasicCommandContext.setVariable:127
780,com.google.inject.internal.cglib.core.EmitUtils$6.processCase:270
762,com.orientechnologies.orient.core.record.impl.ODocument.internalReset:2193
735,com.google.inject.internal.ImmutableSet.create:332
733,com.orientechnologies.orient.core.hook.OHookThreadLocal.push:56
720,com.orientechnologies.orient.core.sql.OSQLEngine.getFunction:384
687,com.orientechnologies.orient.core.metadata.security.ORole.loadOldVersionOfRules:395
684,com.orientechnologies.orient.core.sql.filter.OSQLPredicate.convertCollectionItems:353
672,com.orientechnologies.common.util.OMultiKey.equals:67
660,com.orientechnologies.orient.core.sql.ODefaultCommandExecutorSQLFactory.getCommandNames:93
657,com.orientechnologies.orient.core.index.OIndexManagerAbstract.normalizeFieldNames:455
648,com.google.inject.internal.Stopwatch.resetAndLog:47
630,com.orientechnologies.orient.core.db.record.OTrackedMap.putAll:144
621,com.orientechnologies.orient.core.record.impl.ODocument.validate:1987
621,com.orientechnologies.orient.core.intent.OIntentMassiveInsert.end:88
621,com.orientechnologies.orient.core.serialization.serializer.OStringSerializerHelper.split:460
612,Unknown
612,com.google.inject.internal.cglib.core.CollectionUtils.transform:60
594,com.orientechnologies.orient.core.db.record.OTrackedSet.fireCollectionChangedEvent:208
591,com.orientechnologies.orient.core.record.impl.ODocument.validateField:269
576,com.orientechnologies.orient.core.storage.impl.memory.ODirectMemoryOnlyDiskCache.delete:231
576,com.orientechnologies.common.util.OMultiKey.generateHashCode:42
576,com.orientechnologies.orient.core.sql.OCommandExecutorSQLResultsetAbstract.getResult:223
