Reading traces...
Reading specs frequency...
Reading locations...
Counting events...
Total 17719546 events and 9215 traces
Inspecting top 200 IMM
Finding hot methods...
Number of events, method name
5681038,fi.solita.utils.functional.Collections.newList:866
4045185,fi.solita.utils.functional.Iterables$ConcatenatingIterable$1.hasNext:357
2021627,fi.solita.utils.functional.Iterables$ConcatenatingIterable$1.next:365
2020412,fi.solita.utils.functional.Collections.newSet:900
1335842,fi.solita.utils.functional.Iterables$TransformingIterable$1.next:552
740784,fi.solita.utils.functional.Iterables$TakingIterable$1.next:883
669032,fi.solita.utils.functional.Iterables$TransformingIterable$1.hasNext:547
666660,fi.solita.utils.functional.TestClass.<init>:16
493877,fi.solita.utils.functional.Iterables$TakingIterable$1.hasNext:878
35109,fi.solita.utils.functional.Iterables$ConcatenatingIterable.flattenNestedConcats:324
1783,fi.solita.utils.functional.FunctionalImpl.fold:433
1265,fi.solita.utils.functional.Iterables$ConcatenatingIterable.size:336
720,fi.solita.utils.functional.SortTest.runSortOnce:41
556,fi.solita.utils.functional.SomeImpl.iterator:186
532,fi.solita.utils.functional.Iterables$MemoizingCharSequenceIterable.resolveLength:676
441,fi.solita.utils.functional.Iterables$ConcatenatingIterable$1.<init>:350
390,fi.solita.utils.functional.Iterables$SortingIterable.iterator:791
387,fi.solita.utils.functional.Iterables$5.transform:80
352,fi.solita.utils.functional.Iterables$DroppingIterable.iterator:926
342,fi.solita.utils.functional.Iterables$ZippingIterable$1.next:283
304,fi.solita.utils.functional.FunctionalTest.testConcatPerformance:309
303,fi.solita.utils.functional.Iterables$TransformingIterable$1.<init>:543
284,fi.solita.utils.functional.Iterables$ZippingIterable$1.hasNext:278
235,fi.solita.utils.functional.FunctionalImpl$6$1.readNext:268
222,fi.solita.utils.functional.Iterables$FilteringIterable$1.readNext:488
170,fi.solita.utils.functional.Iterables$MemoizingCharSequenceIterable.charAt:706
157,fi.solita.utils.functional.SortTest.testSort:30
133,fi.solita.utils.functional.Tuple.equals:806
132,fi.solita.utils.functional.Iterables$DistinctIterable$1.readNext:423
113,fi.solita.utils.functional.FunctionalImpl.mkString:625
101,fi.solita.utils.functional.Iterables$MemoizingCharSequenceIterable$1.next:736
92,fi.solita.utils.functional.FunctionalImpl$7$1.readNext:313
89,fi.solita.utils.functional.Match.iterable:207
79,fi.solita.utils.functional.FunctionalImpl.lastOption:217
68,fi.solita.utils.functional.Iterables$2.transform:62
64,fi.solita.utils.functional.FunctionalImpl.head:193
51,fi.solita.utils.functional.Iterables$MemoizingCharSequenceIterable.toString:768
50,fi.solita.utils.functional.Iterables$ZippingIterable$1.<init>:273
42,fi.solita.utils.functional.Iterables$3.transform:68
41,fi.solita.utils.functional.NoneImpl.iterator:128
39,fi.solita.utils.functional.Match.err:189
26,fi.solita.utils.functional.Match.err:111
22,fi.solita.utils.functional.Iterables$FilteringIterable$1.<init>:477
21,fi.solita.utils.functional.Match.endsWith:61
21,fi.solita.utils.functional.Match.startsWith:52
21,fi.solita.utils.functional.FunctionalImpl.isEmpty:363
18,fi.solita.utils.functional.Match.singleton:141
17,fi.solita.utils.functional.Iterables$GroupingIterable$1.next:983
12,fi.solita.utils.functional.FunctionalImpl$7$1.next:321
11,fi.solita.utils.functional.Iterables$4.transform:74
11,fi.solita.utils.functional.Iterables$TakingIterable$1.<init>:873
10,fi.solita.utils.functional.Match.groups:129
9,fi.solita.utils.functional.PairTest.serialization:31
9,fi.solita.utils.functional.Match.instance:34
9,fi.solita.utils.functional.Match.split:115
8,fi.solita.utils.functional.FunctionalImpl.foreach:120
8,fi.solita.utils.functional.FunctionalImpl.foreach:114
8,fi.solita.utils.functional.Iterables$TransposingIterable$1.next:230
7,fi.solita.utils.functional.lens.Builder$3.transform:200
6,fi.solita.utils.functional.Iterables$ReversingIterable$1.next:595
6,fi.solita.utils.functional.FunctionalImpl$6$1.<init>:258
5,fi.solita.utils.functional.FunctionalImpl.size:371
5,fi.solita.utils.functional.lens.Builder$IncompleteException.<init>:97
4,fi.solita.utils.functional.Iterables$ReversingIterable$1.hasNext:590
3,fi.solita.utils.functional.Iterables$DistinctIterable$1.<init>:412
2,fi.solita.utils.functional.FunctionalImpl$7$1.<init>:301
2,fi.solita.utils.functional.FunctionalTest$6.<clinit>:0
1,fi.solita.utils.functional.Function1.<clinit>:0
1,fi.solita.utils.functional.Transformer.<clinit>:0
