project,id
spullara-java-future-jdk8,1
romix-java-concurrent-hash-trie-map,2
kapoorlabs-kiara,3
myui-btree4j,4
almson-almson-refcount,5
wiqer-ef-redis,6
fusion-jena-JaroWinklerSimilarity,7
albfernandez-javadbf,8
LiveRamp-HyperMinHash-java,9
mocnik-science-geogrid,10
dperezcabrera-jpoker,11
fraunhoferfokus-Fuzzino,12
ngallagher-simplexml,13
renfei-ik-analyzer,14
asterisk-java-asterisk-java,15
alibaba-QLExpress,16
StarlangSoftware-TurkishSentiNet,17
Antibrumm-jackson-antpathfilter,18
hlavki-jlemmagen,19
mimno-Mallet,20
conveyal-osm-lib,21
flipkart-incubator-databuilderframework,22
codelion-gramtest,23
zhoujianling-PointCloudUtilities,24
stanfordnlp-CoreNLP,25
MezereonXP-AnomalyDetectTool,26
Sweetiee-yi-Jaba,27
lexburner-consistent-hash-algorithm,28
sbesada-java.math.expression.parser,29
StarlangSoftware-TurkishPropBank,30
StarlangSoftware-TurkishWordNet,31
finmath-finmath-lib,32
chocoteam-choco-graph,33
dakusui-jcunit,34
davidmoten-rtree-multi,35
ElectronicChartCentre-java-vector-tile,36
davidmoten-rtree2,37
attoparser-attoparser,38
FasterXML-jackson-core,39
orientechnologies-orientdb-jdbc,40
davidmoten-rtree,41
danieldk-dictomaton,42
santanusinha-json-rules,43
octavian-h-time-series-math,44
brettwooldridge-SparseBitSet,45
huaban-jieba-analysis,46
indeedeng-vowpal-wabbit-java,47
Grundlefleck-ASM-NonClassloadingExtensions,48
cowtowncoder-java-uuid-generator,49
awslabs-route53-infima,50
orientechnologies-orientdb-etl,51
cocolian-cocolian-nlp,52
davidmoten-bplustree,53
lukfor-pgs-calc,54
solita-functional-utils,55
houbb-sensitive-word,56
jahlborn-jackcess,57
StarlangSoftware-TurkishDeasciifier,58
ghaffarian-progex,59
almondtools-stringsearchalgorithms,60
eightbitjim-cassette-nibbler,61
StarlangSoftware-TurkishMorphologicalDisambiguation,62
StarlangSoftware-TurkishSpellChecker,63
f4b6a3-uuid-creator,64
agarciadom-xeger,65
