project,test status,test time,mop status,mop time,process status,process time,imm status,imm time
spullara-java-future-jdk8,0,45727,0,2742891,0,3356,0,93251
eightbitjim-cassette-nibbler,0,1697,0,158194,0,15003,0,8021
sbesada-java.math.expression.parser,0,6947,0,162180,0,5302,0,8456
houbb-sensitive-word,0,3584,0,150283,0,6668,0,11837
StarlangSoftware-TurkishWordNet,0,100635,0,811036,0,5724,0,97339
StarlangSoftware-TurkishSentiNet,0,1717,0,35257,0,2588,0,4333
dakusui-jcunit,0,5717,0,307671,0,24277,0,38445
StarlangSoftware-TurkishPropBank,0,1310,0,26038,0,4284,0,4224
kapoorlabs-kiara,0,5870,0,131008,0,8424,0,28075
renfei-ik-analyzer,0,7254,0,57113,0,7163,0,12328
lexburner-consistent-hash-algorithm,0,3152,0,45157,0,2521,0,9835
attoparser-attoparser,0,36874,0,267232,0,10008,0,62929
dperezcabrera-jpoker,0,3309,0,75835,0,19419,0,26696
fraunhoferfokus-Fuzzino,0,7331,0,71004,0,24646,0,26523
Sweetiee-yi-Jaba,0,3791,0,71225,0,4909,0,27913
huaban-jieba-analysis,0,3040,0,47350,0,3539,0,18796
octavian-h-time-series-math,0,8524,0,82741,0,33362,0,36988
indeedeng-vowpal-wabbit-java,0,44880,0,268409,0,8823,0,121959
davidmoten-rtree,0,6504,0,228441,0,43371,0,109576
MezereonXP-AnomalyDetectTool,0,7261,0,26800,0,5251,0,13053
alibaba-QLExpress,0,5218,0,189502,0,35809,0,93548
Antibrumm-jackson-antpathfilter,0,1505,0,59295,0,10385,0,30859
cocolian-cocolian-nlp,0,6769,0,59120,0,15091,0,32069
codelion-gramtest,0,1230,0,53315,0,5101,0,29603
flipkart-incubator-databuilderframework,0,66105,0,259603,0,18963,0,144766
LiveRamp-HyperMinHash-java,0,53210,0,110221,0,3211,0,70869
lukfor-pgs-calc,0,89137,0,210560,0,55560,0,138037
brettwooldridge-SparseBitSet,0,4232,0,392294,0,3856,0,260911
orientechnologies-orientdb-jdbc,0,19958,0,361846,0,47353,0,245471
mocnik-science-geogrid,0,12729,0,61661,0,3065,0,41880
awslabs-route53-infima,0,1302,0,19550,0,4145,0,14062
danieldk-dictomaton,0,3990,0,90266,0,15253,0,67119
jahlborn-jackcess,0,24723,0,137780,0,67110,0,102931
agarciadom-xeger,0,2068,0,23011,0,7510,0,18254
santanusinha-json-rules,0,2505,0,8888449,0,26528,0,7127496
ngallagher-simplexml,0,8411,0,1180447,0,22383,0,957056
davidmoten-bplustree,0,9294,0,87319,0,7534,0,74024
davidmoten-rtree-multi,0,5337,0,120641,0,31641,0,102638
zhoujianling-PointCloudUtilities,0,3113,0,34919,0,149256,0,30473
davidmoten-rtree2,0,5135,0,126433,0,35281,0,110487
conveyal-osm-lib,0,8353,0,57363,0,18372,0,50479
FasterXML-jackson-core,0,26863,0,60906,0,69604,0,54862
StarlangSoftware-TurkishSpellChecker,0,14718,0,12125357,0,13208,0,11036061
fusion-jena-JaroWinklerSimilarity,0,8044,0,272349,0,5033,0,248547
almondtools-stringsearchalgorithms,0,4465,0,103257,0,31333,0,94322
myui-btree4j,0,27631,0,69971,0,4363,0,65007
StarlangSoftware-TurkishMorphologicalDisambiguation,0,22046,0,5638033,0,13447,0,5348208
cowtowncoder-java-uuid-generator,0,6697,0,23243,0,9835,0,22243
StarlangSoftware-TurkishDeasciifier,0,2174,0,4163385,0,9066,0,4012856
Grundlefleck-ASM-NonClassloadingExtensions,0,23273,0,90430,0,30822,0,87263
albfernandez-javadbf,0,4518,0,22947,0,5578,0,22197
f4b6a3-uuid-creator,0,17233,0,34722,0,16224,0,33855
finmath-finmath-lib,0,1519401,0,6638696,0,25872,0,6538846
chocoteam-choco-graph,0,5170,0,106371,0,10811,0,104832
hlavki-jlemmagen,0,1994,0,123470,0,6213,0,122209
solita-functional-utils,0,2208,0,201950,0,5540,0,202352
wiqer-ef-redis,0,9466,0,30616,0,3463,0,30902
mimno-Mallet,0,14846,0,851887,0,31928,0,883883
romix-java-concurrent-hash-trie-map,0,3681,0,22158,0,4795,0,23222
almson-almson-refcount,0,21883,0,17482,0,2977,0,19632
orientechnologies-orientdb-etl,0,15055,0,15258725,0,80586,0,18211944
asterisk-java-asterisk-java,0,26600,0,166566,0,61353,0,203200
ElectronicChartCentre-java-vector-tile,0,3217,0,64866,0,28584,0,92646
ghaffarian-progex,0,2283,0,40079,0,36953,0,103765
stanfordnlp-CoreNLP,0,18749,0,4590724,0,156016,0,13023881
